Family,submitted_name,matched_name,Same,data_source_title,score,Origin,Notes,Trait_db_height,Trait_measurement_Origin,Upper_height,Lower_height,Single_height,Source,Comment,Woodiness,C3,C4,Nit_fix,Fabaceae
Juglandaceae,Carya laciniosa,Carya laciniosa,TRUE,NCBI,0.988,Eastern North America,,,,,,36.9,https://en.wikipedia.org/wiki/Carya_laciniosa,,1,1,,0,Juglandaceae
Asteraceae,Centairea solsititialis,Centaurea solstitialis,FALSE,Catalogue of Life,0.75,Mediterranean,,0.633640276,Native,,,1,https://en.wikipedia.org/wiki/Centaurea_solstitialis,,0,1,,0,Asteraceae
Asteraceae,Centaurea diffusa,Centaurea diffusa,TRUE,NCBI,0.988,Eastern Europe and Western Asia,,0.3,Native,0.6,0.1,,https://en.wikipedia.org/wiki/Centaurea_diffusa,,0,1,,0,Asteraceae
Asteraceae,Centaurea maculosa,Centaurea maculosa,TRUE,NCBI,0.988,Eastern Europe,,0.475,Native,,,0.91,https://en.wikipedia.org/wiki/Centaurea_maculosa,,0,1,,0,Asteraceae
Asteraceae,Centaurea stoebe,Centaurea stoebe,TRUE,NCBI,0.988,Italy,,,,1.5,0.3,,http://www.cabi.org/isc/datasheet/12040,,0,1,,0,Asteraceae
Asteraceae,Chrysanthemoides monilifera,Chrysanthemoides monilifera,TRUE,NCBI,0.988,South Africa,,,,,,3,https://en.wikipedia.org/wiki/Chrysanthemoides_monilifera,,1,,,0,Asteraceae
Empetraceae,Corema album,Corema album,TRUE,NCBI,0.988,Iberia,,,,0.7,0.3,,https://es.wikipedia.org/wiki/Corema_album,,1,1,,0,Empetraceae
Poaceae,Cortaderia selloana,Cortaderia selloana,TRUE,NCBI,0.988,South South America,,,,,,3,https://en.wikipedia.org/wiki/Cortaderia_selloana,,0,1,,0,Poaceae
#N/A,Cupania porphyria,Cupania,FALSE,Catalogue of Life,0.75,,,,,,,,,,,,,0,#N/A
Asteraceae,Cynara cardunculus,Cynara cardunculus,TRUE,NCBI,0.988,Central and Western Mediterranean,,,,1.5,0.8,,https://en.wikipedia.org/wiki/Cardoon,,0,1,,0,Asteraceae
Poaceae,Cynodon dactylon,Cynodon dactylon,TRUE,NCBI,0.988,Bermuda?,Origin unsure,0.11,Unclear,0.3,0.01,,https://en.wikipedia.org/wiki/Cynodon_dactylon,,0,0,,0,Poaceae
Cyperaceae,Cyperus malaccensis,Cyperus malaccensis,TRUE,uBio NameBank,0.988,,Origin unsure,,,1.5,0.5,,http://tropical.theferns.info/viewtropical.php?id=Cyperus+malaccensis,,0,0,,0,Cyperaceae
Fabaceae,Cytisus scoparius,Cytisus scoparius,TRUE,NCBI,0.988,Western and Central Europe,,0.991596241,Native,3,1,,https://en.wikipedia.org/wiki/Cytisus_scoparius,,1,1,,1,Fabaceae
Poaceae,Dactylis glomerata,Dactylis glomerata,TRUE,NCBI,0.988,"Europe, temperate Asia, Northern America",,0.321052955,Native,1.4,0.2,,https://en.wikipedia.org/wiki/Dactylis_glomerata,,0,1,,0,Poaceae
Ebenaceae,Diospyros sandwicensis,Diospyros sandwicensis,TRUE,NCBI,0.988,Hawaii,,,,12,6,,https://en.wikipedia.org/wiki/Diospyros_sandwicensis,,1,1,,0,Ebenaceae
Poaceae,Distichlis spicata,Distichlis spicata,TRUE,NCBI,0.988,Americas,,,,,,0.5,https://en.wikipedia.org/wiki/Distichlis_spicata,,0,0,,0,Poaceae
Poaceae,Ehrharta calycina,Ehrharta calycina,TRUE,NCBI,0.988,Southern Africa,,,,0.7,0.3,,https://en.wikipedia.org/wiki/Ehrharta_calycina,,0,1,,0,Poaceae
Elaeagnaceae,Elaeagnus umbellata,Elaeagnus umbellata,TRUE,NCBI,0.988,Eastern Asia,,,,,,3.5,https://en.wikipedia.org/wiki/Elaeagnus_umbellata,,1,,,0,Elaeagnaceae
Cyperaceae,Eleocharis smallii,Eleocharis smallii,TRUE,CU*STAR,0.988,,Origin unsure,,,0.6,0.3,,http://nativeplants.evergreen.ca/search/view-plant.php?ID=05252,,0,1,,0,Cyperaceae
Asteraceae,Encelia farinosa,Encelia farinosa,TRUE,NCBI,0.988,"Southwestern USA, Northern Mexico",,,,1.5,0.3,,https://en.wikipedia.org/wiki/Encelia_farinosa,,1,1,,0,Asteraceae
Onagraceae,Epilobium hirsutum,Epilobium hirsutum,TRUE,NCBI,0.988,North Africa and Europe,,1.018971153,Native,,,2,https://en.wikipedia.org/wiki/Epilobium_hirsutum,,0,1,,0,Onagraceae
Poaceae,Eragrostis lehmanniana,Eragrostis lehmanniana,TRUE,NCBI,0.988,Southern Africa,,,,0.8,0.61,,https://en.wikipedia.org/wiki/Eragrostis_lehmanniana,,0,0,,0,Poaceae
