EF_type,lat,long,CWD
Aboveground biomass,45.663007,-84.423323,-179.2916565
Aboveground biomass,40.13633333,-120.0731667,-1065.583374
Aboveground biomass,41,-117.58,-1224.625
Aboveground biomass,40.99,-117.86,-1207.5
Aboveground biomass,40.57,-118.34,-1188.958374
Aboveground biomass,50.85,4.416667,-158.5
Aboveground biomass,50.865778,4.469376,-158.5
Aboveground biomass,50.453569,3.819122,-152.1666565
Aboveground biomass,31.15,122,NA
Aboveground biomass,49.36666667,-107.8833333,-654.375
Aboveground biomass,-13.15,130.65,-1082.625
Aboveground biomass,43,-76.75,-187.375
Aboveground biomass,49.06833333,-106.5308056,-664.375
Aboveground biomass,50.75579,-120.465775,-529.375
Aboveground biomass,46.91666667,-123.2666667,-220.875
Aboveground biomass,50.34546,-109.995117,-629.75
Aboveground biomass,50.859927,4.464912,-158.5
Aboveground biomass,-14.298203,-170.715649,NA
Aboveground biomass,37.862,-122.524,-687.333313
Aboveground biomass,37.862,-122.524,-687.333313
Aboveground biomass,37.862,-122.524,-687.333313
Aboveground biomass,37.862,-122.524,-687.333313
Aboveground biomass,37.862,-122.524,-687.333313
Aboveground biomass,37.862,-122.524,-687.333313
Aboveground biomass,37.931,-122.673,-656.25
Aboveground biomass,37.931,-122.673,-656.25
Aboveground biomass,37.931,-122.673,-656.25
Aboveground biomass,39.21916667,-86.54138889,-208.1666565
Aboveground biomass,30.16666667,122.0166667,NA
Aboveground biomass,25.995081,-81.482849,-500.4166565
Aboveground biomass,42.762371,-88.133196,-190.8333435
Aboveground biomass,31.41666667,121.8333333,NA
Aboveground biomass,39.13333333,26.51666667,-875.833313
Aboveground biomass,33.38,-117.5,-1021.125
Aboveground biomass,41.61666667,-83.23333333,-247
Aboveground biomass,50.895427,4.416804,-165.5
Aboveground biomass,50.895427,4.416804,-165.5
Aboveground biomass,50.895427,4.416804,-165.5
