EF_measure,Units.used.for.EF,EF_type,EF_UI,SE_UI,SS_UI,EF_I,SE_I,SS_I,Var,Dom_nat,Inv_sp,Study,SiteID,Year,Latitude,Longitude,Exp_obs,Ecosystem,Terr_aqu,Native_height,Inv_height,Native_woodiness,Inv_woodiness,Native_C3,Inv_C3
Soil moisture,,Soil moisture,42.1493,1.9812,30,58.2526,1.9811,30,,Distichlis spicata,Spartina anglica,Hacker et al (2006),Hacker et al (2006)b,2006,48.23333333,-122.7333333,Observational,Coastal marsh,Aquatic,0.5,0.85,0,0,0,0
Soil moisture,grams of water per grams of wet soil,Soil moisture,70,3,10,59,3,10,,Metrosideros polymorpha,Myrica cerifera,Kurten et al (2008),Kurten et al (2008)a,2008,19.733421,-155.090389,Observational,Forest,Terrestrial,22.5,6,1,1,1,NA
Soil moisture,percentage soil water content,Soil moisture,6.933333333,0.769786705,7,4.333333333,0.151738497,7,SE,Taxodium distichum,Melaleuca quinquenervia,Martin et al 2009,Martin et al 2009a,2009,25.995081,-81.482849,Observational,Forest,Terrestrial,32.5,20,1,1,1,1
Soil water content,percentage soil water content,Soil moisture,25.3,0.491934955,5,24.6,0.939148551,5,SE,Setaria plicata,Ageratina adenophora,Niu et al (2007),Niu et al (2007)a,2007,24.70394444,102.8801667,Observational,Forest,Terrestrial,0.875,1.5,0,0,0,NA
Volumetric soil moisture,percentage,Soil moisture,14.82363333,1.099866769,7,17.06303333,1.119307906,7,SE,Avena fatua,Cynara cardunculus,Potts et al (2008),Potts et al (2008)a,2008,33.38,-117.5,Observational,Grassland,Terrestrial,0.75,1.15,0,0,1,1
Soil moisture,percentage soil moisture,Soil moisture,4.169885185,0.086585937,15,4.389401852,0.088026303,15,,Oryzopsis hymenoides,Bromus tectorum,Sperry et al (2006),Sperry et al (2006)a,2006,38.333847,-109.877357,Observational,Grassland,Terrestrial,35.5,0.65,0,0,1,1
Soil moisture,percentage soil moisture,Soil moisture,3.926553704,0.09230061,15,3.818787037,0.094608341,15,,Pleuraphis jamesii,Bromus tectorum,Sperry et al (2006),Sperry et al (2006)b,2006,38.333847,-109.877357,Observational,Grassland,Terrestrial,0.6,0.65,0,0,0,1
Soil gravimetric water,%,Soil moisture,22.3193,1.9785,6,13.0865,0.7903,6,SE,Paspalum quadrifarium,Festuca arundinacea,Spirito et al (2014),Spirito et al (2014)a,2014,-35.93333333,-61.2,Experimental,Grassland,Terrestrial,2,1.125,0,0,0,1
Soil gravimetric water,%,Soil moisture,35.1158,1.8789,6,27.8608,2.1755,6,SE,Paspalum quadrifarium,Festuca arundinacea,Spirito et al (2014),Spirito et al (2014)a,2014,-35.93333333,-61.2,Experimental,Grassland,Terrestrial,2,1.125,0,0,0,1
Soil gravimetric water,%,Soil moisture,17.0609,1.0862,6,13.4639,1.3844,6,,Paspalum quadrifarium,Festuca arundinacea,Spirito et al (2014),Spirito et al (2014)a,2014,-35.93333333,-61.2,Experimental,Grassland,Terrestrial,2,1.125,0,0,0,1
Soil moisture,kg per kg of soil,Soil moisture,0.082,0.006,NA,0.087,NA,NA,,Artemisia tridentata,Bromus tectorum,Stark and Norton (2015),Stark and Norton (2015)a,2015,39.90333333,-108.4008333,Experimental,Scrub,Terrestrial,1.75,0.65,1,0,1,1
Soil moisture,%,Soil moisture,30.56,2.066,3,32.89,2.22,3,SE,Quercus alba,Microstegium vimineum,"Tekiela and 
Barney (2015)","Tekiela and 
Barney (2015)a",2015,37.281008,-80.475236,Observational,Forest,Terrestrial,27,0.7,1,0,1,0
Soil moisture,percentage soil moisture,Soil moisture,35.64055,0.1193605,15,36.1735,0.09239165,15,,Urtica dioica,Mimulus guttatus,Truscott et al (2008),Truscott et al (2008)a,2008,57.13333333,-2.633333333,Experimental,River,Aquatic,1.5,0.45,0,0,1,1
Soil moisture,percentage soil moisture,Soil moisture,36.0152,0.097142357,15,41.29845,0.091163042,15,,Urtica dioica,Mimulus guttatus,Truscott et al (2008),Truscott et al (2008)b,2008,57.13333333,-2.633333333,Experimental,River,Aquatic,1.5,0.45,0,0,1,1
