EF_measure,Units.used.for.EF,EF_type,Organic matter,EF_UI,SE_UI,SS_UI,EF_I,SE_I,SS_I,Var,Dom_nat,Inv_sp,Study,SiteID,Year,Latitude,Longitude,Exp_obs,Ecosystem,Terr_aqu,Native_height,Inv_height,Native_woodiness,Inv_woodiness,Native_C3,Inv_C3,Temp,Precip,CWD
Soil organic matter,,Soil carbon,y,2.72,0.04,4,3.12,0.02,4,SE,Paspulum conjugatum,Lantana camara,Fan et al (2010),Fan et al (2010)a,2010,23.66631667,113.1498667,Observational,Scrub,Terrestrial,0.3,2,0,1,0,1,214.3058783,1866.613435,-116.1983832
Soil organic carbon,miligrams of organic carbon per gram of soil (0-5cm depth),Soil carbon,y,9.45,0.35,20,9.22,0.39,20,SE,Banksia menziesii,Ehrharta calycina,Fisher et al 2006,Fisher et al 2006a,2006,-31.947447,115.781136,Observational,Forest,Terrestrial,10,0.5,1,0,1,1,185.628502,778.6784179,-1253.954651
Soil organic carbon,milligrams of organic carbon per gram of soil (0-5cm depth),Soil carbon,y,9.45,0.35,20,11.8,0.6,20,SE,Banksia menziesii,Pelargonium capitatum,Fisher et al 2006,Fisher et al 2006b,2006,-31.947556,115.78105,Observational,Forest,Terrestrial,10,1,1,0,1,NA,185.628364,778.6786235,-1253.964822
Soil organic matter,%,Soil carbon,y,58.3993,7.9752,3,77.8404,0.8723,3,SE,Typha x glauca,Carex stricta,Geddes et al. (2014),Geddes et al. (2014)a,2014,41.654373,-87.052651,Observational,Freshwater wetland,Aquatic,1.35,0.61,0,0,NA,1,97.668382,958.8744907,-217.5501406
Soil organic matter,%,Soil carbon,y,58.3993,7.9752,3,64.7565,9.5951,3,SE,Typha x glauca,Carex stricta,Geddes et al. (2014),Geddes et al. (2014)b,2014,41.654373,-87.052651,Observational,Freshwater wetland,Aquatic,1.35,0.61,0,0,NA,1,97.668382,958.8744907,-217.5501406
Soil organic matter,%,Soil carbon,y,58.3993,7.9752,3,88.6836,0.7465,3,SE,Typha x glauca,Carex stricta,Geddes et al. (2014),Geddes et al. (2014)c,2014,41.654373,-87.052651,Observational,Freshwater wetland,Aquatic,1.35,0.61,0,0,NA,1,97.668382,958.8744907,-217.5501406
Soil organic matter,,Soil carbon,y,0.33,0.04,3,2.59,0.18,3,SE,Corema album,Acacia longifola,Hellmann et al. (2011),Hellmann et al. (2011)a,2011,38.25,-8.766666667,Observational,Coastal dune,Terrestrial,0.5,10,1,1,1,1,169,607.3999999,-792.725
Soil organic matter,,Soil carbon,y,762.624,64.407,8,761.6416,81.5493,8,SE,Hesperostipa comata,Agropyron cristatum,Henderson et al (2005),Henderson et al (2005)a,2005,50.34546,-109.995117,Observational,Grassland,Terrestrial,1,0.4,0,0,1,1,36.12407928,336.5171773,-632.7051042
Total soil organic carbon,,Soil carbon,y,27.45,1.77,9,40.56,6.91,9,SE,Quercus ilex,Acacia dealbata,Lazzaro et al. (2014),Lazzaro et al. (2014)a,2014,42.811389,10.416355,Observational,Forest,Terrestrial,12.5,8.5,1,1,1,1,154.99813,605.4887173,-489.9035013
Soil organic matter,percentage organic matter,Soil carbon,y,2.5,0.349461831,7,2.166666667,0.089942839,7,SE,Taxodium distichum,Melaleuca quinquenervia,Martin et al 2009,Martin et al 2009a,2009,25.995081,-81.482849,Observational,Forest,Terrestrial,32.5,20,1,1,1,1,232.926608,1330.512694,-499.4267099
Soil organic matter,%,Soil carbon,y,0.9384,0.0739,3,0.8533,0.1404,3,SE,Fraxinus anustifola,Ailanthus altissima,Medina-Villar et al. (2015),Medina-Villar et al. (2015)a,2015,40.57530556,-3.229611111,Observational,Forest,Terrestrial,25,22,1,1,1,1,128.8699135,431.6785124,-737.9007168
Soil organic matter,%,Soil carbon,y,0.508,0.0591,4,2.1595,0.3694,3,SE,Poplus alba,Robinia pseudoacacia,Medina-Villar et al. (2015),Medina-Villar et al. (2015)b,2015,40.94677778,-2.937694444,Observational,Forest,Terrestrial,21.5,25,1,1,1,1,114.6018529,465.0190199,-656.7549402
Soil organic carbon,grams of carbon per kilogram,Soil carbon,y,43.1,2.01246118,5,62.7,3.443544685,5,SE,Setaria plicata,Ageratina adenophora,Niu et al (2007),Niu et al (2007)a,2007,24.70394444,102.8801667,Observational,Forest,Terrestrial,0.875,1.5,0,0,0,NA,153.1681564,1021.959463,-383.5805304
