,submitted_name,matched_name,Same,data_source_title,score,Origin,Notes
41,Bromus tectorum,Bromus tectorum,TRUE,NCBI,0.988,"Europe, Northern Africa, South Western Asia",
42,Calamagrostis epigejos,Calamagrostis epigejos,TRUE,Freebase,0.988,Eurasia and Africa,
43,Carex acutiformis,Carex acutiformis,TRUE,NCBI,0.988,Northern and Western Europe,
44,Carex elata,Carex elata,TRUE,NCBI,0.988,Unclear,
45,Carex lurida,Carex lurida,TRUE,NCBI,0.988,Unclear,
46,Carex stricta,Carex stricta,TRUE,NCBI,0.988,North America,
47,Carpobrotus,Carpobrotus,TRUE,Catalogue of Life,0.75,,
48,Carya laciniosa,Carya laciniosa,TRUE,NCBI,0.988,Eastern North America,
49,Centairea solsititialis,Centaurea solstitialis,FALSE,Catalogue of Life,0.75,Mediterranean,
50,Centaurea diffusa,Centaurea diffusa,TRUE,NCBI,0.988,Eastern Europe and Western Asia,
51,Centaurea maculosa,Centaurea maculosa,TRUE,NCBI,0.988,Eastern Europe,
52,Centaurea stoebe,Centaurea stoebe,TRUE,NCBI,0.988,Italy,
53,Chrysanthemoides monilifera,Chrysanthemoides monilifera,TRUE,NCBI,0.988,South Africa,
54,Corema album,Corema album,TRUE,NCBI,0.988,Iberia,
55,Cortaderia selloana,Cortaderia selloana,TRUE,NCBI,0.988,South South America,
56,Cupania porphyria,Cupania,FALSE,Catalogue of Life,0.75,,
57,Cynara cardunculus,Cynara cardunculus,TRUE,NCBI,0.988,Central and Western Mediterranean,
58,Cynodon dactylon,Cynodon dactylon,TRUE,NCBI,0.988,Bermuda?,Origin unsure
59,Cyperus malaccensis,Cyperus malaccensis,TRUE,uBio NameBank,0.988,,Origin unsure
60,Cytisus scoparius,Cytisus scoparius,TRUE,NCBI,0.988,Western and Central Europe,
61,Dactylis glomerata,Dactylis glomerata,TRUE,NCBI,0.988,"Europe, temperate Asia, Northern America",
62,Diospyros sandwicensis,Diospyros sandwicensis,TRUE,NCBI,0.988,Hawaii,
63,Distichlis spicata,Distichlis spicata,TRUE,NCBI,0.988,Americas,
64,Ehrharta calycina,Ehrharta calycina,TRUE,NCBI,0.988,Southern Africa,
65,Elaeagnus umbellata,Elaeagnus umbellata,TRUE,NCBI,0.988,Eastern Asia,
66,Eleocharis smallii,Eleocharis smallii,TRUE,CU*STAR,0.988,,Origin unsure
67,Encelia farinosa,Encelia farinosa,TRUE,NCBI,0.988,"Southwestern USA, Northern Mexico",
68,Epilobium hirsutum,Epilobium hirsutum,TRUE,NCBI,0.988,North Africa and Europe,
69,Eragrostis lehmanniana,Eragrostis lehmanniana,TRUE,NCBI,0.988,Southern Africa,
70,Euclea racemosa,Euclea racemosa,TRUE,NCBI,0.988,Indian Ocean coast of Africa,
71,Eupatorium cannabinum,Eupatorium cannabinum,TRUE,NCBI,0.988,Europe,
72,Eupatorium perfoliatum,Eupatorium perfoliatum,TRUE,NCBI,0.988,Eastern North America,
73,Fagus sylvatica,Fagus sylvatica,TRUE,NCBI,0.988,Europe,
74,Falcataria moluccana,Falcataria moluccana,TRUE,NCBI,0.988,"New Guinea, Papua New Guinea, Solomon Islands",
75,Fallopia japonica,Fallopia japonica,TRUE,NCBI,0.988,East Asia and Japan,
76,Festuca arundinacea,Festuca arundinacea,TRUE,NCBI,0.988,Europe,
77,Festuca campestris,Festuca campestris,TRUE,EOL,0.988,,Origin unsure
78,Festuca idahoensis,Festuca idahoensis,TRUE,NCBI,0.988,Western North America,
79,Festuca ovina,Festuca ovina,TRUE,NCBI,0.988,Europe and Asia,
80,Festuca rubra,Festuca rubra,TRUE,NCBI,0.988,Northern Hemisphere,
81,Ficinia,Ficinia,TRUE,Catalogue of Life,0.75,,Origin unsure
82,Fraxinus angustifolia,Fraxinus angustifolia,TRUE,Wikispecies,0.988,"Europe, South West Asia, North Africa",
83,Fraxinus anustifola,Fraxinus angustifolia,FALSE,Catalogue of Life,0.75,"Europe, South West Asia, North Africa",
84,Galium palustre,Galium palustre,TRUE,NCBI,0.988,"Europe, North America, Eastern North America",
85,Glechoma hederacea,Glechoma hederacea,TRUE,NCBI,0.988,Europe and Southwestern Asia,
86,Haloxylon persicum,Haloxylon persicum,TRUE,NCBI,0.988,Western  to Central Asia,
87,Hedychium gardnerianum,Hedychium gardnerianum,TRUE,NCBI,0.988,Himalayas,
88,Heracleum mantegazzianum,Heracleum mantegazzianum,TRUE,NCBI,0.988,Central Asia,
89,Heracleum sphondylium,Heracleum sphondylium,TRUE,Catalogue of Life,0.988,Europe and Asia,
90,Hesperostipa comata,Hesperostipa comata,TRUE,NCBI,0.988,North America,
91,Heteropogon contortus,Heteropogon contortus,TRUE,NCBI,0.988,"Southern Africa, southern Asia, Oceania",
92,Impatiens glandulifera,Impatiens glandulifera,TRUE,NCBI,0.988,Himalayas,
93,Kalanchoe daigremontiana,Kalanchoe daigremontiana,TRUE,NCBI,0.988,Madagascar,
94,Kandelia obovata,Kandelia obovata,TRUE,NCBI,0.988,Southern China,
95,Krascheninnikovia lanata,Krascheninnikovia lanata,TRUE,NCBI,0.988,Western North America,
96,Lantana camara,Lantana camara,TRUE,NCBI,0.988,Central and South America,
97,Ligustrum lucidum,Ligustrum lucidum,TRUE,NCBI,0.988,Southern China,
98,Liriodendron tulipifera,Liriodendron tulipifera,TRUE,NCBI,0.988,North America,
99,Lonicera maackii,Lonicera maackii,TRUE,NCBI,0.988,East and Central Asia,
100,Lupinus luteus,Lupinus luteus,TRUE,NCBI,0.988,Southern Europe and North Africa,
101,Lythrum salicaria,Lythrum salicaria,TRUE,Catalogue of Life,0.988,"Europe, North Africa, Asia, southeastern Australia",
102,Macropiper excelsum,Macropiper excelsum,TRUE,Catalogue of Life,0.988,New Zealand,
103,Maianthmum canadense,Maianthemum canadense,FALSE,Catalogue of Life,0.75,North America,
104,Melaleuca quinquenervia,Melaleuca quinquenervia,TRUE,NCBI,0.988,"New Caledonia, Papua New Guinea, Eastern Australia",
105,Melilotus,Melilotus,TRUE,Catalogue of Life,0.75,,Origin unsure
106,Melinis minutiflora,Melinis minutiflora,TRUE,NCBI,0.988,Africa,
107,Metrosideros polymorpha,Metrosideros polymorpha,TRUE,NCBI,0.988,Hawaii,
108,Microstegium vimineum,Microstegium vimineum,TRUE,NCBI,0.988,"South, East and South-East Asia",
109,Mikania micrantha,Mikania micrantha,TRUE,NCBI,0.988,Subtropical Americas,
110,Mimulus guttatus,Mimulus guttatus,TRUE,Freebase,0.988,Western North America,
111,Molinia caerulea,Molinia caerulea,TRUE,NCBI,0.988,"Europe, west Asia, North America",
112,Myrica cerifera,Myrica cerifera,TRUE,Freebase,0.988,North and Central America,
113,Myrica faya,Myrica faya,TRUE,Freebase,0.988,"Azores, Madeira, Canary Islands",
114,Nassella pulchra,Nassella pulchra,TRUE,NCBI,0.988,California,
115,Nassella viridula,Nassella viridula,TRUE,NCBI,0.988,North America,
116,Opuntia caracassana,Opuntia caracassana,TRUE,NCBI,0.988,,Origin unsure
117,Oryzopsis hymenoides,Oryzopsis hymenoides,TRUE,Freebase,0.988,Western North America,
118,Oxalis pes-caprae,Oxalis pes-caprae,TRUE,NCBI,0.988,South Africa,
119,Panicum virgatum,Panicum virgatum,TRUE,NCBI,0.988,North America,
120,Parthenium hysterophorus,Parthenium hysterophorus,TRUE,NCBI,0.988,American tropics,
121,Pascopyrum smithii,Pascopyrum smithii,TRUE,NCBI,0.988,North America,
122,Paspalum quadrifarium,Paspalum quadrifarium,TRUE,NCBI,0.988,,Origin unsure
123,Paspulum conjugatum,Paspalum conjugatum,FALSE,Catalogue of Life,0.75,,Origin unsure
124,Pelargonium capitatum,Pelargonium capitatum,TRUE,NCBI,0.988,South Africa,
125,Pennisetum ciliare,Pennisetum ciliare,TRUE,EOL,0.988,"Africa, Southern Asia",
126,Pennisetum clandestinum,Pennisetum clandestinum,TRUE,Freebase,0.988,East Africa,
127,Pennisetum polystachion,Pennisetum polystachion,TRUE,EOL,0.988,Tropical Africa,
128,Pennisetum setaceum,Pennisetum setaceum,TRUE,Union 4,0.988,"Tropical Africa, Middle East, SW Asia",
129,Petasites hybridus,Petasites hybridus,TRUE,NCBI,0.988,Europe and Northern Asia,
130,Phalaris arundinacea,Phalaris arundinacea,TRUE,NCBI,0.988,"Europe, Asia, North Africa, North America",
131,Phragmites australis,Phragmites australis,TRUE,NCBI,0.988,Unsure,
132,Pilosella officinarum,Pilosella officinarum,TRUE,NCBI,0.988,Europe and Northern Asia,
133,Pinus pinaster,Pinus pinaster,TRUE,NCBI,0.988,Western Mediterranean,
134,Planchonella samoensis,Planchonella samoensis,TRUE,uBio NameBank,0.988,,Origin unsure
135,Pleuraphis jamesii,Pleuraphis jamesii,TRUE,Freebase,0.988,South Western USA,
136,Pluchea sericea,Pluchea sericea,TRUE,NCBI,0.988,Southern USA andNorthern Mexico,
137,Poa cita,Poa cita,TRUE,NCBI,0.988,,Origin unsure
138,Poa pratensis,Poa pratensis,TRUE,NCBI,0.988,"Europe, North America, Asia, North Africa",
139,Poplus alba,Populus alba,FALSE,Catalogue of Life,0.75,Europe and Northern Africa,
140,Populus deltoides,Populus deltoides,TRUE,Catalogue of Life,0.988,Eastern North America,
141,Populus,Populus,TRUE,Catalogue of Life,0.75,,
142,Propsopis juliflora,Propsopis juliflora,TRUE,EOL,0.988,"Mexico, South America and Carribean",
143,Prosopis cineraria,Prosopis cineraria,TRUE,NCBI,0.988,Western Asia and Indian subcontinent,
144,Prosopis juliflora,Prosopis juliflora,TRUE,NCBI,0.988,"Mexico, South America and Carribean",
145,Prunus serotina,Prunus serotina,TRUE,NCBI,0.988,North and South America,
146,Quercus alba,Quercus alba,TRUE,NCBI,0.988,Eastern North America,
147,Quercus ilex,Quercus ilex,TRUE,NCBI,0.988,Mediterranean and Northern Africa,
148,Quercus robur,Quercus robur,TRUE,Wikispecies,0.988,Europe and Western Asia,
149,Quercus rubra,Quercus rubra,TRUE,NCBI,0.988,Eastern North America,
150,Quercus,Quercus,TRUE,Catalogue of Life,0.75,,
151,Raphanus sativus,Raphanus sativus,TRUE,NCBI,0.988,Europe,
152,Retama raetam,Retama raetam,TRUE,NCBI,0.988,Southern Europe and North Africa,
153,Rhamnus cathartica,Rhamnus cathartica,TRUE,NCBI,0.988,"Europe, Northern Africa, western Asia.",
154,Rhamnus davurica,Rhamnus davurica,TRUE,NCBI,0.988,East Asia,
155,Robinia pseudoacacia,Robinia pseudoacacia,TRUE,NCBI,0.988,South Eastern USA,
156,Rubus,Rubus,TRUE,Catalogue of Life,0.75,,
157,Sagittaria latifolia,Sagittaria latifolia,TRUE,NCBI,0.988,"North America, Mexico, Northern South America",
158,Salix caprea,Salix caprea,TRUE,NCBI,0.988,Europe and Asia,
159,Schinus terebinthifolius,Schinus terebinthifolius,TRUE,Freebase,0.988,Tropical and subtropical South America,
160,Schizachyrium condensatum,Schizachyrium condensatum,TRUE,EOL,0.988,South America,
161,Schizachyrium scoparium,Schizachyrium scoparium,TRUE,NCBI,0.988,Native to most of the USA apart from California,
162,Scirpus mariqueter,Scirpus mariqueter,TRUE,EOL,0.988,All continents apart from Africa,
163,Selaginella densa,Selaginella densa,TRUE,NCBI,0.988,Western North America,
164,Setaria plicata,Setaria plicata,TRUE,NCBI,0.988,,Origin unsure
165,Solidago canadensis,Solidago canadensis,TRUE,NCBI,0.988,North-Eastern and North-Central North America,
166,Solidago gigantea,Solidago gigantea,TRUE,NCBI,0.988,North America,
167,Sorghum halepense,Sorghum halepense,TRUE,NCBI,0.988,Mediterranean,
168,Spartina alterniflor,Spartina alterniflora,FALSE,Catalogue of Life,0.75,Atlantic coast of North America,
169,Spartina alterniflora,Spartina alterniflora,TRUE,WoRMS,0.988,Atlantic coast of North America,
170,Spartina anglica,Spartina anglica,TRUE,Freebase,0.988,Europe/UK,
171,Spartina patens,Spartina patens,TRUE,Freebase,0.988,"Atlantic coast of North America, Carribean and Mexico",
172,Stapelia gigantea,Stapelia gigantea,TRUE,NCBI,0.988,South-Eastern Africa,
173,Stipa,Stipa,TRUE,Catalogue of Life,0.75,,Origin unsure
174,Stylophorum diphyllum,Stylophorum diphyllum,TRUE,NCBI,0.988,Eastern North America,
175,Styphelia tameiameiae,Styphelia tameiameiae,TRUE,NCBI,0.988,Hawaii and Maquesas islands,
176,Tamarix chinensis,Tamarix chinensis,TRUE,NCBI,0.988,China and Korea,
177,Tamarix ramosissima,Tamarix ramosissima,TRUE,NCBI,0.988,Europe and Asia,
178,Tamarix,Tamarix,TRUE,NCBI,0.75,,
179,Taxodium distichum,Taxodium distichum,TRUE,NCBI,0.988,South Eastern USA,
180,Teline monspessulana,Teline monspessulana,TRUE,EOL,0.988,Mediterranean,
181,Themeda trianda,Themeda triandra,FALSE,Catalogue of Life,0.75,"Asia, Africa, Australia and Pacific",Origin unsure
182,Toxicodendron vernicifluu,Toxicodendron vernicifluum,FALSE,Catalogue of Life,0.75,China and India,
183,Tradescantia fluminensis,Tradescantia fluminensis,TRUE,NCBI,0.988,South America,
184,Trientalis borealis,Trientalis borealis,TRUE,Catalogue of Life,0.988,North America,
185,Trifolium repens,Trifolium repens,TRUE,NCBI,0.988,Europe and Central Asia,
186,Typha latifolia,Typha latifolia,TRUE,NCBI,0.988,North and South America,
187,Typha x glauca,Typha x glauca,TRUE,NCBI,0.999,Europe,
188,Ulmus minor,Ulmus minor,TRUE,Catalogue of Life,0.988,Europe to Central Asia,
189,Urtica dioica,Urtica dioica,TRUE,Catalogue of Life,0.988,"Europe, Asia, northern Africa, western North America",
190,Vaccinium,Vaccinium,TRUE,Catalogue of Life,0.75,,Origin unsure
