Scientific name,Common name,Coverage,URL
Hierochloe odorata,,Basic,http://www.cabi.org/isc/datasheet/114812
Opuntia stricta,erect prickly pear,Full,http://www.cabi.org/isc/datasheet/37728
Bromus rubens,red brome,Full,http://www.cabi.org/isc/datasheet/10033
Tradescantia fluminensis,wandering Jew,Full,http://www.cabi.org/isc/datasheet/54389
Centaurea debeauxii,meadow knapweed,Full,http://www.cabi.org/isc/datasheet/113056
Cirsium vulgare,spear thistle,Full,http://www.cabi.org/isc/datasheet/13631
Lythrum salicaria,purple loosestrife,Full,http://www.cabi.org/isc/datasheet/31890
Hedychium gardnerianum,kahili ginger,Full,http://www.cabi.org/isc/datasheet/26679
Cichorium endivia,endives,Full,http://www.cabi.org/isc/datasheet/13408
Annona squamosa,sugar apple,Full,http://www.cabi.org/isc/datasheet/5820
Annona muricata,soursop,Full,http://www.cabi.org/isc/datasheet/5812
Phaseolus lunatus,lima bean,Full,http://www.cabi.org/isc/datasheet/40620
Cotoneaster horizontalis,wall-spray,Full,http://www.cabi.org/isc/datasheet/16870
Fallopia sachalinensis,giant knotweed,Full,http://www.cabi.org/isc/datasheet/107744
Fallopia x bohemica,,Full,http://www.cabi.org/isc/datasheet/108332
Fallopia dumetorum,,Basic,http://www.cabi.org/isc/datasheet/114376
Bauhinia variegata,mountain ebony,Full,http://www.cabi.org/isc/datasheet/8656
Morus nigra,black mulberry,Full,http://www.cabi.org/isc/datasheet/34830
Solanum tuberosum,potato,Full,http://www.cabi.org/isc/datasheet/50561
Colocasia esculenta,taro,Full,http://www.cabi.org/isc/datasheet/17221
Vernicia fordii,tung-oil tree,Full,http://www.cabi.org/isc/datasheet/4122
Sicyos angulatus,burcucumber,Full,http://www.cabi.org/isc/datasheet/49978
Salvinia auriculata,giant salvinia,Full,http://www.cabi.org/isc/datasheet/48444
Mesembryanthemum crystallinum,crystalline iceplant,Full,http://www.cabi.org/isc/datasheet/115578
Cucurbita foetidissima,,Basic,http://www.cabi.org/isc/datasheet/113686
Macaranga tanarius,parasol leaf tree,Full,http://www.cabi.org/isc/datasheet/32763
Conium maculatum,poison hemlock,Full,http://www.cabi.org/isc/datasheet/14820
Ptychosperma macarthurii,Macarthur palm,Full,http://www.cabi.org/isc/datasheet/45714
Salvinia molesta,Kariba weed,Full,http://www.cabi.org/isc/datasheet/48447
Fragaria vesca,wild strawberry,Full,http://www.cabi.org/isc/datasheet/24409
Hypochaeris radicata,cat's ear,Full,http://www.cabi.org/isc/datasheet/27895
Ricinus communis,castor bean,Full,http://www.cabi.org/isc/datasheet/47618
Rosa multiflora,Multiflora rose,Full,http://www.cabi.org/isc/datasheet/47824
Syngonium podophyllum,arrowhead vine,Full,http://www.cabi.org/isc/datasheet/52285
Sphagneticola trilobata,wedelia,Full,http://www.cabi.org/isc/datasheet/56714
Erodium cicutarium,common storksbill,Full,http://www.cabi.org/isc/datasheet/21843
Aira caryophyllea,silver hairgrass,Full,http://www.cabi.org/isc/datasheet/112070
Castilla elastica,Mexican rubber tree,Full,http://www.cabi.org/isc/datasheet/11498
Nicotiana glauca,tree tobacco,Full,http://www.cabi.org/isc/datasheet/36324
Piper auritum,,Full,http://www.cabi.org/isc/datasheet/41359
Rhizophora mangle,red mangrove,Full,http://www.cabi.org/isc/datasheet/47509
Mentha pulegium,pennyroyal,Full,http://www.cabi.org/isc/datasheet/115572
Bromus hordeaceus,soft brome,Full,http://www.cabi.org/isc/datasheet/10026
Rubus niveus,Mysore raspberry,Full,http://www.cabi.org/isc/datasheet/107939
Ruellia simplex,Mexican petunia,Full,http://www.cabi.org/isc/datasheet/110307
Gomphocarpus physocarpus,balloon cotton bush,Full,http://www.cabi.org/isc/datasheet/114618
Passiflora edulis,passionfruit,Full,http://www.cabi.org/isc/datasheet/38799
Reutealis trisperma,Philippine tung,Full,http://www.cabi.org/isc/datasheet/4125
Silene latifolia subsp. alba,white campion,Full,http://www.cabi.org/isc/datasheet/33165
Ventenata dubia,North Africa grass,Full,http://www.cabi.org/isc/datasheet/117772
Striga asiatica,witch weed,Full,http://www.cabi.org/isc/datasheet/51786
Crypsis vaginiflora,African pricklegrass,Full,http://www.cabi.org/isc/datasheet/120573
Tephrosia candida,white tephrosia,Full,http://www.cabi.org/isc/datasheet/53243
Urtica dioica,stinging nettle,Full,http://www.cabi.org/isc/datasheet/55911
Crypsis schoenoides,swamp pricklegrass,Full,http://www.cabi.org/isc/datasheet/113637
Coccinia grandis,scarlet-fruited ivy gourd,Full,http://www.cabi.org/isc/datasheet/14659
Rhamphicarpa fistulosa,,Full,http://www.cabi.org/isc/datasheet/119715
Brugmansia suaveolens,white angel's trumpet,Full,http://www.cabi.org/isc/datasheet/107903
Verbascum densiflorum,,Basic,http://www.cabi.org/isc/datasheet/117777
Ipomoea obscura,,Basic,http://www.cabi.org/isc/datasheet/119819
Lychnis chalcedonica,,Basic,http://www.cabi.org/isc/datasheet/115418
Matricaria perforata,false chamomile,Basic,http://www.cabi.org/isc/datasheet/115500
Schizanthus pinnatus,,Basic,http://www.cabi.org/isc/datasheet/116953
Helianthus debilis,,Basic,http://www.cabi.org/isc/datasheet/114701
Isopyrum thalictroides,,Basic,http://www.cabi.org/isc/datasheet/115000
Cleome rutidosperma,fringed spiderflower,Full,http://www.cabi.org/isc/datasheet/14044
Rosmarinus officinalis,rosemary,Full,http://www.cabi.org/isc/datasheet/47678
Senecio jacobaea,common ragwort,Full,http://www.cabi.org/isc/datasheet/49558
Lygodium japonicum,Japanese climbing fern,Full,http://www.cabi.org/isc/datasheet/31783
Atriplex semibaccata,Australian saltbush,Full,http://www.cabi.org/isc/datasheet/7903
Indigofera trita,Asian indigo,Full,http://www.cabi.org/isc/datasheet/120416
Cassia javanica,pink shower,Full,http://www.cabi.org/isc/datasheet/11443
Bidens frondosa,beggarticks,Full,http://www.cabi.org/isc/datasheet/108916
Persicaria chinensis,Chinese knotweed,Full,http://www.cabi.org/isc/datasheet/118915
Ligustrum lucidum,Chinese privet,Basic,http://www.cabi.org/isc/datasheet/30751
Carpobrotus edulis,hottentot fig,Full,http://www.cabi.org/isc/datasheet/10648
Brassica rapa,,Basic,http://www.cabi.org/isc/datasheet/121115
Calopogonium caeruleum,jicama,Full,http://www.cabi.org/isc/datasheet/14059
Rudbeckia laciniata,cutleaf coneflower,Full,http://www.cabi.org/isc/datasheet/48032
Cestrum diurnum,day jessamine,Full,http://www.cabi.org/isc/datasheet/89953
Portulaca pilosa,kiss-me-quick,Full,http://www.cabi.org/isc/datasheet/116493
Salvia occidentalis,West Indian sage,Full,http://www.cabi.org/isc/datasheet/120580
Portulaca quadrifida,chickenweed,Full,http://www.cabi.org/isc/datasheet/109326
Solanum elaeagnifolium,silverleaf nightshade,Full,http://www.cabi.org/isc/datasheet/50516
Bothriochloa ischaemum,yellow bluestem,Full,http://www.cabi.org/isc/datasheet/112759
Verbesina encelioides,golden crownbeard,Full,http://www.cabi.org/isc/datasheet/20396
Prunus serotina,black cherry,Full,http://www.cabi.org/isc/datasheet/44360
Ambrosia trifida,giant ragweed,Full,http://www.cabi.org/isc/datasheet/4693
Solanum viarum,tropical soda apple,Full,http://www.cabi.org/isc/datasheet/50562
Asparagus asparagoides,bridal creeper,Full,http://www.cabi.org/isc/datasheet/8139
Baccharis halimifolia,groundsel-bush,Full,http://www.cabi.org/isc/datasheet/8164
Allium ursinum,,Basic,http://www.cabi.org/isc/datasheet/112132
Indigofera trita subsp. scabra,Asian Indigo,Full,http://www.cabi.org/isc/datasheet/120555
Acer rufinerve,grey snake-bark maple,Full,http://www.cabi.org/isc/datasheet/2889
Nelsonia canescens,blue pussyleaf,Full,http://www.cabi.org/isc/datasheet/120146
Canna indica,canna lilly,Full,http://www.cabi.org/isc/datasheet/14575
Grevillea robusta,silky oak,Full,http://www.cabi.org/isc/datasheet/25866
Melinis repens,natal redtop,Full,http://www.cabi.org/isc/datasheet/116730
Dysphania ambrosioides,Mexican tea,Full,http://www.cabi.org/isc/datasheet/113977
Taeniatherum caput-medusae,medusahead wildrye,Full,http://www.cabi.org/isc/datasheet/117419
Flacourtia indica,governor's plum,Full,http://www.cabi.org/isc/datasheet/24211
Urochloa distachya,signal grass,Full,http://www.cabi.org/isc/datasheet/9664
Malva verticillata,,Basic,http://www.cabi.org/isc/datasheet/115486
Neonotonia wightii,perennial soybean,Full,http://www.cabi.org/isc/datasheet/110283
Epipremnum pinnatum,centipede tongavine,Full,http://www.cabi.org/isc/datasheet/50410
Dactylis glomerata,cocksfoot,Full,http://www.cabi.org/isc/datasheet/17618
Caesalpinia violacea,brasiletto,Full,http://www.cabi.org/isc/datasheet/10738
Heterotheca grandiflora,telegraph weed,Full,http://www.cabi.org/isc/datasheet/120576
Cyrtomium falcatum,Japanese holly fern,Full,http://www.cabi.org/isc/datasheet/17203
Roystonea oleracea,Caribbean royal palm,Full,http://www.cabi.org/isc/datasheet/47910
Salsola kali,common saltwort,Full,http://www.cabi.org/isc/datasheet/50297
Cuphea carthagenensis,Colombian waxweed,Full,http://www.cabi.org/isc/datasheet/113690
Danthonia decumbens,heath grass,Full,http://www.cabi.org/isc/datasheet/113791
Halogeton glomeratus,halogeton,Full,http://www.cabi.org/isc/datasheet/26352
Alopecurus pratensis,meadow foxtail,Full,http://www.cabi.org/isc/datasheet/4361
Vicia villosa,hairy vetch,Full,http://www.cabi.org/isc/datasheet/56371
Opuntia elatior,red-flower prickly pear,Full,http://www.cabi.org/isc/datasheet/120784
Cassytha filiformis,love-vine,Full,http://www.cabi.org/isc/datasheet/11493
Parthenium hysterophorus,parthenium weed,Full,http://www.cabi.org/isc/datasheet/45573
Epilobium ciliatum,northern willowherb,Full,http://www.cabi.org/isc/datasheet/114114
Polygonum arenastrum,common knotweed,Full,http://www.cabi.org/isc/datasheet/121176
Thespesia populnea,portia tree,Full,http://www.cabi.org/isc/datasheet/53592
Alternanthera sessilis,sessile joyweed,Full,http://www.cabi.org/isc/datasheet/4404
Annona cherimola,cherimoya,Full,http://www.cabi.org/isc/datasheet/5806
Oryza barthii,,Full,http://www.cabi.org/isc/datasheet/119930
Oryza punctata,wild rice,Full,http://www.cabi.org/isc/datasheet/37963
Bocconia frutescens,plume poppy,Full,http://www.cabi.org/isc/datasheet/9449
Sesbania punicea,red sesbania,Full,http://www.cabi.org/isc/datasheet/49464
Eragrostis lehmanniana,Lehmann lovegrass,Full,http://www.cabi.org/isc/datasheet/114157
Tanacetum vulgare,tansy,Full,http://www.cabi.org/isc/datasheet/13366
Casuarina equisetifolia,casuarina,Full,http://www.cabi.org/isc/datasheet/16718
Casuarina glauca,scaly oak (Australia),Full,http://www.cabi.org/isc/datasheet/16719
Eleocharis dulcis,Chinese water chestnut,Full,http://www.cabi.org/isc/datasheet/20694
Acacia dealbata,acacia bernier,Full,http://www.cabi.org/isc/datasheet/2207
Acacia decurrens,green wattle,Full,http://www.cabi.org/isc/datasheet/2208
Acacia farnesiana,huisache,Full,http://www.cabi.org/isc/datasheet/2236
Eucalyptus sideroxylon,black ironbark,Full,http://www.cabi.org/isc/datasheet/22476
Eucalyptus cladocalyx,sugar gum,Full,http://www.cabi.org/isc/datasheet/22599
Eucalyptus paniculata,grey ironbark,Full,http://www.cabi.org/isc/datasheet/22815
Acacia karroo,sweet thorn,Full,http://www.cabi.org/isc/datasheet/2289
Acacia mearnsii,black wattle,Full,http://www.cabi.org/isc/datasheet/2326
Thlaspi arvense,field pennycress,Full,http://www.cabi.org/isc/datasheet/27595
Albizia lebbeck,Indian siris,Full,http://www.cabi.org/isc/datasheet/4008
Albizia procera,white siris,Full,http://www.cabi.org/isc/datasheet/4021
Samanea saman,rain tree,Full,http://www.cabi.org/isc/datasheet/4026
Rhamnus cathartica,buckthorn,Full,http://www.cabi.org/isc/datasheet/46996
Frangula alnus,alder buckthorn,Full,http://www.cabi.org/isc/datasheet/47001
Rhododendron ponticum,rhododendron,Full,http://www.cabi.org/isc/datasheet/47272
Robinia pseudoacacia,black locust,Full,http://www.cabi.org/isc/datasheet/47698
Rottboellia cochinchinensis,itch grass,Full,http://www.cabi.org/isc/datasheet/47782
Rumex crispus,curled dock,Full,http://www.cabi.org/isc/datasheet/48059
Saccharum spontaneum,wild sugarcane,Full,http://www.cabi.org/isc/datasheet/48162
Sapium sebiferum,Chinese tallow tree,Full,http://www.cabi.org/isc/datasheet/48351
Salix fragilis,crack willow,Full,http://www.cabi.org/isc/datasheet/48577
Schinus terebinthifolia,Brazilian pepper tree,Full,http://www.cabi.org/isc/datasheet/49031
Senecio vulgaris,,Full,http://www.cabi.org/isc/datasheet/49571
Senna obtusifolia,sicklepod,Full,http://www.cabi.org/isc/datasheet/49593
Setaria faberi,giant foxtail,Full,http://www.cabi.org/isc/datasheet/49767
Setaria verticillata,bristly foxtail,Full,http://www.cabi.org/isc/datasheet/49775
Setaria viridis,green foxtail,Full,http://www.cabi.org/isc/datasheet/49776
Sida acuta,sida,Full,http://www.cabi.org/isc/datasheet/49985
Solanum mauritianum,tobacco tree,Full,http://www.cabi.org/isc/datasheet/50533
Solanum nigrum,black nightshade,Full,http://www.cabi.org/isc/datasheet/50540
Solanum torvum,turkey berry,Full,http://www.cabi.org/isc/datasheet/50559
Solidago gigantea,giant goldenrod,Full,http://www.cabi.org/isc/datasheet/50575
Sonchus arvensis,perennial sowthistle,Full,http://www.cabi.org/isc/datasheet/50583
Sonchus oleraceus,common sowthistle,Full,http://www.cabi.org/isc/datasheet/50584
Solidago canadensis,Canadian goldenrod,Full,http://www.cabi.org/isc/datasheet/50599
Sorghum halepense,Johnson grass,Full,http://www.cabi.org/isc/datasheet/50624
Spergula arvensis,corn spurry,Full,http://www.cabi.org/isc/datasheet/50838
Sphenoclea zeylanica,wedgewort,Full,http://www.cabi.org/isc/datasheet/51031
Stachytarpheta jamaicensis,Jamaica vervain,Full,http://www.cabi.org/isc/datasheet/51364
Stellaria media,common chickweed,Full,http://www.cabi.org/isc/datasheet/51635
Synedrella nodiflora,synedrella,Full,http://www.cabi.org/isc/datasheet/52325
Syzygium jambos,rose apple,Full,http://www.cabi.org/isc/datasheet/52443
Tamarix chinensis,five-stamen tamarisk,Full,http://www.cabi.org/isc/datasheet/52487
Tagetes minuta,stinking Roger,Full,http://www.cabi.org/isc/datasheet/52642
Taraxacum officinale complex,dandelion,Full,http://www.cabi.org/isc/datasheet/52773
Tecoma stans,yellow bells,Full,http://www.cabi.org/isc/datasheet/52951
Tribulus terrestris,puncture vine,Full,http://www.cabi.org/isc/datasheet/54447
Ulex europaeus,gorse,Full,http://www.cabi.org/isc/datasheet/55561
Azadirachta indica,neem tree,Full,http://www.cabi.org/isc/datasheet/8112
Albizia julibrissin,silk tree,Full,http://www.cabi.org/isc/datasheet/4005
Sambucus nigra,elder,Full,http://www.cabi.org/isc/datasheet/48259
Senna occidentalis,coffee senna,Full,http://www.cabi.org/isc/datasheet/11450
Eichhornia crassipes,water hyacinth,Full,http://www.cabi.org/isc/datasheet/20544
Mimosa diplotricha,giant sensitive plant,Full,http://www.cabi.org/isc/datasheet/34196
Celastrus orbiculatus,Asiatic bittersweet,Full,http://www.cabi.org/isc/datasheet/12009
Centaurea stoebe subsp. micranthos,spotted knapweed,Full,http://www.cabi.org/isc/datasheet/12040
Centaurea solstitialis,yellow starthistle,Full,http://www.cabi.org/isc/datasheet/12043
Chenopodium album,fat hen,Full,http://www.cabi.org/isc/datasheet/12648
Chenopodium murale,nettleleaf goosefoot,Full,http://www.cabi.org/isc/datasheet/12652
Chloris barbata,purpletop chloris,Full,http://www.cabi.org/isc/datasheet/13113
Cinnamomum camphora,camphor laurel,Full,http://www.cabi.org/isc/datasheet/13519
Cirsium arvense,creeping thistle,Full,http://www.cabi.org/isc/datasheet/13628
Clidemia hirta,Koster's curse,Full,http://www.cabi.org/isc/datasheet/13934
Clematis vitalba,old man's beard,Full,http://www.cabi.org/isc/datasheet/14280
Cenchrus echinatus,southern sandbur,Full,http://www.cabi.org/isc/datasheet/14501
Cynoglossum officinale,hound's tongue,Full,http://www.cabi.org/isc/datasheet/14550
Commelina benghalensis,wandering jew,Full,http://www.cabi.org/isc/datasheet/14977
Commelina diffusa,spreading dayflower,Full,http://www.cabi.org/isc/datasheet/14979
Convolvulus arvensis,bindweed,Full,http://www.cabi.org/isc/datasheet/15101
Conyza canadensis,Canadian fleabane,Full,http://www.cabi.org/isc/datasheet/15251
Conyza sumatrensis,tall fleabane,Full,http://www.cabi.org/isc/datasheet/15252
Casuarina cunninghamiana,Australian beefwood,Full,http://www.cabi.org/isc/datasheet/16711
Calotropis procera,apple of sodom,Full,http://www.cabi.org/isc/datasheet/16848
Cyperus difformis,small-flowered nutsedge,Full,http://www.cabi.org/isc/datasheet/17495
Cyperus iria,rice flatsedge,Full,http://www.cabi.org/isc/datasheet/17501
Cyperus rotundus,purple nutsedge,Full,http://www.cabi.org/isc/datasheet/17506
Cytisus scoparius,broom,Full,http://www.cabi.org/isc/datasheet/17610
Datura stramonium,jimsonweed,Full,http://www.cabi.org/isc/datasheet/18006
Dichrostachys cinerea,sickle bush,Full,http://www.cabi.org/isc/datasheet/18119
Desmostachya bipinnata,halfa grass,Full,http://www.cabi.org/isc/datasheet/18479
Digitaria ciliaris,southern crabgrass,Full,http://www.cabi.org/isc/datasheet/18912
Digitaria sanguinalis,large crabgrass,Full,http://www.cabi.org/isc/datasheet/18916
Digitaria abyssinica,East African couchgrass,Full,http://www.cabi.org/isc/datasheet/18917
Diodia teres,poorjoe,Full,http://www.cabi.org/isc/datasheet/19056
Arundo donax,giant reed,Full,http://www.cabi.org/isc/datasheet/1940
Abutilon theophrasti,velvet leaf,Full,http://www.cabi.org/isc/datasheet/1987
Echinochloa crus-galli,barnyard grass,Full,http://www.cabi.org/isc/datasheet/20367
Eclipta prostrata,eclipta,Full,http://www.cabi.org/isc/datasheet/20395
Echium plantagineum,Paterson's curse,Full,http://www.cabi.org/isc/datasheet/20400
Eleusine indica,goose grass,Full,http://www.cabi.org/isc/datasheet/20675
Fimbristylis dichotoma,tall fringe rush,Full,http://www.cabi.org/isc/datasheet/20680
Emex australis,Doublegee,Full,http://www.cabi.org/isc/datasheet/20826
Emilia sonchifolia,red tasselflower,Full,http://www.cabi.org/isc/datasheet/20833
Euphorbia esula,leafy spurge,Full,http://www.cabi.org/isc/datasheet/21347
Euphorbia hirta,garden spurge,Full,http://www.cabi.org/isc/datasheet/21355
Equisetum arvense,field horsetail,Full,http://www.cabi.org/isc/datasheet/21621
Acacia confusa,,Full,http://www.cabi.org/isc/datasheet/2191
Acacia cyclops,coastal wattle,Full,http://www.cabi.org/isc/datasheet/2197
Ageratina adenophora,Croftonweed,Full,http://www.cabi.org/isc/datasheet/23243
Chromolaena odorata,Siam weed,Full,http://www.cabi.org/isc/datasheet/23248
Euphorbia heterophylla,wild poinsettia,Full,http://www.cabi.org/isc/datasheet/23313
Polygonum convolvulus,black bindweed,Full,http://www.cabi.org/isc/datasheet/23874
Fimbristylis littoralis,lesser fimbristylis,Full,http://www.cabi.org/isc/datasheet/24023
Acanthospermum hispidum,bristly starbur,Full,http://www.cabi.org/isc/datasheet/2465
Galium aparine,cleavers,Full,http://www.cabi.org/isc/datasheet/24772
Gleditsia triacanthos,honey locust,Full,http://www.cabi.org/isc/datasheet/25272
Heliotropium indicum,Indian heliotrope,Full,http://www.cabi.org/isc/datasheet/26899
Hibiscus trionum,Venice mallow,Full,http://www.cabi.org/isc/datasheet/27133
Hieracium pilosella,mouse-ear hawkweed,Full,http://www.cabi.org/isc/datasheet/27162
Jatropha curcas,jatropha,Full,http://www.cabi.org/isc/datasheet/28393
Imperata cylindrica,cogon grass,Full,http://www.cabi.org/isc/datasheet/28580
Ischaemum rugosum,saramollagrass,Full,http://www.cabi.org/isc/datasheet/28909
Kalanchoe pinnata,cathedral bells,Full,http://www.cabi.org/isc/datasheet/29328
Acroptilon repens,Russian knapweed,Full,http://www.cabi.org/isc/datasheet/2946
Lamium amplexicaule,henbit deadnettle,Full,http://www.cabi.org/isc/datasheet/29728
Leptochloa chinensis,Chinese sprangletop,Full,http://www.cabi.org/isc/datasheet/30207
Leersia hexandra,southern cut grass,Full,http://www.cabi.org/isc/datasheet/30391
Lolium multiflorum,Italian ryegrass,Full,http://www.cabi.org/isc/datasheet/31165
Lolium rigidum,rigid ryegrass,Full,http://www.cabi.org/isc/datasheet/31167
Lolium temulentum,darnel,Full,http://www.cabi.org/isc/datasheet/31169
Leucaena diversifolia,,Full,http://www.cabi.org/isc/datasheet/31625
Leucaena leucocephala,leucaena,Full,http://www.cabi.org/isc/datasheet/31634
Ludwigia hyssopifolia,water primrose,Full,http://www.cabi.org/isc/datasheet/31670
Ludwigia octovalvis,primrose willow,Full,http://www.cabi.org/isc/datasheet/31671
Adenanthera pavonina,red-bead tree,Full,http://www.cabi.org/isc/datasheet/3209
Melia azedarach,Chinaberry,Full,http://www.cabi.org/isc/datasheet/33144
Mimosa pudica,sensitive plant,Full,http://www.cabi.org/isc/datasheet/34202
Melaleuca quinquenervia,paperbark tree,Full,http://www.cabi.org/isc/datasheet/34348
Aeschynomene indica,Indian jointvetch,Full,http://www.cabi.org/isc/datasheet/3451
Monochoria vaginalis,pickerel weed,Full,http://www.cabi.org/isc/datasheet/34807
Myriophyllum aquaticum,parrot-feather,Full,http://www.cabi.org/isc/datasheet/34939
Morella faya,firetree,Full,http://www.cabi.org/isc/datasheet/35490
Ageratum conyzoides,billy goat weed,Full,http://www.cabi.org/isc/datasheet/3572
Elymus repens,quackgrass,Full,http://www.cabi.org/isc/datasheet/3726
Opuntia ficus-indica,prickly pear,Full,http://www.cabi.org/isc/datasheet/37714
Oryza rufipogon,wild rice,Full,http://www.cabi.org/isc/datasheet/37960
Oryza longistaminata,perennial wild rice,Full,http://www.cabi.org/isc/datasheet/37962
Oxalis corniculata,creeping woodsorrel,Full,http://www.cabi.org/isc/datasheet/38154
Parkinsonia aculeata,Mexican palo-verde,Full,http://www.cabi.org/isc/datasheet/38519
Megathyrsus maximus,Guinea grass,Full,http://www.cabi.org/isc/datasheet/38666
Panicum repens,torpedo grass,Full,http://www.cabi.org/isc/datasheet/38670
Passiflora foetida,red fruit passion flower,Full,http://www.cabi.org/isc/datasheet/38800
Paspalum conjugatum,sour paspalum,Full,http://www.cabi.org/isc/datasheet/38951
Paspalum distichum,knotgrass,Full,http://www.cabi.org/isc/datasheet/38952
Akebia quinata,five-leaf akebia,Full,http://www.cabi.org/isc/datasheet/3933
Alliaria petiolata,garlic mustard,Full,http://www.cabi.org/isc/datasheet/3941
Pennisetum clandestinum,kikuyu grass,Full,http://www.cabi.org/isc/datasheet/39765
Pennisetum pedicellatum,deenanath grass,Full,http://www.cabi.org/isc/datasheet/39769
Phragmites australis,common reed,Full,http://www.cabi.org/isc/datasheet/40514
Pithecellobium dulce,Manila tamarind,Full,http://www.cabi.org/isc/datasheet/41187
Plantago lanceolata,ribwort plantain,Full,http://www.cabi.org/isc/datasheet/41813
Plantago major,broad-leaved plantain,Full,http://www.cabi.org/isc/datasheet/41814
Poa annua,annual meadowgrass,Full,http://www.cabi.org/isc/datasheet/42485
Polygonum aviculare,prostrate knotweed,Full,http://www.cabi.org/isc/datasheet/42685
Portulaca oleracea,purslane,Full,http://www.cabi.org/isc/datasheet/43609
Prosopis juliflora,mesquite,Full,http://www.cabi.org/isc/datasheet/43942
Prosopis glandulosa,honey mesquite,Full,http://www.cabi.org/isc/datasheet/44439
Psidium cattleianum,strawberry guava,Full,http://www.cabi.org/isc/datasheet/45135
Pteridium aquilinum,bracken,Full,http://www.cabi.org/isc/datasheet/45596
Pueraria montana var. lobata,kudzu,Full,http://www.cabi.org/isc/datasheet/45903
Pueraria phaseoloides,tropical kudzu,Full,http://www.cabi.org/isc/datasheet/45906
Phyllanthus urinaria,leafflower,Full,http://www.cabi.org/isc/datasheet/46061
Amaranthus hybridus,smooth pigweed,Full,http://www.cabi.org/isc/datasheet/4643
Amaranthus blitum,livid amaranth,Full,http://www.cabi.org/isc/datasheet/4648
Amaranthus retroflexus,redroot pigweed,Full,http://www.cabi.org/isc/datasheet/4652
Amaranthus spinosus,spiny amaranth,Full,http://www.cabi.org/isc/datasheet/4653
Amaranthus viridis,slender amaranth,Full,http://www.cabi.org/isc/datasheet/4654
Raphanus raphanistrum,wild radish,Full,http://www.cabi.org/isc/datasheet/46795
Ambrosia artemisiifolia,common ragweed,Full,http://www.cabi.org/isc/datasheet/4691
Ambrosia psilostachya,perennial ragweed,Full,http://www.cabi.org/isc/datasheet/4692
Anagallis arvensis,scarlet pimpernel,Full,http://www.cabi.org/isc/datasheet/5352
Phalaris arundinacea,reed canary grass,Full,http://www.cabi.org/isc/datasheet/55423
Phalaris paradoxa,awned canary-grass,Full,http://www.cabi.org/isc/datasheet/55425
Urochloa panicoides,liverseed grass,Full,http://www.cabi.org/isc/datasheet/55773
Urtica urens,annual nettle,Full,http://www.cabi.org/isc/datasheet/55913
Anthemis cotula,dog fennel,Full,http://www.cabi.org/isc/datasheet/5672
Xanthium strumarium,common cocklebur,Full,http://www.cabi.org/isc/datasheet/56864
Ziziphus mauritiana,jujube,Full,http://www.cabi.org/isc/datasheet/57556
Arceuthobium americanum,lodgepole pine dwarf mistletoe,Full,http://www.cabi.org/isc/datasheet/6824
Arceuthobium vaginatum,southwestern dwarf mistletoe,Full,http://www.cabi.org/isc/datasheet/6859
Argemone mexicana,Mexican poppy,Full,http://www.cabi.org/isc/datasheet/6878
Avena fatua,wild oat,Full,http://www.cabi.org/isc/datasheet/8058
Avena sterilis,winter wild oat,Full,http://www.cabi.org/isc/datasheet/8062
Axonopus compressus,carpet grass,Full,http://www.cabi.org/isc/datasheet/8094
Azolla pinnata,mosquito fern,Full,http://www.cabi.org/isc/datasheet/8120
