ES_UI,SE_UI,SS_UI,ES_I,SE_I,SS_I,Service,Serv_type,Level of organisation,Rel_ES,Final_service,UI_Rich,I_Rich,Lat,Long,Ecosystem,IS_LF,NS_LF,SiteID,StudyID
0.5587,0.2405,6,1.1495,0.2041,6,Yes,Maintenance of water quality,Intermediate Service,negatively,,-9999,-9999,42.333423,-71.208229,Forest,Forb,Forb,Rodgers et al (2008)b,Rodgers et al (2008)
0.1384,0.0145,6,0.2408,0.102,6,Yes,Maintenance of water quality,Intermediate Service,negatively,,-9999,-9999,41.954958,-73.364811,Forest,Forb,Forb,Rodgers et al (2008)c,Rodgers et al (2008)
0.0715,0.0292,6,0.5165,0.175,6,Yes,Maintenance of water quality,Intermediate Service,negatively,,-9999,-9999,41.981442,-73.194695,Forest,Forb,Forbs,Rodgers et al (2008)d,Rodgers et al (2008)
1.4284,0.4246,6,1.8087,0.6368,6,Yes,Maintenance of water quality,Intermediate Service,negatively,,-9999,-9999,-33.51666667,18.53333333,Scrub,Tree,NA,Stock et al (1995)a,Stock et al (1995)
5.762,1.3445,6,9.0435,2.1933,6,Yes,Maintenance of water quality,Intermediate Service,negatively,,-9999,-9999,-33.75,18.45,Coastal dune,Tree,NA,Stock et al (1995)b,Stock et al (1995)
0.123266667,0.007558635,4,0.147233333,0.013011737,4,Yes,Maintenance of water quality,Intermediate Service,negatively,,-9999,-9999,40.56666667,-3.2,Forest,Tree,Tree,Casto Diez et al 2009b,Castro Diez et al 2009
2.59,0.28,14,2.15,0.25,14,Yes,Maintenance of water quality,Intermediate Service,negatively,,9.71,8.21,46.78333333,6.15,Mixed,Forb,NA,Scharfy et al (2009)a,Scharfy et al (2009)
535.563,65.7927,12,1447.8847,328.8052,12,Yes,Maintenance of water quality,Intermediate Service,negatively,,-9999,-9999,-33.497101,18.589897,Scrub,Tree,NA,Yelenik et al (2007)a,Yelenik et al (2007)
1154.7727,252.0535,12,1519.152,131.5855,12,Yes,Maintenance of water quality,Intermediate Service,negatively,,-9999,-9999,-33.497101,18.589897,Scrub,Shrub,NA,Yelenik et al (2007)b,Yelenik et al (2007)
2.122994118,0.133974837,6,2.567729412,0.402919669,6,Yes,Maintenance of water quality,Intermediate Service,negatively,,-9999,-9999,-33.75,18.45,Coastal dune,Tree,NA,Stock et al (1995)b,Stock et al (1995)
22.42753333,1.32868366,4,19.49266667,1.289635253,4,Yes,Maintenance of water quality,Intermediate Service,negatively,,-9999,-9999,40.56666667,-3.2,Forest,Tree,Tree,Castro Diez et al 2009a,Castro Diez et al 2009
4.470987037,0.15908029,15,5.543325185,0.166551674,15,Yes,Maintenance of water quality,Intermediate Service,negatively,,-9999,-9999,38.333847,-109.877357,Grassland,Grass,Grass,Sperry et al (2006)a,Sperry et al (2006)
5.166122222,0.135784271,15,5.10397963,0.122199085,15,Yes,Maintenance of water quality,Intermediate Service,negatively,,-9999,-9999,38.333847,-109.877357,Grassland,Grass,Grass,Sperry et al (2006)b,Sperry et al (2006)
9.45,0.32,4,12.29,0.645,4,Yes,Maintenance of water quality,Intermediate Service,negatively,,-9999,-9999,23.16666667,112.1666667,Forest,Forb,NA,Chen et al 2009a,Chen et al 2009
1.41202,0.34373,4,1.95398,0.44302,4,Yes,Maintenance of water quality,Intermediate Service,negatively,,5,2,-34.96666667,150.7833333,Coastal dune,Shrub,Tree,Lindsay et al (2005)b,Lindsay et al (2005)
0.0142,0.0024,9,0.0546,0.0023,9,Yes,Maintenance of water quality,Intermediate Service,negatively,,-9999,-9999,39.576619,-74.331007,Wetland,Grass,Grass,Windham et al (2003)a,Windham et al (2003)
315.8515667,101.7792373,5,441.3736333,38.76542886,5,Yes,Maintenance of water quality,Intermediate Service,negatively,,1,1,43,-76.75,Wetland,Forb,Grass,Fickbohm et al 2006a,Fickbohm et al 2006
711.4875375,2.458972486,40,1084.968063,3.261525784,40,Yes,Maintenance of water quality,Intermediate Service,negatively,,-9999,-9999,-12.71666667,131.8166667,Grassland,Grass,Grass,Rossiter-Racher et al (2009)a,Rossiter-Racher et al (2009)
1.8497,0.4509,6,2.2326,0.331,6,Yes,Maintenance of water quality,Intermediate Service,negatively,,-9999,-9999,47.328425,-114.219596,Grassland,Forb,NA,Thorpe et al (2010)a,Thorpe et al (2010)
2.72,0.04,4,3.12,0.02,4,Yes,Belowground carbon storage,Intermediate Service,Positive,Climate regulation,8,1,23.66631667,113.1498667,Grassland,Shrub,Grass,Fan et al (2010)a,Fan et al (2010)
24.6,1.4,20,23.8,2.4,20,Yes,Belowground carbon storage,Intermediate Service,Positive,Climate regulation,1,1,41.61666667,-83.23333333,Wetland,Grass,Forb,Rothman et al (2007)a,Rothman et al (2007)
6.625,0.690762461,3,5.325,0.058797686,3,Yes,Belowground carbon storage,Intermediate Service,Positive,Climate regulation,22,1,39.279773,-86.573124,Wetland,Grass,Sedge,Bills et al (2011)a,Bills et al (2011)
0.44,0.013,40,0.48,0.022,40,Yes,Belowground carbon storage,Intermediate Service,Positive,Climate regulation,3,3,40.57,-118.34,Scrub,Grass,Shrub,Bradley et al 2006a,Bradley et al 2006
2.09,0.1,9,2.28,0.09,9,Yes,Belowground carbon storage,Intermediate Service,Positive,Climate regulation,5,6,47.4,8.5,Wetland,Forb,Grass,Scharfy et al (2010)a,Scharfy et al (2010)
19.5,0.3,5,16.8,0.2,5,Yes,Belowground carbon storage,Intermediate Service,Positive,Climate regulation,11.42,11.08,48.325,-122.4583333,Grassland,Shrub,NA,Shaben et al (2009)a,Shaben et al (2009)
3.453883333,0.313166478,6,4.948516667,0.34459668,6,Yes,Belowground carbon storage,Intermediate Service,Positive,Climate regulation,1,1,31.15,122,Wetland,Grass,Grass,Cheng et al (2009)a,Cheng et al (2010)
0.3222,0.0598,3,0.6919,0.1972,3,Yes,Belowground carbon storage,Intermediate Service,Positive,Climate regulation,-9999,-9999,42.143742,-88.042717,Forest,Shrub,Tree,Heneghan et al (2006)a,Heneghan et al (2006)
6.2542,0.9153,10,4.4407,0.9322,10,Yes,Belowground carbon storage,Intermediate Service,Positive,Climate regulation,28.1718,18.04786,35.209722,24.829102,Mixed,Forb,NA,Vila et al (2006)m,Vila et al (2006)
0.92,0.14,6,2.47,0.69,6,Yes,Belowground carbon storage,Intermediate Service,Positive,Climate regulation,-9999,-9999,-33.51666667,18.53333333,Scrub,Tree,NA,Stock et al (1995)a,Stock et al (1995)
7.13,0.23,24,5.05,0.31,24,Yes,Belowground carbon storage,Intermediate Service,Positive,Climate regulation,5.56,4.08,50.75579,-120.465775,Grassland,Forb,Grass,Fraser et al (2011)a,Fraser et al (2011)
2.1788,0.1911,5,1.5777,0.1367,5,Yes,Belowground carbon storage,Intermediate Service,Positive,Climate regulation,10.2829,5.8778,49.36666667,-107.8833333,Grassland,Grass,Grass,Christian et al (1999)a,Christian et al (1999)
2.5,0.070710678,8,2.9,0.106066017,8,Yes,Belowground carbon storage,Intermediate Service,Positive,Climate regulation,1,1,10.12,-69.7,Forest,Forb,Tree,Chacon et al (2009)a,Chacon et al (2009)
1.6,0.106066017,8,2,0.070710678,8,Yes,Belowground carbon storage,Intermediate Service,Positive,Climate regulation,7,1,10.12,-69.7,Scrub,Forb,,Chacon et al (2009)b,Chacon et al (2009)
13.0434,2.4657,3,14.018,2.0961,3,Yes,Belowground carbon storage,Intermediate Service,Positive,Climate regulation,-9999,-9999,42.149755,-87.780998,Forest,Shrub,Tree,Heneghan et al (2006)c,Heneghan et al (2006)
4.5438,0.72,3,8.8961,2.1598,3,Yes,Belowground carbon storage,Intermediate Service,Positive,Climate regulation,-9999,-9999,41.81457,-88.055935,Forest,Shrub,Tree,Heneghan et al (2006)b,Heneghan et al (2006)
3.4485,1.2236,15,6.0545,0.5122,15,Yes,Belowground carbon storage,Intermediate Service,Positive,Climate regulation,-9999,-9999,42.149755,-87.780998,Forest,Shrub,Tree,Heneghan et al (2004)a,Heneghan et al (2004)
22.21,3.2,6,17.24,3.56,6,Yes,Belowground carbon storage,Intermediate Service,Positive,Climate regulation,-9999,-9999,33.88783333,-88.6345,Forest,Grass,Tree,Strickland et al (2010)a,Strickland et al (2010)
1.07,0.15,6,2.29,0.32,6,Yes,Belowground carbon storage,Intermediate Service,Positive,Climate regulation,-9999,-9999,-33.75,18.45,Coastal dune,Tree,NA,Stock et al (1995)b,Stock et al (1995)
40.605,3.5778,5,35.4948,3.5778,5,Yes,Belowground carbon storage,Intermediate Service,Positive,Climate regulation,3,1,-44.649116,170.403442,Grassland,Forb,Grass,Scott et al (2001)a,Scott et al (2001)
2.30925,1.790407502,15,2.29875,1.385874751,15,Yes,Belowground carbon storage,Intermediate Service,Positive,Climate regulation,15,11.5,57.13333333,-2.633333333,Grassland,Forb,NA,Truscott et al (2008)a,Truscott et al (2008)
19.3405,1.6993,5,20.8492,1.6993,5,Yes,Belowground carbon storage,Intermediate Service,Positive,Climate regulation,3,1,-44.649116,170.403442,Grassland,Forb,Grass,Scott et al (2001)a,Scott et al (2001)
4,0.4576,12,3.9661,0.3729,12,Yes,Belowground carbon storage,Intermediate Service,Positive,Climate regulation,27.80175,25.35003,39.943436,4.11438,Mixed,Forb,NA,Vila et al (2006)p,Vila et al (2006)
6.1172,1.6034,14,5.1802,0.9355,14,Yes,Belowground carbon storage,Intermediate Service,Positive,Climate regulation,23.30315,10.2134,35.209722,24.829102,Mixed,Forb,NA,Vila et al (2006)h,Vila et al (2006)
1.74375,1.457135351,15,2.138,1.367445627,15,Yes,Belowground carbon storage,Intermediate Service,Positive,Climate regulation,15,11.5,57.13333333,-2.633333333,Grassland,Forb,NA,Truscott et al (2008)b,Truscott et al (2008)
1.4,0.28,12,1.1,0.29,12,Yes,Belowground carbon storage,Intermediate Service,Positive,Climate regulation,-9999,-9999,-33.497101,18.589897,Scrub,Shrub,NA,Yelenik et al (2007)b,Yelenik et al (2007)
0.8,0.02,12,2.5,0.34,12,Yes,Belowground carbon storage,Intermediate Service,Positive,Climate regulation,-9999,-9999,-33.497101,18.589897,Scrub,Tree,NA,Yelenik et al (2007)a,Yelenik et al (2007)
2.7206,0.735,21,6.1268,0.9355,21,Yes,Belowground carbon storage,Intermediate Service,Positive,Climate regulation,4.54484,5.31819,43.011677,6.223068,Mixed,Forb,NA,Vila et al (2006)g,Vila et al (2006)
0.7109,0.1336,30,0.8426,0.1335,30,Yes,Belowground carbon storage,Intermediate Service,Positive,Climate regulation,16.83404,9.73009,40.010787,9.173584,Mixed,Forb,NA,Vila et al (2006)k,Vila et al (2006)
1.7966,0.2542,30,1.7119,0.2034,30,Yes,Belowground carbon storage,Intermediate Service,Positive,Climate regulation,12.28997,11.83949,40.010787,9.173584,Mixed,Forb,NA,Vila et al (2006)q,Vila et al (2006)
6.3559,0.5933,30,6.3898,0.5763,30,Yes,Belowground carbon storage,Intermediate Service,Positive,Climate regulation,22.33423,12.54448,39.258841,26.27655,Mixed,Forb,NA,Vila et al (2006)n,Vila et al (2006)
3.8008,0.6013,24,4.8683,0.5347,24,Yes,Belowground carbon storage,Intermediate Service,Positive,Climate regulation,15.8515,9.96323,39.943436,4.11438,Mixed,Forb,NA,Vila et al (2006)j,Vila et al (2006)
6.322,0.9153,24,6.7966,0.7119,24,Yes,Belowground carbon storage,Intermediate Service,Positive,Climate regulation,10.97393,9.85657,43.011677,6.223068,Mixed,Forb,NA,Vila et al (2006)l,Vila et al (2006)
10.5549,0.4008,25,12.1566,0.2674,25,Yes,Belowground carbon storage,Intermediate Service,Positive,Climate regulation,13.6846,7.14162,39.696621,3.02948,Mixed,Forb,NA,Vila et al (2006)i,Vila et al (2006)
3.7288,0.4237,22,3.6271,0.2882,22,Yes,Belowground carbon storage,Intermediate Service,Positive,Climate regulation,19.59155,19.80914,39.696621,3.02948,Mixed,Forb,NA,Vila et al (2006)o,Vila et al (2006)
0.193,0.041012193,18,0.288,0.056568542,18,Yes,Belowground carbon storage,Intermediate Service,Positive,Climate regulation,-9999,-9999,27.5,76,Forest,Tree,Tree,Sharma et al (1998)a,Sharma et al (1998)
10.4,0.3,3,10.4,0.6,3,Yes,Belowground carbon storage,Intermediate Service,Positive,Climate regulation,11.9,112.53,48.57933333,-123.5216667,Grassland,Shrub,NA,Shaben et al (2009)b,Shaben et al (2009)
42.1493,1.9812,30,58.2526,1.9811,30,Yes,Water infiltration,Intermediate Service,Positively,Water provision,3,1,48.23333333,-122.7333333,Wetland,Grass,Grass,Hacker et al (2006)b,Hacker et al (2006)
22.76,0.24,4,18.35,0.24,4,Yes,Water infiltration,Intermediate Service,Positively,Water provision,-9999,-9999,41.726759,-122.500885,Grassland,Forb,Grass,Enloe et al (2004)a,Enloe et al (2004)
4.169885185,0.086585937,15,4.389401852,0.088026303,15,Yes,Water infiltration,Intermediate Service,Positively,Water provision,-9999,-9999,38.333847,-109.877357,Grassland,Grass,Grass,Sperry et al (2006)a,Sperry et al (2006)
3.926553704,0.09230061,15,3.818787037,0.094608341,15,Yes,Water infiltration,Intermediate Service,Positively,Water provision,-9999,-9999,38.333847,-109.877357,Grassland,Grass,Grass,Sperry et al (2006)b,Sperry et al (2006)
35.64055,0.1193605,15,36.1735,0.09239165,15,Yes,Water infiltration,Intermediate Service,Positively,Water provision,15,11.5,57.13333333,-2.633333333,Grassland,Forb,NA,Truscott et al (2008)a,Truscott et al (2008)
36.0152,0.097142357,15,41.29845,0.091163042,15,Yes,Water infiltration,Intermediate Service,Positively,Water provision,15,11.5,57.13333333,-2.633333333,Grassland,Forb,NA,Truscott et al (2008)b,Truscott et al (2008)
3.9756,0.2442,4,6.635,7.3134,4,Yes,Water infiltration,Intermediate Service,Positively,Water provision,-9999,-9999,32.837121,-97.479286,Grassland,Grass,Grass,Rout et al (2008)a,Rout et al (2008)
12.89323529,1.130470635,6,6.799576471,0.541120832,6,Yes,Maintenance of water quality,Intermediate Service,negatively,,-9999,-9999,-33.75,18.45,Coastal dune,Tree,NA,Stock et al (1995)b,Stock et al (1995)
1.37,0.1222,4,1.7569,2.0149,4,Yes,Maintenance of water quality,Intermediate Service,negatively,,-9999,-9999,32.837121,-97.479286,Grassland,Grass,Grass,Rout et al (2008)a,Rout et al (2008)
1.3256,0.133030596,4,1.432266667,0.117100371,4,Yes,Maintenance of water quality,Intermediate Service,negatively,,-9999,-9999,40.56666667,-3.2,Forest,Tree,Tree,Casto Diez et al 2009b,Castro Diez et al 2009
1.058961111,0.043805321,15,1.421394444,0.055819449,15,Yes,Maintenance of water quality,Intermediate Service,negatively,,-9999,-9999,38.333847,-109.877357,Grassland,Grass,Grass,Sperry et al (2006)a,Sperry et al (2006)
2.071882353,0.002425356,6,2.516317647,0.002425356,6,Yes,Maintenance of water quality,Intermediate Service,negatively,,-9999,-9999,-33.51666667,18.53333333,Scrub,Tree,NA,Stock et al (1995)a,Stock et al (1995)
344.1734,108.4011,12,1048.7805,130.0813,12,Yes,Maintenance of water quality,Intermediate Service,negatively,,-9999,-9999,-33.497101,18.589897,Scrub,Shrub,NA,Yelenik et al (2007)b,Yelenik et al (2007)
50.6543,7.1999,6,37.1667,8.3034,6,Yes,Maintenance of water quality,Intermediate Service,negatively,,-9999,-9999,47.328425,-114.219596,Grassland,Forb,NA,Thorpe et al (2010)a,Thorpe et al (2010)
1.176024717,0.030430617,15,1.22065625,0.092956282,15,Yes,Maintenance of water quality,Intermediate Service,negatively,,-9999,-9999,38.333847,-109.877357,Grassland,Grass,Grass,Sperry et al (2006)b,Sperry et al (2006)
311.6531,10.8401,12,615.1762,184.2818,12,Yes,Maintenance of water quality,Intermediate Service,negatively,,-9999,-9999,-33.497101,18.589897,Scrub,Tree,NA,Yelenik et al (2007)a,Yelenik et al (2007)
8.3,1.1,3,8.5,2.2,3,Yes,Maintenance of water quality,Intermediate Service,negatively,,-9999,-9999,38.24878,-109.873495,Grassland,Grass,Grass,Belnap et al (2005)a,Belnap et al (2005)
3.98,0.56,14,3.38,0.55,14,Yes,Maintenance of water quality,Intermediate Service,negatively,,9.71,8.21,46.78333333,6.15,Mixed,Forb,NA,Scharfy et al (2009)a,Scharfy et al (2009)
1.96,0.115,4,2.53,0.275,4,Yes,Maintenance of water quality,Intermediate Service,negatively,,-9999,-9999,23.16666667,112.1666667,Forest,Forb,NA,Chen et al 2009a,Chen et al 2009
418.3619875,1.87504806,40,257.750075,1.443190858,40,Yes,Maintenance of water quality,Intermediate Service,negatively,,-9999,-9999,-12.71666667,131.8166667,Grassland,Grass,Grass,Rossiter-Racher et al (2009)a,Rossiter-Racher et al (2009)
0.2455,0.0147,6,0.2242,0.0311,6,Yes,Maintenance of water quality,Intermediate Service,negatively,,-9999,-9999,45.66,-110.665,Grassland,Forb,Grass,Hook et al (2004)h,Hook et al (2004)
3.6774,0.6799,3,5.7095,2.7998,3,Yes,Maintenance of water quality,Intermediate Service,negatively,,-9999,-9999,41.81457,-88.055935,Forest,Shrub,Tree,Heneghan et al (2006)b,Heneghan et al (2006)
0.14,0.010606602,8,0.15,0.010606602,8,Yes,Maintenance of water quality,Intermediate Service,negatively,,7,1,10.12,-69.7,Scrub,Forb,,Chacon et al (2009)b,Chacon et al (2009)
0.94,0.06,4,1.12,0.03,4,Yes,Maintenance of water quality,Intermediate Service,negatively,,8,1,23.66631667,113.1498667,Grassland,Shrub,Grass,Fan et al (2010)a,Fan et al (2010)
1.7,0.04472136,5,1.2,0.04472136,5,Yes,Maintenance of water quality,Intermediate Service,negatively,,-9999,-9999,28.85,120.9166667,Mixed,Forb,NA,Zhang et al (2009)a,Zhang et al (2009)
0.2623,0.0492,3,0.4419,0.2324,3,Yes,Maintenance of water quality,Intermediate Service,negatively,,-9999,-9999,42.143742,-88.042717,Forest,Shrub,Tree,Heneghan et al (2006)a,Heneghan et al (2006)
0.41,0.03,24,0.25,0.02,24,Yes,Maintenance of water quality,Intermediate Service,negatively,,5.56,4.08,50.75579,-120.465775,Grassland,Forb,Grass,Fraser et al (2011)a,Fraser et al (2011)
13.8,0.4,5,25.9,0.5,5,Yes,Maintenance of water quality,Intermediate Service,negatively,,-9999,-9999,19.44805556,-154.8611111,Forest,Tree,Tree,Allison et al 2006a,Allison et al 2006
14.5,0.5,5,31.3,0.7,5,Yes,Maintenance of water quality,Intermediate Service,negatively,,-9999,-9999,19.41972222,-154.9538889,Forest,Tree,Tree,Allison et al 2006b,Allison et al 2006
289,34.5,6,788,118.2,6,Yes,Maintenance of water quality,Intermediate Service,negatively,,-9999,-9999,-33.75,18.45,Coastal dune,Tree,NA,Stock et al (1995)b,Stock et al (1995)
0.204,0.0261,5,0.1532,0.0151,5,Yes,Maintenance of water quality,Intermediate Service,negatively,,10.2829,5.8778,49.36666667,-107.8833333,Grassland,Grass,Grass,Christian et al (1999)a,Christian et al (1999)
21,0.9,5,23.9,2.5,5,Yes,Maintenance of water quality,Intermediate Service,negatively,,-9999,-9999,19.41972222,-154.9538889,Forest,Tree,Tree,Allison et al 2006c,Allison et al 2006
0.675,0.605185922,3,7.625,0.796476616,3,Yes,Maintenance of water quality,Intermediate Service,negatively,,22,1,39.279773,-86.573124,Wetland,Grass,Sedge,Bills et al (2011)a,Bills et al (2011)
1.8406,0.584266667,5,0.9986,0.294666667,5,Yes,Maintenance of water quality,Intermediate Service,negatively,,10.2829,5.8778,49.36666667,-107.8833333,Grassland,Grass,Grass,Christian et al (1999)a,Christian et al (1999)
1.4044,0.191786792,3,1.803666667,0.353908378,3,Yes,Maintenance of water quality,Intermediate Service,negatively,,-9999,-9999,38.09527778,-109.8419444,Grassland,Grass,Grass,Evans et al (2001)b,Evans et al (2001)
2.1,0.7,4,2.4,0.3,4,Yes,Maintenance of water quality,Intermediate Service,negatively,,2,1,19.41666667,-155.25,Forest,Forb,Tree,Funk 2005a,Funk 2005
23.9,1.75,4,62.55,7.35,4,Yes,Maintenance of water quality,Intermediate Service,negatively,,8,1,23.66631667,113.1498667,Grassland,Shrub,Grass,Fan et al (2010)a,Fan et al (2010)
58.9251,5.2292,20,26.5817,3.2923,20,Yes,Maintenance of water quality,Intermediate Service,negatively,,3,3,38.044035,-109.734879,Grassland,Grass,Grass,Rimer et al (2006)a,Rimer et al (2006)
12.8378,0.7401,3,13.9975,0.4933,3,Yes,Maintenance of water quality,Intermediate Service,negatively,,-9999,-9999,42.149755,-87.780998,Forest,Shrub,Tree,Heneghan et al (2006)c,Heneghan et al (2006)
3.7281,0.3236,15,4.6315,0.1078,15,Yes,Maintenance of water quality,Intermediate Service,negatively,,-9999,-9999,38.333847,-109.877357,Grassland,Grass,Grass,Sperry et al (2006)a,Sperry et al (2006)
0.1135,0.0084,5,0.3527,0.091,5,Yes,Maintenance of water quality,Intermediate Service,negatively,,12,1,42.70338,-73.83894,Scrub,Tree,NA,Malcolm et al (2008)a,Malcolm et al (2008)
3.2572,0.2776,5,2.9409,0.2776,5,Yes,Maintenance of water quality,Intermediate Service,negatively,,3,1,-44.649116,170.403442,Grassland,Forb,Grass,Scott et al (2001)a,Scott et al (2001)
1.6966,0.1701,5,1.8369,0.1701,5,Yes,Maintenance of water quality,Intermediate Service,negatively,,3,1,-44.649116,170.403442,Grassland,Forb,Grass,Scott et al (2001)a,Scott et al (2001)
0.19,0.007071068,8,0.15,0.007071068,8,Yes,Maintenance of water quality,Intermediate Service,negatively,,1,1,10.12,-69.7,Forest,Forb,Tree,Chacon et al (2009)a,Chacon et al (2009)
11.187,1.4107,15,9.1756,0.5557,15,Yes,Maintenance of water quality,Intermediate Service,negatively,,-9999,-9999,42.149755,-87.780998,Forest,Shrub,Tree,Heneghan et al (2004)a,Heneghan et al (2004)
0.02375,0.23125,15,0.4626,0.0415,15,Yes,Maintenance of water quality,Intermediate Service,negatively,,-9999,-9999,42.149755,-87.780998,Forest,Shrub,Tree,Heneghan et al (2004)a,Heneghan et al (2004)
3.8225,0.4988,15,4.5236,0.31,15,Yes,Maintenance of water quality,Intermediate Service,negatively,,-9999,-9999,38.333847,-109.877357,Grassland,Grass,Grass,Sperry et al (2006)b,Sperry et al (2006)
203.14565,1.056470371,20,172.57035,0.955469022,20,Yes,Maintenance of water quality,Intermediate Service,negatively,,-9999,-9999,-12.71666667,131.8166667,Grassland,Grass,Grass,Rossiter-Racher et al (2009)a,Rossiter-Racher et al (2009)
42.9386,4.3455,20,22.0804,1.9555,20,Yes,Maintenance of water quality,Intermediate Service,negatively,,3,3,38.044035,-109.734879,Grassland,Grass,Grass,Rimer et al (2006)a,Rimer et al (2006)
0.3348,0.01,6,0.2945,0.0057,6,Yes,Maintenance of water quality,Intermediate Service,negatively,,24,1,50.45833333,3.840277778,Grassland,Shrub,Grass,Dassonville et al 2007f,Dassonville et al 2007
0.1903,0.0036,4,0.1734,0.0155,4,Yes,Maintenance of water quality,Intermediate Service,negatively,,-9999,-9999,42.22302,3.085184,Grassland,Grass,Grass,Domenech et al 2006d,Domenech et al 2006
0.26,0.178885438,5,0.28,0.111803399,5,Yes,Maintenance of water quality,Intermediate Service,negatively,,9,1,50.895427,4.416804,Grassland,Shrub,Grass,Vanderhoeven et al (2005)e,Vanderhoeven et al (2005)
0.31,0.245967478,5,0.22,0.089442719,5,Yes,Maintenance of water quality,Intermediate Service,negatively,,11,4,50.799751,4.414616,Forest,Shrub,Shrub,Vanderhoeven et al (2005)d,Vanderhoeven et al (2005)
0.35,0.089442719,5,0.34,0.894427191,5,Yes,Maintenance of water quality,Intermediate Service,negatively,,10,6,50.799751,4.414616,Scrub,Shrub,Forb,Vanderhoeven et al (2005)f,Vanderhoeven et al (2005)
0.14,0.02236068,5,0.15,0.067082039,5,Yes,Maintenance of water quality,Intermediate Service,negatively,,40,11,50.862771,4.470963,Grassland,Forb,Grass,Vanderhoeven et al (2005)a,Vanderhoeven et al (2005)
0.214,0.01,4,0.1237,0.0046,4,Yes,Maintenance of water quality,Intermediate Service,negatively,,-9999,-9999,42.22302,3.085184,Grassland,Grass,Grass,Domenech et al 2006a,Domenech et al 2006
385,16,3,445,22,3,Yes,Maintenance of water quality,Intermediate Service,negatively,,-9999,-9999,38.24878,-109.873495,Grassland,Grass,Grass,Belnap et al (2005)a,Belnap et al (2005)
0.24,0.111803399,5,0.25,0.089442719,5,Yes,Maintenance of water quality,Intermediate Service,negatively,,7,14,50.799751,4.414616,Scrub,Forb,Forb,Vanderhoeven et al (2005)h,Vanderhoeven et al (2005)
344.1,8.08084154,12,347.9,6.66183158,12,Yes,Maintenance of water quality,Intermediate Service,negatively,,-9999,-9999,37.69027778,-89.25388889,Grassland,Shrub,Grass,Baer et al 2006a,Baer et al 2006
146,10.2,6,538,91.9,6,Yes,Maintenance of water quality,Intermediate Service,negatively,,-9999,-9999,-33.51666667,18.53333333,Scrub,Tree,NA,Stock et al (1995)a,Stock et al (1995)
16,19,10,3,2,10,Yes,Maintenance of water quality,Intermediate Service,negatively,,-9999,-9999,19.733421,-155.090389,Forest,Shrub,Tree,Kurten et al (2008)a,Kurten et al (2008)
1.02,0.15513435,6,0.64,0.057154761,6,Yes,Maintenance of water quality,Intermediate Service,negatively,,2,1,50.800919,4.414715,Forest,Forb,Forb,Koutika et al (2007)h,Koutika et al (2007)
0.1487,0.0755,6,0.2212,0.0246,6,Yes,Maintenance of water quality,Intermediate Service,negatively,,4,4,50.57222222,4.711666667,Mixed,Shrub,Forb,Dassonville et al 2007c,Dassonville et al 2007
0.52,0.313049517,5,0.45,0.424852916,5,Yes,Maintenance of water quality,Intermediate Service,negatively,,12,4,50.870477,4.314837,Grassland,Forb,Forb,Vanderhoeven et al (2005)g,Vanderhoeven et al (2005)
5.03,0.6,5,6.33,0.58,5,Yes,Maintenance of water quality,Intermediate Service,negatively,,-9999,-9999,39.33536,-123.800812,Grassland,Grass,Grass,Caldwell 2006a,Caldwell 2006
0.14,0.004082483,6,0.15,0.008164966,6,Yes,Maintenance of water quality,Intermediate Service,negatively,,8,1,50.865778,4.469376,Grassland,Forb,Grass,Chapuis-Lardy et al 2006b,Chapuis-Lardy et al 2006
50.81766667,4.382066332,4,48.45423333,3.250781853,4,Yes,Maintenance of water quality,Intermediate Service,negatively,,-9999,-9999,40.56666667,-3.2,Forest,Tree,Tree,Castro Diez et al 2009a,Castro Diez et al 2009
0.15,0.04472136,5,0.16,0.04472136,5,Yes,Maintenance of water quality,Intermediate Service,negatively,,5,12,50.799859,4.334278,Grassland,Tree,Grass,Vanderhoeven et al (2005)c,Vanderhoeven et al (2005)
971.8446,222.4027,18,1753.5227,248.3531,18,Yes,Maintenance of water quality,Intermediate Service,negatively,,-9999,-9999,37.69027778,-89.25388889,Grassland,Shrub,Grass,Baer et al 2006a,Baer et al 2006
0.0874,0.0164,12,0.8775,0.1531,12,Yes,Maintenance of water quality,Intermediate Service,negatively,,-9999,-9999,-33.497101,18.589897,Scrub,Tree,NA,Yelenik et al (2007)a,Yelenik et al (2007)
0.4815,0.0334,30,0.4843,0.0283,30,Yes,Maintenance of water quality,Intermediate Service,negatively,,22.33423,12.54448,39.258841,26.27655,Mixed,Forb,NA,Vila et al (2006)n,Vila et al (2006)
0.2593,0.0308,22,0.2864,0.0193,22,Yes,Maintenance of water quality,Intermediate Service,negatively,,19.59155,19.80914,39.696621,3.02948,Mixed,Forb,NA,Vila et al (2006)o,Vila et al (2006)
468,19,20,483,24,20,Yes,Maintenance of water quality,Intermediate Service,negatively,,,,-31.947447,115.781136,Forest,Grass,Tree,Fisher et al 2006a,Fisher et al 2006
0.1448,0.0141,30,0.1219,0.0078,30,Yes,Maintenance of water quality,Intermediate Service,negatively,,12.28997,11.83949,40.010787,9.173584,Mixed,Forb,NA,Vila et al (2006)q,Vila et al (2006)
0.16875,0.462281229,15,0.1715,0.357831322,15,Yes,Maintenance of water quality,Intermediate Service,negatively,,15,11.5,57.13333333,-2.633333333,Grassland,Forb,NA,Truscott et al (2008)a,Truscott et al (2008)
