ES_UI,SE_UI,SS_UI,ES_I,SE_I,SS_I,Service,Serv_type,Level of organisation,Rel_ES,Final_service,UI_Rich,I_Rich,Lat,Long,Ecosystem,IS_LF,NS_LF,SiteID,StudyID
2.409,0.4317,10,11.7635,0.2879,10,Yes,Belowground carbon storage,Intermediate Service,Positive,Climate regulation,-9999,-9999,19.44805556,-154.8611111,Forest,Tree,Tree,Hughes et al 2005a,Hughes et al 2005
1.1675,0.2302,10,10.3495,0.4603,10,Yes,Belowground carbon storage,Intermediate Service,Positive,Climate regulation,-9999,-9999,19.41972222,-154.9538889,Forest,Tree,Tree,Hughes et al 2005b,Hughes et al 2005
8.4563,0.3453,10,11.3361,0.4892,10,Yes,Belowground carbon storage,Intermediate Service,Positive,Climate regulation,-9999,-9999,19.41972222,-154.9538889,Forest,Tree,Tree,Hughes et al 2005c,Hughes et al 2005
107.75,6.574889099,4,107,5.787918451,5,Yes,Evapotranspiration,Intermediate Service,Positively,Water provision,-9999,-9999,34.662837,-106.776416,Forest,Tree,Tree,Cleverly et al (2006)a,Cleverly et al (2006)
125,3.209361307,5,103.5,8.645808233,4,Yes,Evapotranspiration,Intermediate Service,Positively,Water provision,-9999,-9999,34.95888889,-106.6997222,Forest,Tree,Tree,Cleverly et al (2006)b,Cleverly et al (2006)
148.6,10.77806414,5,332.6,23.5894044,5,Yes,Water provision,Intermediate Service,Negatively,Water provision,-9999,-9999,34.95888889,-106.6997222,Forest,Tree,Tree,Cleverly et al (2006)b,Cleverly et al (2006)
2.386466667,0.284687573,6,2.164983333,0.516303463,6,Yes,Evapotranspiration,Intermediate Service,Positively,Water provision,-9999,-9999,39.85,-119.8166667,Scrub,Grass,Shrub,Prater et al (2006)a,Prater et al (2006)
4.1565,0.3808,5,4.6442,0.3319,5,Yes,Evapotranspiration,Intermediate Service,Positively,Water provision,-9999,-9999,33.8,-106.9,Forest,Tree,Tree,Nagler et al 2005a,Nagler et al 2005
5.1028,3.1712,5,0.371,0.2831,5,Yes,Evapotranspiration,Intermediate Service,Positively,Water provision,-9999,-9999,34.3,-106.8,Forest,Tree,Tree,Nagler et al 2005b,Nagler et al 2005
0.24732,0.057815828,4,0.52688,0.002246294,4,Yes,Water provision,Final Service,Negatively,Water provision,-9999,-9999,31.692,-103.622,Forest,Tree,NA,Hatler et al (2009)a,Hatler et al (2009)
0.105,0.065,2,1.896666667,0.092074849,3,Yes,Evapotranspiration,Intermediate Service,Negatively,Water provision,-9999,-9999,31.694579,-103.62442,Grassland,Tree,NA,Hart et al (2005)a,Hart et al (2005)
19.51,1,10,20.94,1,10,Yes,Belowground carbon storage,Intermediate Service,Positively,Climate regulation,1,1,30.16666667,122.0166667,Wetland,Grass,Grass,Liao et al (2007)a,Liao et al (2007)
63.5591,29.9298,10,204.3874,69.5647,10,Yes,Belowground carbon storage,Intermediate Service,Positive,Climate regulation,-9999,-9999,38.09527778,-109.8419444,Grassland,Grass,Grass,Evans et al (2001)a,Evans et al (2001)
