Measure of EF used,Units used for EF,EF UI,SE UI,Sample size UI,EF I,SE I,Sample size I,Type of Var,Dominant native,Invasive,Study,SiteID,Year,Latitude,Longitude,Experiment/Observational
Soil phosphorus content,milligrams per kilogram of soil,68.2,54.78366545,5,97.9,51.20595668,5,,Agrostis stolonifera,Solidago gigantea,Vanderhoeven et al (2005),Vanderhoeven et al (2005)a,2005,50.862771,4.470963,
Soil phosphorus content,milligrams per kilogram of soil,68.2,54.78366545,5,97.9,51.20595668,5,,Agrostis stolonifera,Solidago gigantea,Vanderhoeven et al (2005),Vanderhoeven et al (2005)a,2005,50.862771,4.470963,
Soil nitrogen content,milligrams per kilogram of soil,0.14,0.02236068,5,0.15,0.067082039,5,,Agrostis stolonifera,Solidago gigantea,Vanderhoeven et al (2005),Vanderhoeven et al (2005)a,2005,50.862771,4.470963,
Soil nitrogen content,milligrams per kilogram of soil,0.14,0.02236068,5,0.15,0.067082039,5,,Agrostis stolonifera,Solidago gigantea,Vanderhoeven et al (2005),Vanderhoeven et al (2005)a,2005,50.862771,4.470963,
Aboveground biomass,kilograms per metre squared,0.25,0.290688837,5,0.89,0.223606798,5,,Agrostis stolonifera,Solidago gigantea,Vanderhoeven et al (2005),Vanderhoeven et al (2005)a,2005,50.862771,4.470963,
Soil phosphorus content,milligrams per kilogram of soil,108.2,27.05642253,5,122,28.84527691,5,,Arrhenatherum elatius,Prunus serotina,Vanderhoeven et al (2005),Vanderhoeven et al (2005)c,2005,50.799859,4.334278,
Soil phosphorus content,milligrams per kilogram of soil,108.2,27.05642253,5,122,28.84527691,5,,Arrhenatherum elatius,Prunus serotina,Vanderhoeven et al (2005),Vanderhoeven et al (2005)c,2005,50.799859,4.334278,
Soil nitrogen content,milligrams per kilogram of soil,0.15,0.04472136,5,0.16,0.04472136,5,,Arrhenatherum elatius,Prunus serotina,Vanderhoeven et al (2005),Vanderhoeven et al (2005)c,2005,50.799859,4.334278,
Soil nitrogen content,milligrams per kilogram of soil,0.15,0.04472136,5,0.16,0.04472136,5,,Arrhenatherum elatius,Prunus serotina,Vanderhoeven et al (2005),Vanderhoeven et al (2005)c,2005,50.799859,4.334278,
Soil phosphorus content,milligrams per kilogram of soil,62.6,32.64659247,5,93,38.68397601,5,,Rubus sp,Fallopia japonica,Vanderhoeven et al (2005),Vanderhoeven et al (2005)d,2005,50.799751,4.414616,
Soil phosphorus content,milligrams per kilogram of soil,62.6,32.64659247,5,93,38.68397601,5,,Rubus sp,Fallopia japonica,Vanderhoeven et al (2005),Vanderhoeven et al (2005)d,2005,50.799751,4.414616,
Soil nitrogen content,milligrams per kilogram of soil,0.31,0.245967478,5,0.22,0.089442719,5,,Rubus sp,Fallopia japonica,Vanderhoeven et al (2005),Vanderhoeven et al (2005)d,2005,50.799751,4.414616,
Soil nitrogen content,milligrams per kilogram of soil,0.31,0.245967478,5,0.22,0.089442719,5,,Rubus sp,Fallopia japonica,Vanderhoeven et al (2005),Vanderhoeven et al (2005)d,2005,50.799751,4.414616,
Soil phosphorus content,milligrams per kilogram of soil,169.7,55.00727225,5,257.7,268.9989777,5,,Arrhenatherum elatius,Fallopia japonica,Vanderhoeven et al (2005),Vanderhoeven et al (2005)e,2005,50.895427,4.416804,
Soil nitrogen content,milligrams per kilogram of soil,0.26,0.178885438,5,0.28,0.111803399,5,,Arrhenatherum elatius,Fallopia japonica,Vanderhoeven et al (2005),Vanderhoeven et al (2005)e,2005,50.895427,4.416804,
Soil nitrogen content,milligrams per kilogram of soil,0.26,0.178885438,5,0.28,0.111803399,5,,Arrhenatherum elatius,Fallopia japonica,Vanderhoeven et al (2005),Vanderhoeven et al (2005)e,2005,50.895427,4.416804,
Aboveground biomass,kilograms per metre squared,0.56,0.670820393,5,2.39,1.587608264,5,,Arrhenatherum elatius,Fallopia japonica,Vanderhoeven et al (2005),Vanderhoeven et al (2005)e,2005,50.895427,4.416804,
Fruit set of Raphanus sativus,Percentage flowers that set fruit,39.45,6.8,10,37,7.8,10,,Raphanus sativus,Impatiens glandulifera,Bartomeus et al (2010),Bartomeus et al(2010)a,2010,51.53888889,9.955555556,
Carbon content of upper 10 cm of soil,percent,1.11,0.15,3,2.09,0.23,5,,NA,Acacia longifolia,Marchante et al (2008),Marchante et al (2008)a,2008,40.65,-8.733333333,
Soil water content,percentage soil water content,9.16,0.725,3,4.32,0.6915,5,,NA,Acacia longifolia,Marchante et al (2008),Marchante et al (2008)a,2008,40.65,-8.733333333,
Available ammonium,mEq per 100g soil,0.068,0.0026,71,0.036,0.0045,71,,Grass sp,Melilotus spp,Wolf et al (2004),Wolf et al (2004)a,2004,40.35,-105.5841064,
Available ammonium,mEq per 100g soil,0.068,0.0026,71,0.036,0.0045,71,,Grass sp,Melilotus spp,Wolf et al (2004),Wolf et al (2004)a,2004,40.35,-105.5841064,
Available nitrate,mEq per 100g soil,0.1405,0.0308,72,0.121233333,0.0161,72,,Grass sp,Melilotus spp,Wolf et al (2004),Wolf et al (2004)a,2004,40.35,-105.5841064,
Available nitrate,mEq per 100g soil,0.1405,0.0308,72,0.121233333,0.0161,72,,Grass sp,Melilotus spp,Wolf et al (2004),Wolf et al (2004)a,2004,40.35,-105.5841064,
Gravimetric soil moisture,Percentage soil weight,10.690675,2.7628,12,8.31535,2.2911,12,,Grass sp,Melilotus spp,Wolf et al (2004),Wolf et al (2004)a,2004,40.35,-105.5841064,
Soil organic carbon,g per kg of soil,42.5,0.089442719,5,51.1,0.178885438,5,,NA,Solidago canadensis,Zhang et al (2009),Zhang et al (2009)a,2009,28.85,120.9166667,
Soil nitrogen,g per kg of soil,1.7,0.04472136,5,1.2,0.04472136,5,,NA,Solidago canadensis,Zhang et al (2009),Zhang et al (2009)a,2009,28.85,120.9166667,
Soil nitrogen,g per kg of soil,1.7,0.04472136,5,1.2,0.04472136,5,,NA,Solidago canadensis,Zhang et al (2009),Zhang et al (2009)a,2009,28.85,120.9166667,
Annual evapotranspiration,Centimetres per year,107.75,6.574889099,4,107,5.787918451,5,,Populus deltoides,Tamarix chinensis,Cleverly et al (2006),Cleverly et al (2006)a,2006,34.662837,-106.776416,
Inorganic nitrogen pools,micrograms of Nitrogen per gram of soil,4.35175,1.0032,25,6.06655,1.2829,25,,Styphelia tameiameiae,Melinis minutiflora,Asner at al (1996),Asner et al (1996)a,1996,21.125,-156.9583333,
Soil moisture content,Percentage moisture content of soil fresh weight,15,8,25,19,6,25,,Styphelia tameiameiae,Melinis minutiflora,Asner at al (1996),Asner et al (1996)a,1996,21.125,-156.9583333,
Net ammonification rate,micrograms of ammonia per gram of soil per month,3.6418,2.3211,50,8.63525,4.5266,50,,Styphelia tameiameiae,Melinis minutiflora,Asner at al (1996),Asner et al (1996)a,1996,21.125,-156.9583333,
Net ammonification rate,micrograms of ammonia per gram of soil per month,3.6418,2.3211,50,8.63525,4.5266,50,,Styphelia tameiameiae,Melinis minutiflora,Asner at al (1996),Asner et al (1996)a,1996,21.125,-156.9583333,
Net nitrification rate,micrograms nitrogen per gram of soil per month,1.72045,0.4353,50,2.07185,0.6383,50,,Styphelia tameiameiae,Melinis minutiflora,Asner at al (1996),Asner et al (1996)a,1996,21.125,-156.9583333,
Net nitrification rate,micrograms nitrogen per gram of soil per month,1.72045,0.4353,50,2.07185,0.6383,50,,Styphelia tameiameiae,Melinis minutiflora,Asner at al (1996),Asner et al (1996)a,1996,21.125,-156.9583333,
Carbon stocks (Soil plus plant),kilograms per metre squared to 100 cm depth,19.51,1,10,20.94,1,10,,Phragmites australis,Spartina alterniflora,Liao et al (2007),Liao et al (2007)a,2007,30.16666667,122.0166667,
Litter biomass,grams per metre squared,63.5591,29.9298,10,204.3874,69.5647,10,,Pleuraphis jamesii,Bromus tectorum,Evans et al (2001),Evans et al (2001)a,2001,38.09527778,-109.8419444,
Inorganic nitrogen,micrograms of nitrogen per bag per day,1.602566667,0.271795256,3,1.970366667,0.22980983,3,,Pleuraphis jamesii,Bromus tectorum,Evans et al (2001),Evans et al (2001)a,2001,38.09527778,-109.8419444,
Inorganic nitrogen,micrograms of nitrogen per bag per day,1.602566667,0.271795256,3,1.970366667,0.22980983,3,,Pleuraphis jamesii,Bromus tectorum,Evans et al (2001),Evans et al (2001)a,2001,38.09527778,-109.8419444,
Litter biomass,grams per metre squared,171.3448,38.0182,10,321.0715,70.3742,10,,Stipa spp,Bromus tectorum,Evans et al (2001),Evans et al (2001)b,2001,38.09527778,-109.8419444,
Inorganic nitrogen,micrograms of nitrogen per bag per day,1.4044,0.191786792,3,1.803666667,0.353908378,3,,Stipa spp,Bromus tectorum,Evans et al (2001),Evans et al (2001)b,2001,38.09527778,-109.8419444,
Inorganic nitrogen,micrograms of nitrogen per bag per day,1.4044,0.191786792,3,1.803666667,0.353908378,3,,Stipa spp,Bromus tectorum,Evans et al (2001),Evans et al (2001)b,2001,38.09527778,-109.8419444,
Extractable NH4,mg of nitrogen per kilogram of soil,6.4541,5.999233939,9,3.4588,3.336087401,9,,Vaccinium spp,Berberis thunbergii,Ehrenfeld et al (2001),Ehrenfeld et al (2001)a,2001,40.764845,-74.531681,
Extractable NH4,mg of nitrogen per kilogram of soil,6.4541,5.999233939,9,3.4588,3.336087401,9,,Vaccinium spp,Berberis thunbergii,Ehrenfeld et al (2001),Ehrenfeld et al (2001)a,2001,40.764845,-74.531681,
Extractable NO3,milligrams of Nitrogen per kilogram of soil,0.0905,0.134263072,9,3.0086,2.828943606,9,,Vaccinium spp,Berberis thunbergii,Ehrenfeld et al (2001),Ehrenfeld et al (2001)a,2001,40.764845,-74.531681,
Extractable NO3,milligrams of Nitrogen per kilogram of soil,0.0905,0.134263072,9,3.0086,2.828943606,9,,Vaccinium spp,Berberis thunbergii,Ehrenfeld et al (2001),Ehrenfeld et al (2001)a,2001,40.764845,-74.531681,
Net nitrogen mineralisation,miligrams of NH4 per kilogram of soil per day,14.3401,12.60188303,9,11.38675,10.08944221,9,,Vaccinium spp,Berberis thunbergii,Ehrenfeld et al (2001),Ehrenfeld et al (2001)a,2001,40.764845,-74.531681,
Net nitrogen mineralisation,miligrams of NH4 per kilogram of soil per day,14.3401,12.60188303,9,11.38675,10.08944221,9,,Vaccinium spp,Berberis thunbergii,Ehrenfeld et al (2001),Ehrenfeld et al (2001)a,2001,40.764845,-74.531681,
Net nitrification rate,miligrams of NO3 per kilogram of soil per day,3.9441,5.122762734,9,9.15775,7.212925369,9,,Vaccinium spp,Berberis thunbergii,Ehrenfeld et al (2001),Ehrenfeld et al (2001)a,2001,40.764845,-74.531681,
Net nitrification rate,miligrams of NO3 per kilogram of soil per day,3.9441,5.122762734,9,9.15775,7.212925369,9,,Vaccinium spp,Berberis thunbergii,Ehrenfeld et al (2001),Ehrenfeld et al (2001)a,2001,40.764845,-74.531681,
Extractable NH4,mg of nitrogen per kilogram of soil,4.65185,3.933139291,9,11.3106,10.3132729,9,,Vaccinium spp,Berberis thunbergii,Ehrenfeld et al (2001),Ehrenfeld et al (2001)b,2001,41.0005,-75.090315,
Extractable NH4,mg of nitrogen per kilogram of soil,4.65185,3.933139291,9,11.3106,10.3132729,9,,Vaccinium spp,Berberis thunbergii,Ehrenfeld et al (2001),Ehrenfeld et al (2001)b,2001,41.0005,-75.090315,
Extractable NO3,milligrams of Nitrogen per Kg soil,0.2911,0.305736508,9,1.01625,0.924298223,9,,Vaccinium spp,Berberis thunbergii,Ehrenfeld et al (2001),Ehrenfeld et al (2001)b,2001,41.0005,-75.090315,
Extractable NO3,milligrams of Nitrogen per Kg soil,0.2911,0.305736508,9,1.01625,0.924298223,9,,Vaccinium spp,Berberis thunbergii,Ehrenfeld et al (2001),Ehrenfeld et al (2001)b,2001,41.0005,-75.090315,
Net nitrogen mineralisation,miligrams of NH4 per kilogram of soil per day,13.22405,12.01847514,9,27.65055,24.84694092,9,,Vaccinium spp,Berberis thunbergii,Ehrenfeld et al (2001),Ehrenfeld et al (2001)b,2001,41.0005,-75.090315,
Net nitrogen mineralisation,miligrams of NH4 per kilogram of soil per day,13.22405,12.01847514,9,27.65055,24.84694092,9,,Vaccinium spp,Berberis thunbergii,Ehrenfeld et al (2001),Ehrenfeld et al (2001)b,2001,41.0005,-75.090315,
Net nitrification rate,miligrams of NO3 per kilogram of soil per day,3.0182,3.81226601,9,9.71305,8.688159135,9,,Vaccinium spp,Berberis thunbergii,Ehrenfeld et al (2001),Ehrenfeld et al (2001)b,2001,41.0005,-75.090315,
Net nitrification rate,miligrams of NO3 per kilogram of soil per day,3.0182,3.81226601,9,9.71305,8.688159135,9,,Vaccinium spp,Berberis thunbergii,Ehrenfeld et al (2001),Ehrenfeld et al (2001)b,2001,41.0005,-75.090315,
Extractable NH4,milligrams of Nitrogen per kilogram of soil,1.8468,1.555684856,9,3.0593,2.602428109,9,,Vaccinium spp,Berberis thunbergii,Ehrenfeld et al (2001),Ehrenfeld et al (2001)c,2001,40.958382,-74.746874,
Extractable NH4,milligrams of Nitrogen per kilogram of soil,1.8468,1.555684856,9,3.0593,2.602428109,9,,Vaccinium spp,Berberis thunbergii,Ehrenfeld et al (2001),Ehrenfeld et al (2001)c,2001,40.958382,-74.746874,
Extractable NO3,milligrams of N per kilogram of soil,0.1036,0.105310446,9,0.1991,0.201642288,9,,Vaccinium spp,Berberis thunbergii,Ehrenfeld et al (2001),Ehrenfeld et al (2001)c,2001,40.958382,-74.746874,
Extractable NO3,milligrams of N per kilogram of soil,0.1036,0.105310446,9,0.1991,0.201642288,9,,Vaccinium spp,Berberis thunbergii,Ehrenfeld et al (2001),Ehrenfeld et al (2001)c,2001,40.958382,-74.746874,
Net ammonia mineralisation,miligrams of NH4 per kilogram of soil per day,8.4732,8.568468657,9,11.325,11.24448299,9,,Vaccinium spp,Berberis thunbergii,Ehrenfeld et al (2001),Ehrenfeld et al (2001)c,2001,40.958382,-74.746874,
Net ammonia mineralisation,miligrams of NH4 per kilogram of soil per day,8.4732,8.568468657,9,11.325,11.24448299,9,,Vaccinium spp,Berberis thunbergii,Ehrenfeld et al (2001),Ehrenfeld et al (2001)c,2001,40.958382,-74.746874,
Net nitrification rate,miligrams of NO3 per kilogram of soil per day,0.56465,0.943686242,9,1.4933,2.022050591,9,,Vaccinium spp,Berberis thunbergii,Ehrenfeld et al (2001),Ehrenfeld et al (2001)c,2001,40.958382,-74.746874,
Net nitrification rate,miligrams of NO3 per kilogram of soil per day,0.56465,0.943686242,9,1.4933,2.022050591,9,,Vaccinium spp,Berberis thunbergii,Ehrenfeld et al (2001),Ehrenfeld et al (2001)c,2001,40.958382,-74.746874,
Annual total goundwater loss,metres,0.105,0.065,2,1.896666667,0.092074849,3,,NA,Tamarix spp,Hart et al (2005),Hart et al (2005)a,2005,31.694579,-103.62442,
Nitrogen concentration of soil,mmol per kilogram dry soil (0-15 cm),18.348,0.353,50,26.773,1.203,69,,NA,Acacia saligna,Musil et al (1993),Musil et al (1993),1993,-33.513919,18.549385,
Soil phosphorus content,mmol per kilogram dry soil (0-15 cm),0.129,0.009,50,0.16,0.01,69,,NA,Acacia saligna,Musil et al (1993),Musil et al (1993),1993,-33.513919,18.549385,
Soil phosphorus content,milligrams per kilogram of soil,116.8,266.7629097,5,170.1,115.6047144,5,,Petasites hybridus,Fallopia japonica,Vanderhoeven et al (2005),Vanderhoeven et al (2005)f,2005,50.799751,4.414616,
Soil nitrogen content,milligrams per kilogram of soil,0.35,0.089442719,5,0.34,0.894427191,5,,Petasites hybridus,Fallopia japonica,Vanderhoeven et al (2005),Vanderhoeven et al (2005)f,2005,50.799751,4.414616,
Aboveground biomass,kilograms per metre squared,0.39,0.335410197,5,1.65,1.788854382,5,,Petasites hybridus,Fallopia japonica,Vanderhoeven et al (2005),Vanderhoeven et al (2005)f,2005,50.799751,4.414616,
Soil phosphorus content,milligrams per kilogram of soil,187.1,209.5195695,5,322.5,125.6670203,5,,Urtica dioica,Heracleum mantegazzianum,Vanderhoeven et al (2005),Vanderhoeven et al (2005)g,2005,50.870477,4.314837,
Soil phosphorus content,milligrams per kilogram of soil,187.1,209.5195695,5,322.5,125.6670203,5,,Urtica dioica,Heracleum mantegazzianum,Vanderhoeven et al (2005),Vanderhoeven et al (2005)g,2005,50.870477,4.314837,
Soil nitrogen content,milligrams per kilogram of soil,0.52,0.313049517,5,0.45,0.424852916,5,,Urtica dioica,Heracleum mantegazzianum,Vanderhoeven et al (2005),Vanderhoeven et al (2005)g,2005,50.870477,4.314837,
Soil nitrogen content,milligrams per kilogram of soil,0.52,0.313049517,5,0.45,0.424852916,5,,Urtica dioica,Heracleum mantegazzianum,Vanderhoeven et al (2005),Vanderhoeven et al (2005)g,2005,50.870477,4.314837,
Soil phosphorus content,milligrams per kilogram of soil,105.9,94.36206865,5,109.9,31.30495168,5,,Urtica dioica,Heracleum mantegazzianum,Vanderhoeven et al (2005),Vanderhoeven et al (2005)h,2005,50.799751,4.414616,
Soil phosphorus content,milligrams per kilogram of soil,105.9,94.36206865,5,109.9,31.30495168,5,,Urtica dioica,Heracleum mantegazzianum,Vanderhoeven et al (2005),Vanderhoeven et al (2005)h,2005,50.799751,4.414616,
Soil nitrogen content,milligrams per kilogram of soil,0.24,0.111803399,5,0.25,0.089442719,5,,Urtica dioica,Heracleum mantegazzianum,Vanderhoeven et al (2005),Vanderhoeven et al (2005)h,2005,50.799751,4.414616,
Soil nitrogen content,milligrams per kilogram of soil,0.24,0.111803399,5,0.25,0.089442719,5,,Urtica dioica,Heracleum mantegazzianum,Vanderhoeven et al (2005),Vanderhoeven et al (2005)h,2005,50.799751,4.414616,
Soil carbon,percentage soil carbon,2.30925,1.790407502,15,2.29875,1.385874751,15,,NA,Mimulus guttatus,Truscott et al (2008),Truscott et al (2008)a,2008,57.13333333,-2.633333333,
Soil nitrogen,percentage soil nitrogen,0.16875,0.462281229,15,0.1715,0.357831322,15,,NA,Mimulus guttatus,Truscott et al (2008),Truscott et al (2008)a,2008,57.13333333,-2.633333333,
Soil nitrogen,percentage soil nitrogen,0.16875,0.462281229,15,0.1715,0.357831322,15,,NA,Mimulus guttatus,Truscott et al (2008),Truscott et al (2008)a,2008,57.13333333,-2.633333333,
Soil moisture,percentage soil moisture,35.64055,0.1193605,15,36.1735,0.09239165,15,,NA,Mimulus guttatus,Truscott et al (2008),Truscott et al (2008)a,2008,57.13333333,-2.633333333,
Soil carbon,percentage soil carbon,1.74375,1.457135351,15,2.138,1.367445627,15,,NA,Mimulus guttatus,Truscott et al (2008),Truscott et al (2008)b,2008,57.13333333,-2.633333333,
Soil nitrogen,percentage soil nitrogen,0.12665,0.37623073,15,0.1551,0.353072943,15,,NA,Mimulus guttatus,Truscott et al (2008),Truscott et al (2008)b,2008,57.13333333,-2.633333333,
Soil nitrogen,percentage soil nitrogen,0.12665,0.37623073,15,0.1551,0.353072943,15,,NA,Mimulus guttatus,Truscott et al (2008),Truscott et al (2008)b,2008,57.13333333,-2.633333333,
Soil moisture,percentage soil moisture,36.0152,0.097142357,15,41.29845,0.091163042,15,,NA,Mimulus guttatus,Truscott et al (2008),Truscott et al (2008)b,2008,57.13333333,-2.633333333,
Soil phosphorus concentration,milligrams phosphorus per gram soil,1.12005,0.49805,6,1.3716,0.2794,6,,NA,Centaurea maculosa,Thorpe et al (2006),Thorpe et al (2006)a,2006,47.204642,-113.148193,
Soil phosphorus concentration,milligrams phosphorus per gram soil,1.12005,0.49805,6,1.3716,0.2794,6,,NA,Centaurea maculosa,Thorpe et al (2006),Thorpe et al (2006)a,2006,47.204642,-113.148193,
Soil phosphorus concentration,milligrams phosphorus per gram soil,10.4765,2.3657,6,22.9729,4.4558,6,,NA,Centaurea maculosa,Thorpe et al (2006),Thorpe et al (2006)b,2006,47.328585,-114.218159,
Soil phosphorus concentration,milligrams phosphorus per gram soil,10.4765,2.3657,6,22.9729,4.4558,6,,NA,Centaurea maculosa,Thorpe et al (2006),Thorpe et al (2006)b,2006,47.328585,-114.218159,
Soil phosphorus concentration,milligrams phosphorus per gram soil,2.7105,0.5569,6,5.9411,0.0259,6,,NA,Centaurea maculosa,Thorpe et al (2006),Thorpe et al (2006)c,2006,48.140432,-112.918854,
Soil phosphorus concentration,milligrams phosphorus per gram soil,2.7105,0.5569,6,5.9411,0.0259,6,,NA,Centaurea maculosa,Thorpe et al (2006),Thorpe et al (2006)c,2006,48.140432,-112.918854,
Soil nitrate content,milligrams of nitrate per square metre,311.6531,10.8401,12,615.1762,184.2818,12,,NA,Acacia saligna,Yelenik et al (2007),Yelenik et al (2007)a,2007,-33.497101,18.589897,
Soil ammonium content,milligrams of ammonium per square metre,535.563,65.7927,12,1447.8847,328.8052,12,,NA,Acacia saligna,Yelenik et al (2007),Yelenik et al (2007)a,2007,-33.497101,18.589897,
Soil ammonium content,milligrams of ammonium per square metre,535.563,65.7927,12,1447.8847,328.8052,12,,NA,Acacia saligna,Yelenik et al (2007),Yelenik et al (2007)a,2007,-33.497101,18.589897,
Total soil nitrogen content,milligrams of nitrogen per gram of soil,0.0874,0.0164,12,0.8775,0.1531,12,,NA,Acacia saligna,Yelenik et al (2007),Yelenik et al (2007)a,2007,-33.497101,18.589897,
Soil organic matter content,percentage organic matter,0.8,0.02,12,2.5,0.34,12,,NA,Acacia saligna,Yelenik et al (2007),Yelenik et al (2007)a,2007,-33.497101,18.589897,
Soil nitrate content,milligrams of nitrate per square metre,344.1734,108.4011,12,1048.7805,130.0813,12,,NA,Lupinus luteus,Yelenik et al (2007),Yelenik et al (2007)b,2007,-33.497101,18.589897,
Soil ammonium content,milligrams of ammonium per square metre,1154.7727,252.0535,12,1519.152,131.5855,12,,NA,Lupinus luteus,Yelenik et al (2007),Yelenik et al (2007)b,2007,-33.497101,18.589897,
Soil ammonium content,milligrams of ammonium per square metre,1154.7727,252.0535,12,1519.152,131.5855,12,,NA,Lupinus luteus,Yelenik et al (2007),Yelenik et al (2007)b,2007,-33.497101,18.589897,
Total soil nitrogen content,milligrams of nitrogen per gram of soil,0.3936,0.0875,12,0.38,0.1039,12,,NA,Lupinus luteus,Yelenik et al (2007),Yelenik et al (2007)b,2007,-33.497101,18.589897,
Soil organic matter content,percentage organic matter,1.4,0.28,12,1.1,0.29,12,,NA,Lupinus luteus,Yelenik et al (2007),Yelenik et al (2007)b,2007,-33.497101,18.589897,
Soil nitrogen,micrograms per gram of soil,3.1513,1.0291,7,2.444,0.8707,7,,Pascopyrum smithii,Centaurea diffusa,Suding et al (2004),Suding et al (2004)a,2004,40.01388889,-105.2055556,
Soil nitrogen,micrograms per gram of soil,3.1513,1.0291,7,2.444,0.8707,7,,Pascopyrum smithii,Centaurea diffusa,Suding et al (2004),Suding et al (2004)a,2004,40.01388889,-105.2055556,
Nitrogen mineralisation,micrograms per gram of soil,0.1933,0.0288,7,0.2286,0.0336,7,,Pascopyrum smithii,Centaurea diffusa,Suding et al (2004),Suding et al (2004)a,2004,40.01388889,-105.2055556,
Nitrogen mineralisation,micrograms per gram of soil,0.1933,0.0288,7,0.2286,0.0336,7,,Pascopyrum smithii,Centaurea diffusa,Suding et al (2004),Suding et al (2004)a,2004,40.01388889,-105.2055556,
Biomass,grams per metre squared,97.679,14.3237,7,114.3899,14.3236,7,,Pascopyrum smithii,Centaurea diffusa,Suding et al (2004),Suding et al (2004)a,2004,40.01388889,-105.2055556,
Soil organic matter,percentage mass lost on ignition,0.92,0.14,6,2.47,0.69,6,,NA,Acacia saligna,Stock et al (1995),Stock et al (1995)a,1995,-33.51666667,18.53333333,
Soil total nitrogen,micrograms per gram of soil,146,10.2,6,538,91.9,6,,NA,Acacia saligna,Stock et al (1995),Stock et al (1995)a,1995,-33.51666667,18.53333333,
Soil total nitrogen,micrograms per gram of soil,146,10.2,6,538,91.9,6,,NA,Acacia saligna,Stock et al (1995),Stock et al (1995)a,1995,-33.51666667,18.53333333,
Soil nitrate,micrograms per gram of soil per day,2.071882353,0.002425356,6,2.516317647,0.002425356,6,,NA,Acacia saligna,Stock et al (1995),Stock et al (1995)a,1995,-33.51666667,18.53333333,
Phosphorus mineralisation,micrograms per gram of soil per day,1.4284,0.4246,6,1.8087,0.6368,6,,NA,Acacia saligna,Stock et al (1995),Stock et al (1995)a,1995,-33.51666667,18.53333333,
Nitrogen mineralisation,micrograms per gram of soil per day,6.9952,1.5605,6,4.644,3.4203,6,,NA,Acacia saligna,Stock et al (1995),Stock et al (1995)a,1995,-33.51666667,18.53333333,
Nitrogen mineralisation,micrograms per gram of soil per day,6.9952,1.5605,6,4.644,3.4203,6,,NA,Acacia saligna,Stock et al (1995),Stock et al (1995)a,1995,-33.51666667,18.53333333,
Soil organic matter,percentage mass lost on ignition,1.07,0.15,6,2.29,0.32,6,,NA,Acacia cyclops,Stock et al (1995),Stock et al (1995)b,1995,-33.75,18.45,
Soil total nitrogen,micrograms per gram of soil,289,34.5,6,788,118.2,6,,NA,Acacia cyclops,Stock et al (1995),Stock et al (1995)b,1995,-33.75,18.45,
Soil ammonium,micrograms per gram of soil per day,2.122994118,0.133974837,6,2.567729412,0.402919669,6,,NA,Acacia cyclops,Stock et al (1995),Stock et al (1995)b,1995,-33.75,18.45,
Soil ammonium,micrograms per gram of soil per day,2.122994118,0.133974837,6,2.567729412,0.402919669,6,,NA,Acacia cyclops,Stock et al (1995),Stock et al (1995)b,1995,-33.75,18.45,
Soil nitrate,micrograms per gram of soil per day,12.89323529,1.130470635,6,6.799576471,0.541120832,6,,NA,Acacia cyclops,Stock et al (1995),Stock et al (1995)b,1995,-33.75,18.45,
Phosphorus mineralisation,micrograms per gram of soil per day,5.762,1.3445,6,9.0435,2.1933,6,,NA,Acacia cyclops,Stock et al (1995),Stock et al (1995)b,1995,-33.75,18.45,
Nitrogen mineralisation,micrograms per gram of soil per day,13.2185,2.2449,6,25.7835,7.1259,6,,NA,Acacia cyclops,Stock et al (1995),Stock et al (1995)b,1995,-33.75,18.45,
Soil moisture,percentage soil moisture,4.169885185,0.086585937,15,4.389401852,0.088026303,15,,Oryzopsis hymenoides,Bromus tectorum,Sperry et al (2006),Sperry et al (2006)a,2006,38.333847,-109.877357,
Soil ammonium,micrograms per gram of soil,4.470987037,0.15908029,15,5.543325185,0.166551674,15,,Oryzopsis hymenoides,Bromus tectorum,Sperry et al (2006),Sperry et al (2006)a,2006,38.333847,-109.877357,
Soil ammonium,micrograms per gram of soil,4.470987037,0.15908029,15,5.543325185,0.166551674,15,,Oryzopsis hymenoides,Bromus tectorum,Sperry et al (2006),Sperry et al (2006)a,2006,38.333847,-109.877357,
Soil nitrate,micrograms per gram of soil,1.058961111,0.043805321,15,1.421394444,0.055819449,15,,Oryzopsis hymenoides,Bromus tectorum,Sperry et al (2006),Sperry et al (2006)a,2006,38.333847,-109.877357,
Soil nitrate,micrograms per gram of soil,1.058961111,0.043805321,15,1.421394444,0.055819449,15,,Oryzopsis hymenoides,Bromus tectorum,Sperry et al (2006),Sperry et al (2006)a,2006,38.333847,-109.877357,
Soil nitrogen,thousands of kilograms per hectare,3.7281,0.3236,15,4.6315,0.1078,15,,Oryzopsis hymenoides,Bromus tectorum,Sperry et al (2006),Sperry et al (2006)a,2006,38.333847,-109.877357,
Soil nitrogen,thousands of kilograms per hectare,3.7281,0.3236,15,4.6315,0.1078,15,,Oryzopsis hymenoides,Bromus tectorum,Sperry et al (2006),Sperry et al (2006)a,2006,38.333847,-109.877357,
Soil moisture,percentage soil moisture,3.926553704,0.09230061,15,3.818787037,0.094608341,15,,Pleuraphis jamesii,Bromus tectorum,Sperry et al (2006),Sperry et al (2006)b,2006,38.333847,-109.877357,
Soil ammonium,micrograms per gram of soil,5.166122222,0.135784271,15,5.10397963,0.122199085,15,,Pleuraphis jamesii,Bromus tectorum,Sperry et al (2006),Sperry et al (2006)b,2006,38.333847,-109.877357,
