Measure of EF used,Units used for EF,EF UI,SE UI,Sample size UI,EF I,SE I,Sample size I,Type of Var,Dominant native,Invasive,Study,SiteID,Year,Latitude,Longitude,Experiment/Observational
Soil carbon,milligrams per gram of soil,16.3,1.263701197,7,11.4,0.679626053,7,,Taxodium distichum,Melaleuca quinquenervia,Martin et al 2009,Martin et al 2009a,2009,25.995081,-81.482849,
Soil nitrogen,milligrams per gram of soil,1.55,0.067168232,7,0.635,0.021782857,7,,Taxodium distichum,Melaleuca quinquenervia,Martin et al 2009,Martin et al 2009a,2009,25.995081,-81.482849,
Soil nitrogen,milligrams per gram of soil,1.55,0.067168232,7,0.635,0.021782857,7,,Taxodium distichum,Melaleuca quinquenervia,Martin et al 2009,Martin et al 2009a,2009,25.995081,-81.482849,
Soil phosphorus,micrograms per gram of soil,36.8,2.628779728,7,12.5,0.479190389,7,,Taxodium distichum,Melaleuca quinquenervia,Martin et al 2009,Martin et al 2009a,2009,25.995081,-81.482849,
Soil phosphorus,micrograms per gram of soil,36.8,2.628779728,7,12.5,0.479190389,7,,Taxodium distichum,Melaleuca quinquenervia,Martin et al 2009,Martin et al 2009a,2009,25.995081,-81.482849,
Aboveground biomass,kilograms per metre squared,3.54003,0.55849,7,5.0667,0.92425,7,,Taxodium distichum,Melaleuca quinquenervia,Martin et al 2009,Martin et al 2009a,2009,25.995081,-81.482849,
Litter biomass,kilograms per metre squared,2.35643,0.49207,7,0.63412,0.11812,7,,Taxodium distichum,Melaleuca quinquenervia,Martin et al 2009,Martin et al 2009a,2009,25.995081,-81.482849,
Root biomass,grams per metre squared,261.9,31.6,7,587.8,42.4,7,,Taxodium distichum,Melaleuca quinquenervia,Martin et al 2009,Martin et al 2009a,2009,25.995081,-81.482849,
Root biomass,grams per metre squared,261.9,31.6,7,587.8,42.4,7,,Taxodium distichum,Melaleuca quinquenervia,Martin et al 2009,Martin et al 2009a,2009,25.995081,-81.482849,
Soil organic carbon,grams of carbon per kilogram,43.1,2.01246118,5,62.7,3.443544685,5,,Setaria plicata,Ageratina adenophora,Niu et al (2007),Niu et al (2007)a,2007,24.70394444,102.8801667,
Total soil nitrogen,grams of nitrogen per kilogram,4.4,0.178885438,5,4.7,0.178885438,5,,Setaria plicata,Ageratina adenophora,Niu et al (2007),Niu et al (2007)a,2007,24.70394444,102.8801667,
