ID,Dominant native,Invasive
73,Agrostis stolonifera,Solidago gigantea
74,Agrostis stolonifera,Solidago gigantea
75,Agrostis stolonifera,Solidago gigantea
76,Calamagrostis epigejos,Solidago gigantea
77,Calamagrostis epigejos,Solidago gigantea
78,Calamagrostis epigejos,Solidago gigantea
79,Kandelia obovata,Spartina alterniflor
80,Cyperus malaccensis,Spartina alterniflor
81,Kandelia obovata,Spartina alterniflor
82,Cyperus malaccensis,Spartina alterniflor
83,Kandelia obovata,Spartina alterniflor
84,Cyperus malaccensis,Spartina alterniflor
85,Kandelia obovata,Spartina alterniflor
86,Cyperus malaccensis,Spartina alterniflor
87,Phragmites australis,Spartina alterniflora
88,Phragmites australis,Spartina alterniflora
89,Scirpus mariqueter,Spartina alterniflora
90,Scirpus mariqueter,Spartina alterniflora
91,Bouteloua gracialis,Agropyron cristatum
92,Bouteloua gracialis,Agropyron cristatum
93,Bouteloua gracialis,Agropyron cristatum
94,Bouteloua gracialis,Agropyron cristatum
95,Bouteloua gracialis,Agropyron cristatum
96,Populus deltoides,Tamarix chinensis
97,Populus deltoides,Tamarix chinensis
98,Populus deltoides,Tamarix chinensis
99,Populus deltoides,Tamarix chinensis
100,Trifolium repens,Ailanthus altissima
101,Festuca arundinacea,Cortaderia selloana
102,Festuca arundinacea,Cortaderia selloana
103,Festuca arundinacea,Cortaderia selloana
104,Festuca arundinacea,Cortaderia selloana
105,Themeda trianda,Pennisetum polystachion
106,Themeda trianda,Pennisetum polystachion
107,Forb spp,Aegilops triuncialis
108,Forb spp,Aegilops triuncialis
109,Forb spp,Aegilops triuncialis
110,Forb spp,Aegilops triuncialis
111,Vaccinium pallidum,Berberis thunbergii
112,Vaccinium pallidum,Berberis thunbergii
113,Vaccinium pallidum,Berberis thunbergii
114,Vaccinium pallidum,Berberis thunbergii
115,Vaccinium pallidum,Berberis thunbergii
116,Vaccinium pallidum,Berberis thunbergii
117,Paspulum conjugatum,Lantana camara
118,Paspulum conjugatum,Lantana camara
119,Paspulum conjugatum,Lantana camara
120,Typha latifolia,Lythrum salicaria
121,Typha latifolia,Lythrum salicaria
122,Typha latifolia,Lythrum salicaria
123,Typha latifolia,Lythrum salicaria
124,Pascopyrum smithii,Bromus inermis
125,Pascopyrum smithii,Bromus inermis
126,Pascopyrum smithii,Bromus inermis
127,Banksia menziesii,Ehrharta calycina
128,Banksia menziesii,Ehrharta calycina
129,Banksia menziesii,Ehrharta calycina
130,Banksia spp,Pelargonium capitatum
131,Banksia spp,Pelargonium capitatum
132,Festuca campestris,Centaurea stoebe
133,Festuca campestris,Centaurea stoebe
134,Festuca campestris,Centaurea stoebe
135,Festuca campestris,Centaurea stoebe
136,Festuca campestris,Centaurea stoebe
137,Metrosideros polymorpha,Hedychium gardnerianum
138,Metrosideros polymorpha,Hedychium gardnerianum
139,Euclea racemosa,Pennisetum clandestinum
140,Ficinia sp.,Acacia saligna
141,Euclea racemosa,Pennisetum clandestinum
142,Ficinia sp.,Acacia saligna
143,Euclea racemosa,Pennisetum clandestinum
144,Ficinia sp.,Acacia saligna
145,Typha x glauca,Carex stricta
146,Typha x glauca,Carex stricta
147,Typha x glauca,Carex stricta
148,Typha x glauca,Carex stricta
149,Typha x glauca,Carex stricta
150,Typha x glauca,Carex stricta
151,Typha x glauca,Carex stricta
152,Typha x glauca,Carex stricta
153,Typha x glauca,Carex stricta
154,Typha x glauca,Carex stricta
155,Typha x glauca,Carex stricta
156,Typha x glauca,Carex stricta
157,Distichlis spicata,Spartina anglica
158,Grass sp,Eragrostis lehmanniana
159,Atriplex canescens,Tamarix spp
160,Festuca idahoensis,Cytisus scoparius
161,Festuca idahoensis,Cytisus scoparius
162,Festuca idahoensis,Cytisus scoparius
163,Corema album,Acacia longifola
164,Corema album,Acacia longifola
165,Corema album,Acacia longifola
166,Hesperostipa comata,Agropyron cristatum
167,Hesperostipa comata,Agropyron cristatum
168,Quercus alba,Rhamnus cathartica
169,Quercus alba,Rhamnus cathartica
170,Quercus alba,Rhamnus cathartica
171,Quercus alba,Rhamnus cathartica
172,Quercus alba,Rhamnus cathartica
173,Quercus alba,Rhamnus cathartica
174,Quercus alba,Rhamnus cathartica
175,Quercus alba,Rhamnus cathartica
176,Quercus alba,Rhamnus cathartica
177,Quercus alba,Rhamnus cathartica
178,Quercus alba,Rhamnus cathartica
179,Achillea millefolium,Solidago gigantea
180,Achillea millefolium,Solidago gigantea
181,Pseudoroegneria spicata,Centaurea maculosa
182,Pseudoroegneria spicata,Centaurea maculosa
183,Pseudoroegneria spicata,Centaurea maculosa
184,Pseudoroegneria spicata,Centaurea maculosa
185,Pseudoroegneria spicata,Centaurea maculosa
186,Pseudoroegneria spicata,Centaurea maculosa
187,Pseudoroegneria spicata,Centaurea maculosa
188,Pseudoroegneria spicata,Centaurea maculosa
189,Pseudoroegneria spicata,Centaurea maculosa
190,Pseudoroegneria spicata,Centaurea maculosa
191,Pseudoroegneria spicata,Centaurea maculosa
192,Pseudoroegneria spicata,Centaurea maculosa
193,Pseudoroegneria spicata,Centaurea maculosa
194,Pseudoroegneria spicata,Centaurea maculosa
195,Pseudoroegneria spicata,Centaurea maculosa
196,Pseudoroegneria spicata,Centaurea maculosa
197,Pseudoroegneria spicata,Centaurea maculosa
198,Pseudoroegneria spicata,Centaurea maculosa
199,Planchonella samoensis,Falcataria moluccana
200,Agrostis halli,Avena barbata
201,Festuca rubra,Avena barbata
202,Agrostis halli,Avena barbata
203,Festuca rubra,Avena barbata
204,Agrostis halli,Avena barbata
205,Festuca rubra,Avena barbata
206,Nassella pulchra,Brachypodium distachyon
207,Nassella pulchra,Brachypodium distachyon
208,Nassella pulchra,Brachypodium distachyon
209,Nassella pulchra,Brachypodium distachyon
210,Nassella pulchra,Brachypodium distachyon
211,Nassella pulchra,Brachypodium distachyon
212,Epilobium hirsutum,Solidago gigantea
213,Epilobium hirsutum,Solidago gigantea
214,Agrostis stolonifera,Prunus serotina
215,Agrostis stolonifera,Prunus serotina
216,Glechoma hederacea,Heracleum mantegazzianum
217,Glechoma hederacea,Heracleum mantegazzianum
218,Eupatorium cannabinum,Fallopia japonica
219,Eupatorium cannabinum,Fallopia japonica
220,Metrosideros polymorpha,Myrica cerifera
221,Metrosideros polymorpha,Myrica cerifera
222,Metrosideros polymorpha,Myrica cerifera
223,Metrosideros polymorpha,Myrica cerifera
224,Quercus ilex,Acacia dealbata
225,Quercus ilex,Acacia dealbata
226,Eupatorium perfoliatum,Microstegium vimineum
227,Eupatorium perfoliatum,Microstegium vimineum
228,Phragmites australis,Spartina alterniflora
229,Acacia longifolia,Chrysanthemoides monilifera
230,Acacia longifolia,Chrysanthemoides monilifera
231,Acacia longifolia,Chrysanthemoides monilifera
232,Acacia longifolia,Chrysanthemoides monilifera
233,Acacia longifolia,Chrysanthemoides monilifera
234,Acacia longifolia,Chrysanthemoides monilifera
235,Acacia longifolia,Chrysanthemoides monilifera
236,Acacia longifolia,Chrysanthemoides monilifera
237,Acacia longifolia,Chrysanthemoides monilifera
238,Acacia longifolia,Chrysanthemoides monilifera
239,Selaginella densa,Agropyron cristatum
240,Selaginella densa,Agropyron cristatum
241,Pinus rigida,Robinia pseudoacacia
242,Taxodium distichum,Melaleuca quinquenervia
243,Taxodium distichum,Melaleuca quinquenervia
244,Taxodium distichum,Melaleuca quinquenervia
245,Taxodium distichum,Melaleuca quinquenervia
246,Taxodium distichum,Melaleuca quinquenervia
247,Taxodium distichum,Melaleuca quinquenervia
248,Taxodium distichum,Melaleuca quinquenervia
249,Acer rubrum,Rhamnus cathartica
250,Pascopyrum smithii,Bromus tectorum
251,Pascopyrum smithii,Bromus tectorum
252,Carya laciniosa,Lonicera maackii in
253,Carya laciniosa,Lonicera maackii in
254,Carya laciniosa,Lonicera maackii in
255,Carya laciniosa,Lonicera maackii in
256,Carya laciniosa,Lonicera maackii in
257,Carya laciniosa,Lonicera maackii in
258,Carya laciniosa,Lonicera maackii in
259,Carya laciniosa,Lonicera maackii in
260,Carya laciniosa,Lonicera maackii in
261,Fraxinus anustifola,Ailanthus altissima
262,Poplus alba,Robinia pseudoacacia
263,Fraxinus anustifola,Ailanthus altissima
264,Poplus alba,Robinia pseudoacacia
265,Fraxinus anustifola,Ailanthus altissima
266,Poplus alba,Robinia pseudoacacia
267,Leucospermum parile,Acacia saligna
268,Leucospermum parile,Acacia saligna
269,Populus deltoides,Tamarix ramosissima
270,Populus deltoides,Tamarix ramosissima
271,Setaria plicata,Ageratina adenophora
272,Setaria plicata,Ageratina adenophora
273,Setaria plicata,Ageratina adenophora
274,Setaria plicata,Ageratina adenophora
275,Setaria plicata,Ageratina adenophora
276,Setaria plicata,Ageratina adenophora
277,Retama raetam,Haloxylon persicum
278,Retama raetam,Haloxylon persicum
279,Retama raetam,Haloxylon persicum
280,Phragmites australis,Spartina alterniflora
281,Anthemis arvensis,Oxalis pes-caprae
282,Avena fatua,Cynara cardunculus
283,Avena fatua,Cynara cardunculus
284,Avena fatua,Cynara cardunculus
285,Cynodon dactylon,Ambrosia artemisiifolia
286,Toxicodendron vernicifluu,Ambrosia artemisiifolia
287,Cynodon dactylon,Ambrosia artemisiifolia
288,Toxicodendron vernicifluu,Ambrosia artemisiifolia
289,Cynodon dactylon,Ambrosia artemisiifolia
290,Toxicodendron vernicifluu,Ambrosia artemisiifolia
291,Pinus pinaster,Acacia longifola
292,Andropogon gerardii,Andropogon bladhii
293,Andropogon gerardii,Andropogon bladhii
294,Pleuraphis jamesii,Bromus tectorum
295,Pleuraphis jamesii,Bromus tectorum
296,Acer rubrum,Microstegium vimineum
297,Panicum virgatum,Rhamnus davurica
298,Liriodendron tulipifera,Alianthus altissima
299,Alloteropsis semialata,Andropogon gayanus
300,Alloteropsis semialata,Andropogon gayanus
301,Alloteropsis semialata,Andropogon gayanus
302,Sagittaria latifolia,Phragmites australis
303,Sagittaria latifolia,Phragmites australis
304,Sagittaria latifolia,Phragmites australis
305,Schizachyrium scoparium,Sorghum halepense
306,Cynodon dactylon,Arundo donax
307,Anthoxanthum odoratum,Pilosella officinarum
308,Anthoxanthum odoratum,Pilosella officinarum
309,Poa cita,Pilosella officinarum
310,Poa cita,Pilosella officinarum
311,Prosopis cineraria,Prosopis juliflora
312,Oryzopsis hymenoides,Bromus tectorum
313,Oryzopsis hymenoides,Bromus tectorum
314,Oryzopsis hymenoides,Bromus tectorum
315,Oryzopsis hymenoides,Bromus tectorum
316,Pleuraphis jamesii,Bromus tectorum
317,Pleuraphis jamesii,Bromus tectorum
318,Pleuraphis jamesii,Bromus tectorum
319,Pleuraphis jamesii,Bromus tectorum
320,Paspalum quadrifarium,Festuca arundinacea
321,Paspalum quadrifarium,Festuca arundinacea
322,Paspalum quadrifarium,Festuca arundinacea
323,Paspalum quadrifarium,Festuca arundinacea
324,Paspalum quadrifarium,Festuca arundinacea
325,Paspalum quadrifarium,Festuca arundinacea
326,Artemisia tridentata,Bromus tectorum
327,Artemisia tridentata,Bromus tectorum
328,Artemisia tridentata,Bromus tectorum
329,Acer rubrum,Microstegium vimineum
330,Quercus alba,Microstegium vimineum
331,Quercus alba,Microstegium vimineum
332,Quercus alba,Microstegium vimineum
333,Quercus alba,Microstegium vimineum
334,Acrachne racemosa,Parthenium hysterophorus
335,Acrachne racemosa,Parthenium hysterophorus
336,Acrachne racemosa,Parthenium hysterophorus
337,Phragmites australis,Spartina alterniflora
338,Cyperus malaccensis,Spartina alterniflora
339,Urtica dioica,Mimulus guttatus
340,Urtica dioica,Mimulus guttatus
341,Urtica dioica,Mimulus guttatus
342,Urtica dioica,Mimulus guttatus
343,Urtica dioica,Mimulus guttatus
344,Urtica dioica,Mimulus guttatus
345,Agrostis stolonifera,Solidago gigantea
346,Agrostis stolonifera,Solidago gigantea
347,Agrostis stolonifera,Solidago gigantea
348,Arrhenatherum elatius,Prunus serotina
349,Arrhenatherum elatius,Prunus serotina
350,Carex arenaria,Rosa rugosa
351,Carex arenaria,Rosa rugosa
352,Arrhenatherum elatius,Fallopia japonica
353,Arrhenatherum elatius,Fallopia japonica
354,Arrhenatherum elatius,Fallopia japonica
355,Rubus fruticosus,Fallopia japonica
356,Rubus fruticosus,Fallopia japonica
357,Rubus fruticosus,Fallopia japonica
358,Petasites hybridus,Fallopia japonica
359,Petasites hybridus,Fallopia japonica
360,Urtica dioica,Heracleum mantegazzianum
361,Urtica dioica,Heracleum mantegazzianum
362,Urtica dioica,Heracleum mantegazzianum
363,Urtica dioica,Heracleum mantegazzianum
364,Pinus rigida,Robinia pseudoacacia
365,Pinus rigida,Robinia pseudoacacia
366,Pinus rigida,Robinia pseudoacacia
367,Spartina patens,Phragmites australis
368,Spartina patens,Phragmites australis
369,Spartina patens,Phragmites australis
370,Muhlenbergia montana,Melilotus spp
371,Muhlenbergia montana,Melilotus spp
372,Muhlenbergia montana,Melilotus spp
373,Protea scolymocephela,Acacia saligna
374,Protea scolymocephela,Acacia saligna
375,Protea scolymocephela,Acacia saligna
376,Protea scolymocephela,Acacia saligna
377,Cynodon dactylon,Lupinus luteus
378,Cynodon dactylon,Lupinus luteus
379,Cynodon dactylon,Lupinus luteus
380,Cynodon dactylon,Lupinus luteus
