EF_measure,Units.used.for.EF,EF_type,EF_UI,SE_UI,SS_UI,EF_I,SE_I,SS_I,Var,Dom_nat,Inv_sp,Study,SiteID,Year,Latitude,Longitude,Exp_obs,Ecosystem,Terr_aqu,Native_height,Inv_height,Native_woodiness,Inv_woodiness,Native_C3,Inv_C3,Inv_Nit_fix,Nat_Nit_fix,Temp,Precip,CWD
Soil nitrogen content,,Soil Nitrogen,0.675,0.605185922,3,7.625,0.796476616,3,,Carex lurida,Phalaris arundinacea,Bills et al (2011),Bills et al (2011)a,2011,39.279773,-86.573124,Observational,Freshwater wetland,Aquatic,1,2,0,0,1,1,0,0,114.4247153,1091.838708,-205.1353894
Soil nitrogen,%,Soil nitrogen,0.12,NA,6,0.18,NA,6,NA,Krascheninnikovia lanata,Bromus tectorum,Blank and Morgan (2013),Blank and Morgan (2013)a,2013,40.13888889,-120.0775,Observational,Scrub,Terrestrial,0.75,0.65,1,0,NA,1,0,0,95.95333335,321.7049998,-1063.2378
Soil nitrogen,%,Soil nitrogen,0.16,NA,6,0.68,NA,6,NA,Krascheninnikovia lanata,Bromus tectorum,Blank and Morgan (2013),Blank and Morgan (2013)b,2013,40.13888889,-120.0775,Observational,Scrub,Terrestrial,0.75,0.65,1,0,NA,1,0,0,95.95333335,321.7049998,-1063.2378
Soil nitrogen,mmol per kg,Soil nitrogen,0.83,NA,NA,1.51,NA,NA,SD,Krascheninnikovia lanata,Bromus tectorum,Blank and Morgan (2016),Blank and Morgan (2016)a,2016,40.13333333,-120.0666667,Observational,Scrub,Terrestrial,0.75,0.65,1,0,NA,1,0,0,95.76000022,320.300008,-1064.297521
Total nitrogen ,grams per kg of soil (0-5cm depth),Soil nitrogen,10.8,0.9,4,14.6,1.2,4,,Quercus robur,Quercus rubra,Bonifacio et al (2015),Bonifacio et al (2015)a,2015,45.14689,7.600758,Observational,Forest,Terrestrial,30,28,1,1,1,1,0,0,119.3611303,845.3847483,-128.3097394
Runoff water nitrogen,%,Soil nitrogen,5.3,0.88,3,11.3,1.45,3,SD,Salix caprea,Robinia pseudoacacia,Buzhdygan et al (2015),Buzhdygan et al (2015)a,2015,40.28319444,26.13686111,Observational,Forest,Terrestrial,9,25,1,1,1,1,1,0,146.5966176,648.8067647,NA
Runoff water nitrogen,%,Soil nitrogen,5.44,0.26,3,5.58,0.24,3,SD,Salix caprea,Robinia pseudoacacia,Buzhdygan et al (2015),Buzhdygan et al (2015)a,2015,40.28319444,26.13686111,Observational,Forest,Terrestrial,9,25,1,1,1,1,1,0,146.5966176,648.8067647,NA
Soil nitrate pool,micrograms of nitrate per gram of soil,Soil Nitrogen,28.9449,2.677699189,4,28.18046667,3.91183806,4,,Ulmus minor,Alianthus altissima,Castro Diez et al 2009,Castro Diez et al 2009a,2009,40.56666667,-3.2,Observational,Forest,Terrestrial,30,22,1,1,1,1,0,0,127.41,436.0599996,-720.8500011
Soil total mineral nitrogen pool,micrograms of mineralised nitrogen per gram of soil,Soil Nitrogen,50.81766667,4.382066332,4,48.45423333,3.250781853,4,,Ulmus minor,Alianthus altissima,Castro Diez et al 2009,Castro Diez et al 2009a,2009,40.56666667,-3.2,Observational,Forest,Terrestrial,30,22,1,1,1,1,0,0,127.41,436.0599996,-720.8500011
Soil total mineral nitrogen availability,micrograms of nitrogen per cm squared of soil,Soil Nitrogen,1.495366667,0.114974007,4,1.596533333,0.128132377,4,,Ulmus minor,Alianthus altissima,Castro Diez et al 2009,Castro Diez et al 2009a,2009,40.56666667,-3.2,Observational,Forest,Terrestrial,30,22,1,1,1,1,0,0,127.41,436.0599996,-720.8500011
Soil total mineral nitrogen pool,micrograms of mineralised nitrogen per gram of soil,Soil Nitrogen,39.89796667,1.798849163,4,42.80706667,3.646827789,4,,Fraxinus angustifolia,Robinia pseudoacacia,Castro Diez et al 2009,Casto Diez et al 2009b,2009,40.56666667,-3.2,Observational,Forest,Terrestrial,25,25,1,1,1,1,1,0,127.41,436.0599996,-720.8500011
Soil total mineral nitrogen availability,micrograms of nitrogen per cm squared of soil,Soil Nitrogen,1.253733333,0.114846787,4,1.4928,0.109514821,4,,Fraxinus angustifolia,Robinia pseudoacacia,Castro Diez et al 2009,Casto Diez et al 2009b,2009,40.56666667,-3.2,Observational,Forest,Terrestrial,25,25,1,1,1,1,1,0,127.41,436.0599996,-720.8500011
Soil total nitrogen,,Soil Nitrogen,0.19,0.007071068,8,0.15,0.007071068,8,,Propsopis juliflora,Kalanchoe daigremontiana,Chacon et al (2009),Chacon et al (2009)a,2009,10.12,-69.7,Observational,Forest,Terrestrial,12,1,1,0,0,0,0,0,237.05,564.74,-1059.489637
Soil total nitrogen,,Soil Nitrogen,0.14,0.010606602,8,0.15,0.010606602,8,,Opuntia caracassana,Stapelia gigantea,Chacon et al (2009),Chacon et al (2009)b,2009,10.12,-69.7,Observational,Scrub,Terrestrial,1.5,0.2,0,0,NA,NA,0,0,237.05,564.74,-1059.489637
Total soil nitrogen,Percentage soil nitrogen (0-10cm depth),Soil Nitrogen,0.17,0.020412415,6,0.22,0.016329932,6,,Dactylis glomerata,Solidago gigantea,Chapuis-Lardy et al 2006,Chapuis-Lardy et al 2006a,2006,50.85,4.416667,Observational,Wasteland,Terrestrial,0.8,2,0,0,1,1,0,0,100.8000008,801.3999932,-154.3666816
Total soil nitrogen,Percentage soil nitrogen (0-10cm depth),Soil Nitrogen,0.14,0.004082483,6,0.15,0.008164966,6,,Agrostis stolonifera,Solidago gigantea,Chapuis-Lardy et al 2006,Chapuis-Lardy et al 2006b,2006,50.865778,4.469376,Observational,Grassland,Terrestrial,0.7,2,0,0,1,1,0,0,101.1805671,797.3957108,-160.2375132
Total soil nitrogen,Percentage soil nitrogen (0-10cm depth),Soil Nitrogen,0.36,0.020412415,6,0.36,0.020412415,6,,Calamagrostis epigejos,Solidago gigantea,Chapuis-Lardy et al 2006,Chapuis-Lardy et al 2006c,2006,50.453569,3.819122,Observational,Grassland,Terrestrial,1.3,2,0,0,1,1,0,0,100,774.5576262,-148.9174787
Available soil nitrogen,,Soil Nitrogen,1.8406,0.584266667,5,0.9986,0.294666667,5,,Bouteloua gracialis,Agropyron cristatum,Christian et al (1999),Christian et al (1999)a,1999,49.36666667,-107.8833333,Observational,Grassland,Terrestrial,0.225,0.4,0,0,0,1,0,0,37.42000009,341.4999987,-655.1550057
Total soil nitrogen,,Soil Nitrogen,0.204,0.0261,5,0.1532,0.0151,5,,Bouteloua gracialis,Agropyron cristatum,Christian et al (1999),Christian et al (1999)a,1999,49.36666667,-107.8833333,Observational,Grassland,Terrestrial,0.225,0.4,0,0,0,1,0,0,37.42000009,341.4999987,-655.1550057
Total soil nitrogen,Percentage soil nitrogen (0-20cm),Soil nitrogen,0.214,0.01,4,0.1237,0.0046,4,,Festuca arundinacea,Cortaderia selloana,Domenech et al 2006,Domenech et al 2006a,2006,42.22302,3.085184,Observational,Grassland,Terrestrial,1.125,3,0,0,1,1,0,0,157.0967346,590.2939617,-515.8223798
Total soil nitrogen,Percentage soil nitrogen (0-20cm),Soil nitrogen,0.1347,0.0064,4,0.1228,0.0082,4,,Festuca arundinacea,Cortaderia selloana,Domenech et al 2006,Domenech et al 2006b,2006,42.22302,3.085184,Observational,Grassland,Terrestrial,1.125,3,0,0,1,1,0,0,157.0967346,590.2939617,-515.8223798
Total soil nitrogen,Percentage soil nitrogen (0-20cm),Soil nitrogen,0.1429,0.0059,4,0.1209,0.0038,4,,Festuca arundinacea,Cortaderia selloana,Domenech et al 2006,Domenech et al 2006c,2006,42.22302,3.085184,Observational,Grassland,Terrestrial,1.125,3,0,0,1,1,0,0,157.0967346,590.2939617,-515.8223798
Total soil nitrogen,Percentage soil nitrogen (0-20cm),Soil nitrogen,0.1903,0.0036,4,0.1734,0.0155,4,,Festuca arundinacea,Cortaderia selloana,Domenech et al 2006,Domenech et al 2006d,2006,42.22302,3.085184,Observational,Grassland,Terrestrial,1.125,3,0,0,1,1,0,0,157.0967346,590.2939617,-515.8223798
Total N,,Soil nitrogen,0.94,0.06,4,1.12,0.03,4,,Paspulum conjugatum,Lantana camara,Fan et al (2010),Fan et al (2010)a,2010,23.66631667,113.1498667,Observational,Scrub,Terrestrial,0.3,2,0,1,0,1,0,0,214.3058783,1866.613435,-116.1983832
Available N,,Soil nitrogen,23.9,1.75,4,62.55,7.35,4,,Paspulum conjugatum,Lantana camara,Fan et al (2010),Fan et al (2010)a,2010,23.66631667,113.1498667,Observational,Scrub,Terrestrial,0.3,2,0,1,0,1,0,0,214.3058783,1866.613435,-116.1983832
Total soil nitrogen,milligrams of nitrogen per kilogram of soil (0-5cm depth),Soil nitrogen,468,19,20,483,24,20,,Banksia menziesii,Ehrharta calycina,Fisher et al 2006,Fisher et al 2006a,2006,-31.947447,115.781136,Observational,Forest,Terrestrial,10,0.5,1,0,1,1,0,0,185.628502,778.6784179,-1253.954651
Total soil nitrogen,milligrams of nitrogen per kilogram of soil (0-5cm depth),Soil nitrogen,468,19,20,609,40,20,,Banksia menziesii,Pelargonium capitatum,Fisher et al 2006,Fisher et al 2006b,2006,-31.947556,115.78105,Observational,Forest,Terrestrial,10,1,1,0,1,NA,0,0,185.628364,778.6786235,-1253.964822
Soil nitrogen,,Soil nitrogen,0.41,0.03,24,0.25,0.02,24,,Festuca campestris,Centaurea stoebe,Fraser et al (2011),Fraser et al (2011)a,2011,50.75579,-120.465775,Observational,Grassland,Terrestrial,0.8,0.9,0,0,1,1,0,0,65.52981544,331.4807837,-540.7559305
Soil inorganic nitrogen,micrograms of nitrogen per gram of soil (0-10cm depth),Soil nitrogen,2.1,0.7,4,2.4,0.3,4,,Metrosideros polymorpha,Hedychium gardnerianum,Funk 2005,Funk 2005a,2005,19.41666667,-155.25,Observational,Forest,Terrestrial,22.5,2.4,1,0,1,1,0,1,166.9999999,2795.000003,NA
Soil nitrogen,mg per kg of soil,Soil nitrogen,1648.9,226,3,1543.4,407,3,SD,Euclea racemosa,Pennisetum clandestinum,Gaertner et al. (2011),Gaertner et al. (2011)a,2011,-34.5483,19.46143611,Observational,Scrub,Terrestrial,6.9,0.15,1,0,1,0,0,0,159.480373,559.541678,-682.6595422
Soil nitrogen,mg per kg of soil,Soil nitrogen,2082.3,345.8,3,4125.926,529.4,3,SD,Ficinia sp.,Acacia saligna,Gaertner et al. (2011),Gaertner et al. (2011)b,2011,-34.5483,19.46143611,Observational,Scrub,Terrestrial,0.580407666,4,0,1,NA,1,1,0,159.480373,559.541678,-682.6595422
Total soil nitrogen,grams of nitrogen per metre squared of soil (0-10cm depth),Soil nitrogen,427.1,20.05826236,18,454.67,28.32198361,18,,Festuca idahoensis,Cytisus scoparius,Haubensak et al 2004,Haubensak et al 2004a,2004,46.91666667,-123.2666667,Observational,Grassland,Terrestrial,0.7,2,0,1,1,1,1,0,97.20000046,1796.600034,-230.9458418
Soil nitrogen,,Soil nitrogen,0.02375,0.23125,15,0.4626,0.0415,15,,Quercus alba,Rhamnus cathartica,Heneghan et al (2004),Heneghan et al (2004)a,2004,42.149755,-87.780998,Observational,Forest,Terrestrial,27,10,1,1,1,1,0,0,92.3583122,895.6601188,-234.174568
Soil available N,,Soil nitrogen,11.187,1.4107,15,9.1756,0.5557,15,,Quercus alba,Rhamnus cathartica,Heneghan et al (2004),Heneghan et al (2004)a,2004,42.149755,-87.780998,Observational,Forest,Terrestrial,27,10,1,1,1,1,0,0,92.3583122,895.6601188,-234.174568
Soil nitrogen,,Soil nitrogen,0.2623,0.0492,3,0.4419,0.2324,3,,Quercus alba,Rhamnus cathartica,Heneghan et al (2006),Heneghan et al (2006)a,2006,42.143742,-88.042717,Observational,Forest,Terrestrial,27,10,1,1,1,1,0,0,88.281286,906.7628152,-218.4255292
Soil nitrogen,,Soil nitrogen,3.6774,0.6799,3,5.7095,2.7998,3,,Quercus alba,Rhamnus cathartica,Heneghan et al (2006),Heneghan et al (2006)b,2006,41.81457,-88.055935,Observational,Forest,Terrestrial,27,10,1,1,1,1,0,0,94.23020797,929.1073362,-222.3460671
Soil nitrogen,,Soil nitrogen,12.8378,0.7401,3,13.9975,0.4933,3,,Quercus alba,Rhamnus cathartica,Heneghan et al (2006),Heneghan et al (2006)c,2006,42.149755,-87.780998,Observational,Forest,Terrestrial,27,10,1,1,1,1,0,0,92.3583122,895.6601188,-234.174568
Soil nitrogen,Percentage soil nitrogen content (0-5cm depth),Soil nitrogen,0.1356,0.0098,6,0.1438,0.0114,6,,Pseudoroegneria spicata,Centaurea maculosa,Hook et al (2004),Hook et al (2004)a,2004,45.45833333,-110.6066667,Observational,Grassland,Terrestrial,0.8,0.91,0,0,1,1,0,0,41.13999988,521.3200061,-654.0683068
Soil nitrogen,Percentage soil nitrogen content (0-5cm depth),Soil nitrogen,0.2257,0.0197,6,0.2011,0.0312,6,,Pseudoroegneria spicata,Centaurea maculosa,Hook et al (2004),Hook et al (2004)b,2004,25.39833333,-110.7033333,Observational,Grassland,Terrestrial,0.8,0.91,0,0,1,1,0,0,NA,NA,NA
Soil nitrogen,Percentage soil nitrogen content (0-5cm depth),Soil nitrogen,0.398,0.0753,6,0.3931,0.0589,6,,Pseudoroegneria spicata,Centaurea maculosa,Hook et al (2004),Hook et al (2004)c,2004,46.55,-111.7616667,Observational,Grassland,Terrestrial,0.8,0.91,0,0,1,1,0,0,58.0100006,355.1939948,-770.4920091
Soil nitrogen,Percentage soil nitrogen content (0-5cm depth),Soil nitrogen,0.3668,0.0098,6,0.37,0.0148,6,,Pseudoroegneria spicata,Centaurea maculosa,Hook et al (2004),Hook et al (2004)d,2004,45.595,-111.09,Observational,Grassland,Terrestrial,0.8,0.91,0,0,1,1,0,0,45.3888,561.8076,-535.8938144
Soil nitrogen,Percentage soil nitrogen content (0-5cm depth),Soil nitrogen,0.3242,0.0213,6,0.3225,0.0212,6,,Pseudoroegneria spicata,Centaurea maculosa,Hook et al (2004),Hook et al (2004)e,2004,45.77833333,-111.26,Observational,Grassland,Terrestrial,0.8,0.91,0,0,1,1,0,0,62.28140009,393.5291999,-734.0070858
Soil nitrogen,Percentage soil nitrogen content (0-5cm depth),Soil nitrogen,0.2454,0.0097,6,0.2438,0.0082,6,,Pseudoroegneria spicata,Centaurea maculosa,Hook et al (2004),Hook et al (2004)f,2004,45.59833333,-111.195,Observational,Grassland,Terrestrial,0.8,0.91,0,0,1,1,0,0,49.88879973,525.8851027,-598.6954239
Soil nitrogen,Percentage soil nitrogen content (0-5cm depth),Soil nitrogen,0.3455,0.0131,6,0.3161,0.0229,6,,Pseudoroegneria spicata,Centaurea maculosa,Hook et al (2004),Hook et al (2004)g,2004,45.665,-110.6916667,Observational,Grassland,Terrestrial,0.8,0.91,0,0,1,1,0,0,41.92199522,572.9315352,-537.4452988
Soil nitrogen,Percentage soil nitrogen content (0-5cm depth),Soil nitrogen,0.2455,0.0147,6,0.2242,0.0311,6,,Pseudoroegneria spicata,Centaurea maculosa,Hook et al (2004),Hook et al (2004)h,2004,45.66,-110.665,Observational,Grassland,Terrestrial,0.8,0.91,0,0,1,1,0,0,45.7768,544.1886,-596.6749753
Soil nitrogen,Percentage soil nitrogen content (0-5cm depth),Soil nitrogen,0.2668,0.0196,6,0.2111,0.0147,6,,Pseudoroegneria spicata,Centaurea maculosa,Hook et al (2004),Hook et al (2004)i,2004,45.64333333,-110.9216667,Observational,Grassland,Terrestrial,0.8,0.91,0,0,1,1,0,0,31.36880369,647.8331741,-494.5296427
Total soil nitrogen,percentage soil nitrogen,Soil Nitrogen,0.2,0.02857738,6,0.17,0.004082483,6,,Epilobium hirsutum,Solidago gigantea,Koutika et al (2007),Koutika et al (2007)a,2007,50.25936,6.06888,Observational,Grassland,Terrestrial,2,2,0,0,1,1,0,0,75.99388078,1038.562469,-28.41109501
Total soil nitrogen,percentage soil nitrogen,Soil Nitrogen,0.27,0.053072278,6,0.44,0.081649658,6,,Agrostis stolonifera,Prunus serotina,Koutika et al (2007),Koutika et al (2007)d,2007,51.21992,4.39625,Observational,Grassland,Terrestrial,0.7,29,0,1,1,1,0,0,101.30298,778.647084,-156.3565078
Total soil nitrogen,percentage soil nitrogen,Soil Nitrogen,1.02,0.15513435,6,0.64,0.057154761,6,,Glechoma hederacea,Heracleum mantegazzianum,Koutika et al (2007),Koutika et al (2007)h,2007,50.800919,4.414715,Observational,Forest,Terrestrial,0.275,3.75,0,0,1,1,0,0,99.94093929,811.8251828,-123.8754623
Total soil nitrogen,percentage soil nitrogen,Soil Nitrogen,0.59,0.163299316,6,0.38,0.020412415,6,,Eupatorium cannabinum,Fallopia japonica,Koutika et al (2007),Koutika et al (2007)j,2007,51.05844,5.27176,Observational,Forest,Terrestrial,1.5,3.5,0,0,1,1,0,0,96.16816,810.8091982,-124.3126141
Soil nitrogen,milligrams of nitrogen per grams of dry soil,Soil Nitrogen,16,19,10,3,2,10,,Metrosideros polymorpha,Myrica cerifera,Kurten et al (2008),Kurten et al (2008)a,2008,19.733421,-155.090389,Observational,Forest,Terrestrial,22.5,6,1,1,1,NA,1,1,216.8968937,4200.997822,NA
Total inorganic nitrogen,micrograms per gram of soil,Soil nitrogen,0.68,0.1,15,1.14,0.12,15,SE,Eupatorium perfoliatum,Microstegium vimineum,Lee et al (2012),Lee et al (2012)a,2012,39.21916667,-86.54138889,Observational,Forest,Terrestrial,1,0.7,0,0,1,0,0,0,115.02645,1098.007641,-203.0269236
Soil nitrogen,%,Soil nitrogen,0.05477,0.00909,4,0.45187,0.03791,4,SE,Acacia longifolia,Chrysanthemoides monilifera,Lindsay et al (2005),Lindsay et al (2005)a,2005,-34.96666667,150.7833333,Observational,Scrub,Terrestrial,10,3,1,1,1,0,0,1,168.32,1397.079986,-189.7000163
Soil nitrogen,%,Soil nitrogen,0.03334,0.00606,4,0.08473,0.00909,4,SE,Acacia longifolia,Chrysanthemoides monilifera,Lindsay et al (2005),Lindsay et al (2005)b,2005,-34.96666667,150.7833333,Observational,Scrub,Terrestrial,10,3,1,1,1,0,0,1,168.32,1397.079986,-189.7000163
Soil nitrogen,%,Soil nitrogen,0.01477,0.00606,4,0.0419,0.00606,4,SE,Acacia longifolia,Chrysanthemoides monilifera,Lindsay et al (2005),Lindsay et al (2005)c,2005,-34.96666667,150.7833333,Observational,Scrub,Terrestrial,10,3,1,1,1,0,0,1,168.32,1397.079986,-189.7000163
Soil nitrogen,%,Soil nitrogen,0.01572,0.00607,4,0.03678,0.00608,4,SE,Acacia longifolia,Chrysanthemoides monilifera,Lindsay et al (2005),Lindsay et al (2005)d,2005,-34.96666667,150.7833333,Observational,Scrub,Terrestrial,10,3,1,1,1,0,0,1,168.32,1397.079986,-189.7000163
Soil nitrogen,,Soil nitrogen,0.1135,0.0084,5,0.3527,0.091,5,,Pinus rigida,Robinia pseudoacacia,Malcolm et al (2008),Malcolm et al (2008)a,2008,42.70338,-73.83894,Observational,Forest,Terrestrial,18,25,1,1,1,1,1,0,84.61536088,957.8059574,-196.85932
Soil nitrogen,milligrams per gram of soil,Soil nitrogen,1.55,0.067168232,7,0.635,0.021782857,7,SE,Taxodium distichum,Melaleuca quinquenervia,Martin et al 2009,Martin et al 2009a,2009,25.995081,-81.482849,Observational,Forest,Terrestrial,32.5,20,1,1,1,1,1,0,232.926608,1330.512694,-499.4267099
Soil nitrogen,%,Soil nitrogen,0.22,0.01,10,0.32,0.03,10,,Pascopyrum smithii,Bromus tectorum,Concilio et al. (2015),Concilio et al. (2015)a,2015,40.11666667,105.3,Observational,Grassland,Terrestrial,0.6,0.65,0,0,1,1,0,0,68.73999978,114.5800002,-966.84
Soil nitrogen ,%,Soil nitrogen,0.33,0.02,3,0.33,0.01,3,,Carya laciniosa,Lonicera maackii,McEwan et al. (2012),McEwan et al. (2012)a,2012,38.015313,-84.505241,Observational,Forest,Terrestrial,36.9,6,1,1,1,1,0,0,126.0703632,1161.984624,-156.2691002
Soil nitrogen ,%,Soil nitrogen,0.36,0.01,3,0.4,0.02,3,,Carya laciniosa,Lonicera maackii,McEwan et al. (2012),McEwan et al. (2012)b,2012,38.015313,-84.505241,Observational,Forest,Terrestrial,36.9,6,1,1,1,1,0,0,126.0703632,1161.984624,-156.2691002
Soil nitrogen ,%,Soil nitrogen,0.56,0.03,3,0.6,0.03,3,,Carya laciniosa,Lonicera maackii,McEwan et al. (2012),McEwan et al. (2012)c,2012,38.015313,-84.505241,Observational,Forest,Terrestrial,36.9,6,1,1,1,1,0,0,126.0703632,1161.984624,-156.2691002
Soil nitrogen,%,Soil nitrogen,0.0472,0.0035,3,0.048,0.0057,3,,Fraxinus anustifola,Ailanthus altissima,Medina-Villar et al. (2015),Medina-Villar et al. (2015)a,2015,40.57530556,-3.229611111,Observational,Forest,Terrestrial,25,22,1,1,1,1,0,0,128.8699135,431.6785124,-737.9007168
Soil nitrogen,%,Soil nitrogen,0.0232,0.0023,4,0.1006,0.0171,3,,Poplus alba,Robinia pseudoacacia,Medina-Villar et al. (2015),Medina-Villar et al. (2015)b,2015,40.94677778,-2.937694444,Observational,Forest,Terrestrial,21.5,25,1,1,1,1,1,0,114.6018529,465.0190199,-656.7549402
Nitrogen concentration of soil,mmol per kilogram dry soil (0-15 cm),Soil Nitrogen,18.348,0.353,50,26.773,1.203,69,,Leucospermum parile,Acacia saligna,Musil et al (1993),Musil et al (1993),1993,-33.513919,18.549385,Observational,Scrub,Terrestrial,2.75,4,1,1,1,1,1,0,166.76635,485.6466565,-980.454514
Total soil nitrogen,grams of nitrogen per kilogram,Soil Nitrogen,4.4,0.178885438,5,4.7,0.178885438,5,SE,Setaria plicata,Ageratina adenophora,Niu et al (2007),Niu et al (2007)a,2007,24.70394444,102.8801667,Observational,Forest,Terrestrial,0.875,1.5,0,0,0,NA,0,0,153.1681564,1021.959463,-383.5805304
Soil nitrate,milligrams of nitrate per kilogram,Soil Nitrogen,14.44,0.939148551,5,32.5,2.146625258,5,SE,Setaria plicata,Ageratina adenophora,Niu et al (2007),Niu et al (2007)a,2007,24.70394444,102.8801667,Observational,Forest,Terrestrial,0.875,1.5,0,0,0,NA,0,0,153.1681564,1021.959463,-383.5805304
Soil ammonia,milligrams of ammonia per kilogram,Soil Nitrogen,28.1,1.386362146,5,39.3,1.431083506,5,SE,Setaria plicata,Ageratina adenophora,Niu et al (2007),Niu et al (2007)a,2007,24.70394444,102.8801667,Observational,Forest,Terrestrial,0.875,1.5,0,0,0,NA,0,0,153.1681564,1021.959463,-383.5805304
Soil nitrogen,grams per kg of soil,Soil nitrogen,1.079,0.0472,NA,0.7997,0.0404,NA,,Retama raetam,Haloxylon persicum,Noumi (2015),Noumi (2015)a,2015,9.011666667,33.66555556,Observational,Desert,Terrestrial,3,4.75,1,1,1,1,0,1,276,806.5126669,-1114.611882
Soil nitrogen,grams per kg of soil,Soil nitrogen,1.19,0.015,NA,1.37,0.041,NA,,Cynodon dactylon,Ambrosia artemisiifolia,Qin et al. (2014),Qin et al. (2014)a,2014,24.8,113.6,Observational,Grassland,Terrestrial,0.155,1,0,0,0,1,0,0,207.02,1518.99,-162.1745781
Soil nitrogen,grams per kg of soil,Soil nitrogen,1.14,0.061,NA,1.11,0.065,NA,,Toxicodendron vernicifluu,Ambrosia artemisiifolia,Qin et al. (2014),Qin et al. (2014)b,2014,24.8,113.6,Observational,Grassland,Terrestrial,20,1,1,0,1,1,0,0,207.02,1518.99,-162.1745781
Soil nitrogen,percentage soil nitrogen,Soil nitrogen,0.272,0.001,10,0.253,0.005,10,SE,Andropogon gerardii,Andropogon bladhii,Reed et al (2005),Reed et al (2005)a,2005,39.098744,-96.606152,Observational,Grassland,Terrestrial,2,0.75,0,0,0,0,0,0,121.0317886,862.2570354,-414.1661735
Soil Nitrogen pool,,Soil nitrogen,42.9386,4.3455,20,22.0804,1.9555,20,,Pleuraphis jamesii,Bromus tectorum,Rimer et al (2006),Rimer et al (2006)a,2006,38.044035,-109.734879,Observational,Grassland,Terrestrial,0.6,0.65,0,0,0,1,0,0,100.5963417,296.4856517,-1243.21878
