,X,submitted_name,matched_name,Same,data_source_title,score,Origin,Notes,Trait_db_height,Trait_measurement_Origin,Upper_height,Lower_height,Single_height,Source,Comment,Median_height
55,55,Cortaderia selloana,Cortaderia selloana,TRUE,NCBI,0.988,South South America,,NA,,NA,NA,3,https://en.wikipedia.org/wiki/Cortaderia_selloana,,3
56,56,Cupania porphyria,Cupania,FALSE,Catalogue of Life,0.75,,,NA,,NA,NA,NA,,,NA
57,57,Cynara cardunculus,Cynara cardunculus,TRUE,NCBI,0.988,Central and Western Mediterranean,,NA,,1.5,0.8,NA,https://en.wikipedia.org/wiki/Cardoon,,1.15
58,58,Cynodon dactylon,Cynodon dactylon,TRUE,NCBI,0.988,Bermuda?,Origin unsure,0.11,Unclear,0.3,0.01,NA,https://en.wikipedia.org/wiki/Cynodon_dactylon,,0.155
59,59,Cyperus malaccensis,Cyperus malaccensis,TRUE,uBio NameBank,0.988,,Origin unsure,NA,,1.5,0.5,NA,http://tropical.theferns.info/viewtropical.php?id=Cyperus+malaccensis,,1
60,60,Cytisus scoparius,Cytisus scoparius,TRUE,NCBI,0.988,Western and Central Europe,,0.991596241,Native,3,1,NA,https://en.wikipedia.org/wiki/Cytisus_scoparius,,2
61,61,Dactylis glomerata,Dactylis glomerata,TRUE,NCBI,0.988,"Europe, temperate Asia, Northern America",,0.321052955,Native,1.4,0.2,NA,https://en.wikipedia.org/wiki/Dactylis_glomerata,,0.8
62,62,Diospyros sandwicensis,Diospyros sandwicensis,TRUE,NCBI,0.988,Hawaii,,NA,,12,6,NA,https://en.wikipedia.org/wiki/Diospyros_sandwicensis,,9
63,63,Distichlis spicata,Distichlis spicata,TRUE,NCBI,0.988,Americas,,NA,,NA,NA,0.5,https://en.wikipedia.org/wiki/Distichlis_spicata,,0.5
64,64,Ehrharta calycina,Ehrharta calycina,TRUE,NCBI,0.988,Southern Africa,,NA,,0.7,0.3,NA,https://en.wikipedia.org/wiki/Ehrharta_calycina,,0.5
65,65,Elaeagnus umbellata,Elaeagnus umbellata,TRUE,NCBI,0.988,Eastern Asia,,NA,,NA,NA,3.5,https://en.wikipedia.org/wiki/Elaeagnus_umbellata,,3.5
66,66,Eleocharis smallii,Eleocharis smallii,TRUE,CU*STAR,0.988,,Origin unsure,NA,,0.6,0.3,NA,http://nativeplants.evergreen.ca/search/view-plant.php?ID=05252,,0.45
67,67,Encelia farinosa,Encelia farinosa,TRUE,NCBI,0.988,"Southwestern USA, Northern Mexico",,NA,,1.5,0.3,NA,https://en.wikipedia.org/wiki/Encelia_farinosa,,0.9
68,68,Epilobium hirsutum,Epilobium hirsutum,TRUE,NCBI,0.988,North Africa and Europe,,1.018971153,Native,NA,NA,2,https://en.wikipedia.org/wiki/Epilobium_hirsutum,,2
69,69,Eragrostis lehmanniana,Eragrostis lehmanniana,TRUE,NCBI,0.988,Southern Africa,,NA,,0.8,0.61,NA,https://en.wikipedia.org/wiki/Eragrostis_lehmanniana,,0.705
70,70,Euclea racemosa,Euclea racemosa,TRUE,NCBI,0.988,Indian Ocean coast of Africa,,NA,,12,1.8,NA,http://tropical.theferns.info/viewtropical.php?id=Euclea+racemosa,,6.9
71,71,Eupatorium cannabinum,Eupatorium cannabinum,TRUE,NCBI,0.988,Europe,,1,Native,NA,NA,1.5,https://en.wikipedia.org/wiki/Eupatorium_cannabinum,,1.5
72,72,Eupatorium perfoliatum,Eupatorium perfoliatum,TRUE,NCBI,0.988,Eastern North America,,NA,,NA,NA,1,https://en.wikipedia.org/wiki/Eupatorium_perfoliatum,,1
73,73,Fagus sylvatica,Fagus sylvatica,TRUE,NCBI,0.988,Europe,,30.9125408,Native,35,25,NA,https://en.wikipedia.org/wiki/Fagus_sylvatica,,30
74,74,Falcataria moluccana,Falcataria moluccana,TRUE,NCBI,0.988,"New Guinea, Papua New Guinea, Solomon Islands",,NA,,NA,NA,30,https://en.wikipedia.org/wiki/Falcataria_moluccana,,30
75,75,Fallopia japonica,Fallopia japonica,TRUE,NCBI,0.988,East Asia and Japan,,NA,,4,3,NA,https://en.wikipedia.org/wiki/Fallopia_japonica,,3.5
76,76,Festuca arundinacea,Festuca arundinacea,TRUE,NCBI,0.988,Europe,,0.6,Native,1.8,0.45,NA,http://www.kew.org/data/grasses-db/www/imp04400.htm,,1.125
77,77,Festuca campestris,Festuca campestris,TRUE,EOL,0.988,,Origin unsure,NA,,1,0.6,NA,http://www.kew.org/data/grasses-db/www/imp04452.htm,,0.8
78,78,Festuca idahoensis,Festuca idahoensis,TRUE,NCBI,0.988,Western North America,,NA,,1,0.4,NA,http://www.kew.org/data/grasses-db/www/imp04623.htm,,0.7
79,79,Festuca ovina,Festuca ovina,TRUE,NCBI,0.988,Europe and Asia,,0.134164079,Native,NA,NA,0.43,http://www.brc.ac.uk/plantatlas/index.php?q=node/1958,,0.43
80,80,Festuca rubra,Festuca rubra,TRUE,NCBI,0.988,Northern Hemisphere,,0.343414273,Native,0.9,0.15,NA,http://www.kew.org/data/grasses-db/www/imp04840.htm,,0.525
81,81,Ficinia,Ficinia,TRUE,Catalogue of Life,0.75,,Origin unsure,NA,,NA,NA,NA,,,NA
82,82,Fraxinus angustifolia,Fraxinus angustifolia,TRUE,Wikispecies,0.988,"Europe, South West Asia, North Africa",,NA,,30,20,NA,https://en.wikipedia.org/wiki/Fraxinus_angustifolia,,25
83,83,Fraxinus anustifola,Fraxinus angustifolia,FALSE,Catalogue of Life,0.75,"Europe, South West Asia, North Africa",,NA,,30,20,NA,https://en.wikipedia.org/wiki/Fraxinus_angustifolia,,25
84,84,Galium palustre,Galium palustre,TRUE,NCBI,0.988,"Europe, North America, Eastern North America",,0.364732988,Native,NA,NA,0.75,https://www.brc.ac.uk/plantatlas/index.php?q=plant/galium-palustre,,0.75
85,85,Glechoma hederacea,Glechoma hederacea,TRUE,NCBI,0.988,Europe and Southwestern Asia,,0.226793316,Native,0.5,0.05,NA,https://en.wikipedia.org/wiki/Glechoma_hederacea,,0.275
86,86,Haloxylon persicum,Haloxylon persicum,TRUE,NCBI,0.988,Western  to Central Asia,,NA,,5,4.5,NA,https://en.wikipedia.org/wiki/Haloxylon_persicum,,4.75
87,87,Hedychium gardnerianum,Hedychium gardnerianum,TRUE,NCBI,0.988,Himalayas,,NA,,NA,NA,2.4,https://en.wikipedia.org/wiki/Hedychium_gardnerianum,,2.4
88,88,Heracleum mantegazzianum,Heracleum mantegazzianum,TRUE,NCBI,0.988,Central Asia,,3.708099244,Non-native,5.5,2,NA,https://en.wikipedia.org/wiki/Heracleum_mantegazzianum,,3.75
89,89,Heracleum sphondylium,Heracleum sphondylium,TRUE,Catalogue of Life,0.988,Europe and Asia,,1.013400116,Native,1.2,0.5,NA,https://en.wikipedia.org/wiki/Heracleum_sphondylium,,0.85
90,90,Hesperostipa comata,Hesperostipa comata,TRUE,NCBI,0.988,North America,,NA,,NA,NA,1,https://en.wikipedia.org/wiki/Hesperostipa_comata,,1
91,91,Heteropogon contortus,Heteropogon contortus,TRUE,NCBI,0.988,"Southern Africa, southern Asia, Oceania",,NA,,NA,NA,1.5,https://en.wikipedia.org/wiki/Heteropogon_contortus,,1.5
