SiteID,Latitude,Longitude
Ehrenfeld et al (2001)b,41.0005,-75.090315
Ehrenfeld et al (2001)b,41.0005,-75.090315
Ehrenfeld et al (2001)b,41.0005,-75.090315
Ehrenfeld et al (2001)b,41.0005,-75.090315
Ehrenfeld et al (2001)b,41.0005,-75.090315
Ehrenfeld et al (2001)b,41.0005,-75.090315
Ehrenfeld et al (2001)c,40.958382,-74.746874
Ehrenfeld et al (2001)c,40.958382,-74.746874
Ehrenfeld et al (2001)c,40.958382,-74.746874
Ehrenfeld et al (2001)c,40.958382,-74.746874
Ehrenfeld et al (2001)c,40.958382,-74.746874
Ehrenfeld et al (2001)c,40.958382,-74.746874
Ehrenfeld et al (2001)c,40.958382,-74.746874
Ehrenfeld et al (2001)c,40.958382,-74.746874
Hart et al (2005)a,31.694579,-103.62442
Musil et al (1993),-33.513919,18.549385
Musil et al (1993),-33.513919,18.549385
Vanderhoeven et al (2005)f,50.799751,4.414616
Vanderhoeven et al (2005)f,50.799751,4.414616
Vanderhoeven et al (2005)f,50.799751,4.414616
Vanderhoeven et al (2005)g,50.870477,4.314837
Vanderhoeven et al (2005)g,50.870477,4.314837
Vanderhoeven et al (2005)g,50.870477,4.314837
Vanderhoeven et al (2005)g,50.870477,4.314837
Vanderhoeven et al (2005)h,50.799751,4.414616
Vanderhoeven et al (2005)h,50.799751,4.414616
Vanderhoeven et al (2005)h,50.799751,4.414616
Vanderhoeven et al (2005)h,50.799751,4.414616
Truscott et al (2008)a,57.13333333,-2.633333333
Truscott et al (2008)a,57.13333333,-2.633333333
Truscott et al (2008)a,57.13333333,-2.633333333
Truscott et al (2008)a,57.13333333,-2.633333333
Truscott et al (2008)b,57.13333333,-2.633333333
Truscott et al (2008)b,57.13333333,-2.633333333
Truscott et al (2008)b,57.13333333,-2.633333333
Truscott et al (2008)b,57.13333333,-2.633333333
Thorpe et al (2006)a,47.204642,-113.148193
Thorpe et al (2006)a,47.204642,-113.148193
Thorpe et al (2006)b,47.328585,-114.218159
Thorpe et al (2006)b,47.328585,-114.218159
Thorpe et al (2006)c,48.140432,-112.918854
Thorpe et al (2006)c,48.140432,-112.918854
Yelenik et al (2007)a,-33.497101,18.589897
Yelenik et al (2007)a,-33.497101,18.589897
Yelenik et al (2007)a,-33.497101,18.589897
Yelenik et al (2007)a,-33.497101,18.589897
Yelenik et al (2007)a,-33.497101,18.589897
Yelenik et al (2007)b,-33.497101,18.589897
Yelenik et al (2007)b,-33.497101,18.589897
Yelenik et al (2007)b,-33.497101,18.589897
Yelenik et al (2007)b,-33.497101,18.589897
Yelenik et al (2007)b,-33.497101,18.589897
Suding et al (2004)a,40.01388889,-105.2055556
Suding et al (2004)a,40.01388889,-105.2055556
Suding et al (2004)a,40.01388889,-105.2055556
Suding et al (2004)a,40.01388889,-105.2055556
Suding et al (2004)a,40.01388889,-105.2055556
Stock et al (1995)a,-33.51666667,18.53333333
Stock et al (1995)a,-33.51666667,18.53333333
Stock et al (1995)a,-33.51666667,18.53333333
Stock et al (1995)a,-33.51666667,18.53333333
Stock et al (1995)a,-33.51666667,18.53333333
Stock et al (1995)a,-33.51666667,18.53333333
Stock et al (1995)a,-33.51666667,18.53333333
Stock et al (1995)b,-33.75,18.45
Stock et al (1995)b,-33.75,18.45
Stock et al (1995)b,-33.75,18.45
Stock et al (1995)b,-33.75,18.45
Stock et al (1995)b,-33.75,18.45
Stock et al (1995)b,-33.75,18.45
Stock et al (1995)b,-33.75,18.45
Sperry et al (2006)a,38.333847,-109.877357
Sperry et al (2006)a,38.333847,-109.877357
Sperry et al (2006)a,38.333847,-109.877357
Sperry et al (2006)a,38.333847,-109.877357
Sperry et al (2006)a,38.333847,-109.877357
Sperry et al (2006)a,38.333847,-109.877357
Sperry et al (2006)a,38.333847,-109.877357
Sperry et al (2006)b,38.333847,-109.877357
Sperry et al (2006)b,38.333847,-109.877357
Sperry et al (2006)b,38.333847,-109.877357
Sperry et al (2006)b,38.333847,-109.877357
Sperry et al (2006)b,38.333847,-109.877357
Sperry et al (2006)b,38.333847,-109.877357
Sperry et al (2006)b,38.333847,-109.877357
Standish et al (2004)a,-40.8,175.19
Standish et al (2004)b,-40.1,175.46
Rodgers et al (2008)a,41.982718,-73.422661
Rodgers et al (2008)a,41.982718,-73.422661
Rodgers et al (2008)a,41.982718,-73.422661
Rodgers et al (2008)a,41.982718,-73.422661
Rodgers et al (2008)b,42.333423,-71.208229
Rodgers et al (2008)b,42.333423,-71.208229
Rodgers et al (2008)b,42.333423,-71.208229
Rodgers et al (2008)b,42.333423,-71.208229
Rodgers et al (2008)c,41.954958,-73.364811
Rodgers et al (2008)c,41.954958,-73.364811
Rodgers et al (2008)c,41.954958,-73.364811
Rodgers et al (2008)c,41.954958,-73.364811
Rodgers et al (2008)d,41.981442,-73.194695
Rodgers et al (2008)d,41.981442,-73.194695
Rodgers et al (2008)d,41.981442,-73.194695
Rodgers et al (2008)d,41.981442,-73.194695
Rodgers et al (2008)e,41.960511,-73.308163
Rodgers et al (2008)e,41.960511,-73.308163
Rodgers et al (2008)e,41.960511,-73.308163
Rodgers et al (2008)e,41.960511,-73.308163
Scott et al (2001)a,-44.649116,170.403442
Scott et al (2001)a,-44.649116,170.403442
Scott et al (2001)a,-44.649116,170.403442
Scott et al (2001)a,-44.649116,170.403442
Scott et al (2001)a,-44.649116,170.403442
Scott et al (2001)a,-44.649116,170.403442
Scott et al (2001)a,-44.649116,170.403442
Aguilera et al (2009)a,42.350045,-72.523112
Aguilera et al (2009)b,42.320954,-72.590103
Aguilera et al (2009)c,42.291723,-72.617741
Bills et al (2011)a,39.279773,-86.573124
Bills et al (2011)a,39.279773,-86.573124
Chacon et al (2009)a,10.12,-69.7
Chacon et al (2009)a,10.12,-69.7
Chacon et al (2009)a,10.12,-69.7
Chacon et al (2009)a,10.12,-69.7
Chacon et al (2009)a,10.12,-69.7
Chacon et al (2009)b,10.12,-69.7
Chacon et al (2009)b,10.12,-69.7
Chacon et al (2009)b,10.12,-69.7
Chacon et al (2009)b,10.12,-69.7
Chacon et al (2009)b,10.12,-69.7
Chacon et al (2009)b,10.12,-69.7
Chacon et al (2009)b,10.12,-69.7
Cheng et al (2009)a,31.15,122
Cheng et al (2009)a,31.15,122
Cheng et al (2007)a,31.15,122
Cheng et al (2007)a,31.15,122
Cheng et al (2007)a,31.15,122
Cheng et al (2007)a,31.15,122
Cheng et al (2007)a,31.15,122
Cheng et al (2007)a,31.15,122
Cheng et al (2007)a,31.15,122
Christian et al (1999)a,49.36666667,-107.8833333
Christian et al (1999)a,49.36666667,-107.8833333
Christian et al (1999)a,49.36666667,-107.8833333
Christian et al (1999)a,49.36666667,-107.8833333
Christian et al (1999)a,49.36666667,-107.8833333
Christian et al (1999)a,49.36666667,-107.8833333
Christian et al (1999)a,49.36666667,-107.8833333
Christian et al (1999)a,49.36666667,-107.8833333
Enloe et al (2004)a,41.726759,-122.500885
Ewe et al (2002)a,25.408392,-80.686169
Ewe et al (2002)b,25.453815,-80.667801
Fan et al (2010)a,23.66631667,113.1498667
Fan et al (2010)a,23.66631667,113.1498667
Fan et al (2010)a,23.66631667,113.1498667
Fan et al (2010)a,23.66631667,113.1498667
Drenovsky et al 2007a,38.925229,-122.412415
Drenovsky et al 2007a,38.925229,-122.412415
Drenovsky et al 2007a,38.925229,-122.412415
Drenovsky et al 2007a,38.925229,-122.412415
Drenovsky et al 2007a,38.925229,-122.412415
Drenovsky et al 2007a,38.925229,-122.412415
Drenovsky et al 2007a,38.925229,-122.412415
Domenech et al 2006a,42.22302,3.085184
Domenech et al 2006a,42.22302,3.085184
Domenech et al 2006b,42.22302,3.085184
Domenech et al 2006b,42.22302,3.085184
Domenech et al 2006c,42.22302,3.085184
Domenech et al 2006c,42.22302,3.085184
Domenech et al 2006d,42.22302,3.085184
Domenech et al 2006d,42.22302,3.085184
Chen et al 2009a,23.16666667,112.1666667
Chen et al 2009a,23.16666667,112.1666667
Chen et al 2009a,23.16666667,112.1666667
Chen et al 2009a,23.16666667,112.1666667
Chen et al 2009a,23.16666667,112.1666667
Chen et al 2009a,23.16666667,112.1666667
Chen et al 2009a,23.16666667,112.1666667
Chen et al 2009a,23.16666667,112.1666667
Chen et al 2009a,23.16666667,112.1666667
Chen et al 2009a,23.16666667,112.1666667
Chen et al 2009a,23.16666667,112.1666667
Chapuis-Lardy et al 2006a,50.85,4.416667
Chapuis-Lardy et al 2006a,50.85,4.416667
Chapuis-Lardy et al 2006a,50.85,4.416667
Chapuis-Lardy et al 2006a,50.85,4.416667
Chapuis-Lardy et al 2006a,50.85,4.416667
Chapuis-Lardy et al 2006b,50.865778,4.469376
Chapuis-Lardy et al 2006b,50.865778,4.469376
Chapuis-Lardy et al 2006b,50.865778,4.469376
Chapuis-Lardy et al 2006b,50.865778,4.469376
Chapuis-Lardy et al 2006b,50.865778,4.469376
Chapuis-Lardy et al 2006c,50.453569,3.819122
Chapuis-Lardy et al 2006c,50.453569,3.819122
Chapuis-Lardy et al 2006c,50.453569,3.819122
Chapuis-Lardy et al 2006c,50.453569,3.819122
Chapuis-Lardy et al 2006c,50.453569,3.819122
Dassonville et al 2007a,50.79194444,4.408333333
Dassonville et al 2007a,50.79194444,4.408333333
Dassonville et al 2007a,50.79194444,4.408333333
Dassonville et al 2007b,50.78611111,4.4175
Dassonville et al 2007b,50.78611111,4.4175
Dassonville et al 2007b,50.78611111,4.4175
Dassonville et al 2007b,50.78611111,4.4175
Dassonville et al 2007b,50.78611111,4.4175
Dassonville et al 2007c,50.57222222,4.711666667
Dassonville et al 2007c,50.57222222,4.711666667
Dassonville et al 2007c,50.57222222,4.711666667
Dassonville et al 2007c,50.57222222,4.711666667
Dassonville et al 2007c,50.57222222,4.711666667
Dassonville et al 2007d,50.38694444,4.441666667
Dassonville et al 2007d,50.38694444,4.441666667
Dassonville et al 2007d,50.38694444,4.441666667
Dassonville et al 2007d,50.38694444,4.441666667
Dassonville et al 2007d,50.38694444,4.441666667
Dassonville et al 2007e,50.78638889,4.420833333
Dassonville et al 2007e,50.78638889,4.420833333
Dassonville et al 2007e,50.78638889,4.420833333
Dassonville et al 2007e,50.78638889,4.420833333
Dassonville et al 2007f,50.45833333,3.840277778
Dassonville et al 2007f,50.45833333,3.840277778
Dassonville et al 2007f,50.45833333,3.840277778
Dassonville et al 2007f,50.45833333,3.840277778
Dassonville et al 2007f,50.45833333,3.840277778
Blank et al 2008a,40.13633333,-120.0731667
Belnap et al (2005)a,38.24878,-109.873495
Belnap et al (2005)a,38.24878,-109.873495
Belnap et al (2005)a,38.24878,-109.873495
Belnap et al (2005)a,38.24878,-109.873495
Belnap et al (2005)a,38.24878,-109.873495
Belnap et al (2005)a,38.24878,-109.873495
Belnap et al (2005)a,38.24878,-109.873495
Belnap et al (2005)a,38.24878,-109.873495
Belnap et al (2005)a,38.24878,-109.873495
Ellis et al 1998a,33.79213,-106.871309
Ellis et al 1998a,33.79213,-106.871309
Fickbohm et al 2006a,43,-76.75
Fickbohm et al 2006a,43,-76.75
Fickbohm et al 2006a,43,-76.75
Fickbohm et al 2006a,43,-76.75
Fickbohm et al 2006a,43,-76.75
Fisher et al 2006a,-31.947447,115.781136
Fisher et al 2006a,-31.947447,115.781136
Fisher et al 2006a,-31.947447,115.781136
Fisher et al 2006a,-31.947447,115.781136
Fisher et al 2006a,-31.947447,115.781136
Allison et al 2006a,19.44805556,-154.8611111
Allison et al 2006a,19.44805556,-154.8611111
Allison et al 2006a,19.44805556,-154.8611111
Allison et al 2006b,19.41972222,-154.9538889
Allison et al 2006b,19.41972222,-154.9538889
Allison et al 2006b,19.41972222,-154.9538889
Allison et al 2006b,19.41972222,-154.9538889
Allison et al 2006c,19.41972222,-154.9538889
Allison et al 2006c,19.41972222,-154.9538889
Allison et al 2006c,19.41972222,-154.9538889
Angeloni et al 2006a,45.663007,-84.423323
Angeloni et al 2006a,45.663007,-84.423323
Angeloni et al 2006a,45.663007,-84.423323
Angeloni et al 2006a,45.663007,-84.423323
Angeloni et al 2006a,45.663007,-84.423323
Angeloni et al 2006a,45.663007,-84.423323
Baer et al 2006a,37.69027778,-89.25388889
Baer et al 2006a,37.69027778,-89.25388889
Baer et al 2006a,37.69027778,-89.25388889
Baer et al 2006a,37.69027778,-89.25388889
Baer et al 2006a,37.69027778,-89.25388889
Baer et al 2006a,37.69027778,-89.25388889
Baer et al 2006a,37.69027778,-89.25388889
Baer et al 2006a,37.69027778,-89.25388889
Baer et al 2006a,37.69027778,-89.25388889
Baer et al 2006a,37.69027778,-89.25388889
Baer et al 2006a,37.69027778,-89.25388889
Busch et al 1995a,34.83333333,-114.5833333
Busch et al 1995a,34.83333333,-114.5833333
Busch et al 1995a,34.83333333,-114.5833333
Busch et al 1995a,34.83333333,-114.5833333
Busch et al 1995a,34.83333333,-114.5833333
Busch et al 1995a,34.83333333,-114.5833333
Busch et al 1995a,34.83333333,-114.5833333
Busch et al 1995a,34.83333333,-114.5833333
Busch et al 1995a,34.83333333,-114.5833333
Busch et al 1995a,34.83333333,-114.5833333
Bradley et al 2006b,41,-117.58
Bradley et al 2006b,41,-117.58
Bradley et al 2006c,40.99,-117.86
Bradley et al 2006c,40.99,-117.86
Caldwell 2006a,39.33536,-123.800812
Caldwell 2006a,39.33536,-123.800812
Caldwell 2006a,39.33536,-123.800812
Caldwell 2006a,39.33536,-123.800812
Caldwell 2006a,39.33536,-123.800812
Caldwell 2006a,39.33536,-123.800812
Caldwell 2006a,39.33536,-123.800812
Caldwell 2006a,39.33536,-123.800812
Castro Diez et al 2009a,40.56666667,-3.2
Castro Diez et al 2009a,40.56666667,-3.2
Castro Diez et al 2009a,40.56666667,-3.2
Castro Diez et al 2009a,40.56666667,-3.2
Castro Diez et al 2009a,40.56666667,-3.2
Castro Diez et al 2009a,40.56666667,-3.2
Castro Diez et al 2009a,40.56666667,-3.2
Castro Diez et al 2009a,40.56666667,-3.2
Castro Diez et al 2009a,40.56666667,-3.2
Castro Diez et al 2009a,40.56666667,-3.2
Castro Diez et al 2009a,40.56666667,-3.2
Castro Diez et al 2009a,40.56666667,-3.2
Castro Diez et al 2009a,40.56666667,-3.2
Castro Diez et al 2009a,40.56666667,-3.2
Castro Diez et al 2009a,40.56666667,-3.2
Castro Diez et al 2009a,40.56666667,-3.2
Castro Diez et al 2009a,40.56666667,-3.2
Castro Diez et al 2009a,40.56666667,-3.2
Castro Diez et al 2009a,40.56666667,-3.2
Castro Diez et al 2009a,40.56666667,-3.2
Casto Diez et al 2009b,40.56666667,-3.2
Casto Diez et al 2009b,40.56666667,-3.2
Casto Diez et al 2009b,40.56666667,-3.2
Casto Diez et al 2009b,40.56666667,-3.2
Casto Diez et al 2009b,40.56666667,-3.2
Casto Diez et al 2009b,40.56666667,-3.2
Casto Diez et al 2009b,40.56666667,-3.2
Casto Diez et al 2009b,40.56666667,-3.2
Casto Diez et al 2009b,40.56666667,-3.2
Casto Diez et al 2009b,40.56666667,-3.2
Casto Diez et al 2009b,40.56666667,-3.2
Casto Diez et al 2009b,40.56666667,-3.2
Casto Diez et al 2009b,40.56666667,-3.2
