"","submitted_name","matched_name","data_source_title","score"
"137","Poa cita","Poa cita","NCBI",0.988
"138","Poa pratensis","Poa pratensis","NCBI",0.988
"139","Poplus alba","Populus alba","Catalogue of Life",0.75
"140","Populus deltoides","Populus deltoides","Catalogue of Life",0.988
"141","Populus","Populus","Catalogue of Life",0.75
"142","Propsopis juliflora","Propsopis juliflora","EOL",0.988
"143","Prosopis cineraria","Prosopis cineraria","NCBI",0.988
"144","Prosopis juliflora","Prosopis juliflora","NCBI",0.988
"145","Prunus serotina","Prunus serotina","NCBI",0.988
"146","Quercus alba","Quercus alba","NCBI",0.988
"147","Quercus ilex","Quercus ilex","NCBI",0.988
"148","Quercus robur","Quercus robur","Wikispecies",0.988
"149","Quercus rubra","Quercus rubra","NCBI",0.988
"150","Quercus","Quercus","Catalogue of Life",0.75
"151","Raphanus sativus","Raphanus sativus","NCBI",0.988
"152","Retama raetam","Retama raetam","NCBI",0.988
"153","Rhamnus cathartica","Rhamnus cathartica","NCBI",0.988
"154","Rhamnus davurica","Rhamnus davurica","NCBI",0.988
"155","Robinia pseudoacacia","Robinia pseudoacacia","NCBI",0.988
"156","Rubus","Rubus","Catalogue of Life",0.75
"157","Sagittaria latifolia","Sagittaria latifolia","NCBI",0.988
"158","Salix caprea","Salix caprea","NCBI",0.988
"159","Schinus terebinthifolius","Schinus terebinthifolius","Freebase",0.988
"160","Schizachyrium condensatum","Schizachyrium condensatum","EOL",0.988
"161","Schizachyrium scoparium","Schizachyrium scoparium","NCBI",0.988
"162","Scirpus mariqueter","Scirpus mariqueter","EOL",0.988
"163","Selaginella densa","Selaginella densa","NCBI",0.988
"164","Setaria plicata","Setaria plicata","NCBI",0.988
"165","Solidago canadensis","Solidago canadensis","NCBI",0.988
"166","Solidago gigantea","Solidago gigantea","NCBI",0.988
"167","Sorghum halepense","Sorghum halepense","NCBI",0.988
"168","Spartina alterniflor","Spartina alterniflora Loisel.","Catalogue of Life",0.75
"169","Spartina alterniflora","Spartina alterniflora","WoRMS",0.988
"170","Spartina anglica","Spartina anglica","Freebase",0.988
"171","Spartina patens","Spartina patens","Freebase",0.988
"172","Stapelia gigantea","Stapelia gigantea","NCBI",0.988
"173","Stipa","Stipa","Catalogue of Life",0.75
"174","Stylophorum diphyllum","Stylophorum diphyllum","NCBI",0.988
"175","Styphelia tameiameiae","Styphelia tameiameiae","NCBI",0.988
"176","Tamarix chinensis","Tamarix chinensis","NCBI",0.988
"177","Tamarix ramosissima","Tamarix ramosissima","NCBI",0.988
"178","Tamarix","Tamarix","NCBI",0.75
"179","Taxodium distichum","Taxodium distichum","NCBI",0.988
"180","Teline monspessulana","Teline monspessulana","EOL",0.988
"181","Themeda trianda","Themeda triandra Forssk.","Catalogue of Life",0.75
"182","Toxicodendron vernicifluu","Toxicodendron vernicifluum (Stokes) F.A. Barkley","Catalogue of Life",0.75
"183","Tradescantia fluminensis","Tradescantia fluminensis","NCBI",0.988
"184","Trientalis borealis","Trientalis borealis","Catalogue of Life",0.988
"185","Trifolium repens","Trifolium repens","NCBI",0.988
"186","Typha latifolia","Typha latifolia","NCBI",0.988
"187","Typha x glauca","Typha x glauca","NCBI",0.999
"188","Ulmus minor","Ulmus minor","Catalogue of Life",0.988
"189","Urtica dioica","Urtica dioica","Catalogue of Life",0.988
"190","Vaccinium","Vaccinium","Catalogue of Life",0.75
