EF_measure,Units.used.for.EF,EF_type,EF_UI,SE_UI,SS_UI,EF_I,SE_I,SS_I,Var,Dom_nat,Inv_sp,Study,SiteID,Year,Latitude,Longitude,Exp_obs,Ecosystem,Terr_aqu,Native_height,Inv_height,Native_woodiness,Inv_woodiness,Native_C3,Inv_C3,Temp,Precip,CWD
Total soil carbon,Percentage of soil carbon in soil (0-10cm depth),Soil carbon,9.36,0.530722778,6,8.51,0.493980431,6,,Calamagrostis epigejos,Solidago gigantea,Chapuis-Lardy et al 2006,Chapuis-Lardy et al 2006c,2006,50.453569,3.819122,Observational,Grassland,Terrestrial,1.3,2,0,0,1,1,100,774.5576262,-148.9174787
Total organic carbon,mg per gram of soil,Soil carbon,15.1708,2.676,3,20.9529,0.4807,3,SD,Kandelia obovata,Spartina alterniflor,Chen et al. (2015),Chen et al. (2015)a,2015,24.38333333,117.9,Observational,Coastal marsh,Aquatic,3,1.35,1,0,NA,0,213.2,1264.319999,-215.2133284
Total organic carbon,mg per gram of soil,Soil carbon,13.4682,2.1955,3,20.9529,0.4807,3,SD,Cyperus malaccensis,Spartina alterniflor,Chen et al. (2015),Chen et al. (2015)b,2015,24.38333333,117.9,Observational,Coastal marsh,Aquatic,1,1.35,0,0,0,0,213.2,1264.319999,-215.2133284
Soil carbon content,,Soil carbon,3.453883333,0.313166478,6,4.948516667,0.34459668,6,,Scirpus mariqueter,Spartina alterniflora,Cheng et al (2010),Cheng et al (2009)a,2010,31.15,122,Observational,Freshwater wetland,Aquatic,1.65,1.35,0,0,NA,0,159.55,1002.75,NA
Total soil carbon,,Soil carbon,2.1788,0.1911,5,1.5777,0.1367,5,,Bouteloua gracialis,Agropyron cristatum,Christian et al (1999),Christian et al (1999)a,1999,49.36666667,-107.8833333,Observational,Grassland,Terrestrial,0.225,0.4,0,0,0,1,37.42000009,341.4999987,-655.1550057
Soil organic matter,%,Soil carbon,7.1,1,10,5.9,0.4,10,SD,Trifolium repens,Ailanthus altissima,Constan-Nava et al. 2015,Constan-Nava et al. 2015a,2015,38.67944444,0.521944444,Observational,Forest,Terrestrial,0.07,22,0,1,1,1,NA,NA,NA
Soil organic matter,,Soil carbon,2.72,0.04,4,3.12,0.02,4,,Paspulum conjugatum,Lantana camara,Fan et al (2010),Fan et al (2010)a,2010,23.66631667,113.1498667,Observational,Scrub,Terrestrial,0.3,2,0,1,0,1,214.3058783,1866.613435,-116.1983832
Soil organic carbon,miligrams of organic carbon per gram of soil (0-5cm depth),Soil carbon,9.45,0.35,20,9.22,0.39,20,,Banksia menziesii,Ehrharta calycina,Fisher et al 2006,Fisher et al 2006a,2006,-31.947447,115.781136,Observational,Forest,Terrestrial,10,0.5,1,0,1,1,185.628502,778.6784179,-1253.954651
Soil organic carbon,milligrams of organic carbon per gram of soil (0-5cm depth),Soil carbon,9.45,0.35,20,11.8,0.6,20,,Banksia menziesii,Pelargonium capitatum,Fisher et al 2006,Fisher et al 2006b,2006,-31.947556,115.78105,Observational,Forest,Terrestrial,10,1,1,0,1,NA,185.628364,778.6786235,-1253.964822
Soil carbon,,Soil carbon,7.13,0.23,24,5.05,0.31,24,,Festuca campestris,Centaurea stoebe,Fraser et al (2011),Fraser et al (2011)a,2011,50.75579,-120.465775,Observational,Grassland,Terrestrial,0.8,0.9,0,0,1,1,65.52981544,331.4807837,-540.7559305
Soil carbon,mg per kg of soil,Soil carbon,20427,3233,3,16333,5669,3,SD,Euclea racemosa,Pennisetum clandestinum,Gaertner et al. (2011),Gaertner et al. (2011)a,2011,-34.5483,19.46143611,Observational,Scrub,Terrestrial,6.9,0.15,1,0,1,0,159.480373,559.541678,-682.6595422
Soil carbon,mg per kg of soil,Soil carbon,29682.3,5380.6,3,42693.7,5220.1,3,,Ficinia sp.,Acacia saligna,Gaertner et al. (2011),Gaertner et al. (2011)b,2011,-34.5483,19.46143611,Observational,Scrub,Terrestrial,0.580407666,4,0,1,NA,1,159.480373,559.541678,-682.6595422
Soil organic matter,%,Soil carbon,58.3993,7.9752,3,77.8404,0.8723,3,SE,Typha x glauca,Carex stricta,Geddes et al. (2014),Geddes et al. (2014)a,2014,41.654373,-87.052651,Observational,Freshwater wetland,Aquatic,1.35,0.61,0,0,NA,1,97.668382,958.8744907,-217.5501406
Soil organic matter,%,Soil carbon,58.3993,7.9752,3,64.7565,9.5951,3,SE,Typha x glauca,Carex stricta,Geddes et al. (2014),Geddes et al. (2014)b,2014,41.654373,-87.052651,Observational,Freshwater wetland,Aquatic,1.35,0.61,0,0,NA,1,97.668382,958.8744907,-217.5501406
Soil organic matter,%,Soil carbon,58.3993,7.9752,3,88.6836,0.7465,3,SE,Typha x glauca,Carex stricta,Geddes et al. (2014),Geddes et al. (2014)c,2014,41.654373,-87.052651,Observational,Freshwater wetland,Aquatic,1.35,0.61,0,0,NA,1,97.668382,958.8744907,-217.5501406
Total soil carbon,grams of carbon per metre squared of soil (0-10cm depth),Soil carbon,9117.5,417.09872,18,9339.7,540.7245556,18,,Festuca idahoensis,Cytisus scoparius,Haubensak et al 2004,Haubensak et al 2004a,2004,46.91666667,-123.2666667,Observational,Grassland,Terrestrial,0.7,2,0,1,1,1,97.20000046,1796.600034,-230.9458418
Soil organic matter,,Soil carbon,0.33,0.04,3,2.59,0.18,3,SE,Corema album,Acacia longifola,Hellmann et al. (2011),Hellmann et al. (2011)a,2011,38.25,-8.766666667,Observational,Coastal dune,Terrestrial,0.5,10,1,1,1,1,169,607.3999999,-792.725
Soil organic matter,,Soil carbon,762.624,64.407,8,761.6416,81.5493,8,SE,Hesperostipa comata,Agropyron cristatum,Henderson et al (2005),Henderson et al (2005)a,2005,50.34546,-109.995117,Observational,Grassland,Terrestrial,1,0.4,0,0,1,1,36.12407928,336.5171773,-632.7051042
Soil carbon,,Soil carbon,3.4485,1.2236,15,6.0545,0.5122,15,,Quercus alba,Rhamnus cathartica,Heneghan et al (2004),Heneghan et al (2004)a,2004,42.149755,-87.780998,Observational,Forest,Terrestrial,27,10,1,1,1,1,92.3583122,895.6601188,-234.174568
Soil carbon,,Soil carbon,0.3222,0.0598,3,0.6919,0.1972,3,,Quercus alba,Rhamnus cathartica,Heneghan et al (2006),Heneghan et al (2006)a,2006,42.143742,-88.042717,Observational,Forest,Terrestrial,27,10,1,1,1,1,88.281286,906.7628152,-218.4255292
Soil carbon,,Soil carbon,4.5438,0.72,3,8.8961,2.1598,3,,Quercus alba,Rhamnus cathartica,Heneghan et al (2006),Heneghan et al (2006)b,2006,41.81457,-88.055935,Observational,Forest,Terrestrial,27,10,1,1,1,1,94.23020797,929.1073362,-222.3460671
Soil carbon,,Soil carbon,13.0434,2.4657,3,14.018,2.0961,3,,Quercus alba,Rhamnus cathartica,Heneghan et al (2006),Heneghan et al (2006)c,2006,42.149755,-87.780998,Observational,Forest,Terrestrial,27,10,1,1,1,1,92.3583122,895.6601188,-234.174568
Soil carbon,Percentage soil carbon content (0-5cm depth),Soil carbon,1.9174,0.2762,6,2.0097,0.3225,6,,Pseudoroegneria spicata,Centaurea maculosa,Hook et al (2004),Hook et al (2004)a,2004,45.45833333,-110.6066667,Observational,Grassland,Terrestrial,0.8,0.91,0,0,1,1,41.13999988,521.3200061,-654.0683068
Soil carbon,Percentage soil carbon content (0-5cm depth),Soil carbon,3.3862,0.2302,6,2.8806,0.4143,6,,Pseudoroegneria spicata,Centaurea maculosa,Hook et al (2004),Hook et al (2004)b,2004,25.39833333,-110.7033333,Observational,Grassland,Terrestrial,0.8,0.91,0,0,1,1,NA,NA,NA
Soil carbon,Percentage soil carbon content (0-5cm depth),Soil carbon,10.3566,2.5766,6,9.6665,1.8409,6,,Pseudoroegneria spicata,Centaurea maculosa,Hook et al (2004),Hook et al (2004)c,2004,46.55,-111.7616667,Observational,Grassland,Terrestrial,0.8,0.91,0,0,1,1,58.0100006,355.1939948,-770.4920091
Soil carbon,Percentage soil carbon content (0-5cm depth),Soil carbon,4.7496,0.276,6,5.0721,0.276,6,,Pseudoroegneria spicata,Centaurea maculosa,Hook et al (2004),Hook et al (2004)d,2004,45.595,-111.09,Observational,Grassland,Terrestrial,0.8,0.91,0,0,1,1,45.3888,561.8076,-535.8938144
Soil carbon,Percentage soil carbon content (0-5cm depth),Soil carbon,3.9707,0.3221,6,3.8791,0.3221,6,,Pseudoroegneria spicata,Centaurea maculosa,Hook et al (2004),Hook et al (2004)e,2004,45.77833333,-111.26,Observational,Grassland,Terrestrial,0.8,0.91,0,0,1,1,62.28140009,393.5291999,-734.0070858
Soil carbon,Percentage soil carbon content (0-5cm depth),Soil carbon,3.4289,0.2759,6,3.3832,0.3681,6,,Pseudoroegneria spicata,Centaurea maculosa,Hook et al (2004),Hook et al (2004)f,2004,45.59833333,-111.195,Observational,Grassland,Terrestrial,0.8,0.91,0,0,1,1,49.88879973,525.8851027,-598.6954239
Soil carbon,Percentage soil carbon content (0-5cm depth),Soil carbon,7.7831,0.5982,6,6.8171,0.7363,6,,Pseudoroegneria spicata,Centaurea maculosa,Hook et al (2004),Hook et al (2004)g,2004,45.665,-110.6916667,Observational,Grassland,Terrestrial,0.8,0.91,0,0,1,1,41.92199522,572.9315352,-537.4452988
Soil carbon,Percentage soil carbon content (0-5cm depth),Soil carbon,3.9741,0.3221,6,3.7445,0.5523,6,,Pseudoroegneria spicata,Centaurea maculosa,Hook et al (2004),Hook et al (2004)h,2004,45.66,-110.665,Observational,Grassland,Terrestrial,0.8,0.91,0,0,1,1,45.7768,544.1886,-596.6749753
Soil carbon,Percentage soil carbon content (0-5cm depth),Soil carbon,4.1157,0.368,6,3.2417,0.368,6,,Pseudoroegneria spicata,Centaurea maculosa,Hook et al (2004),Hook et al (2004)i,2004,45.64333333,-110.9216667,Observational,Grassland,Terrestrial,0.8,0.91,0,0,1,1,31.36880369,647.8331741,-494.5296427
Total soil carbon,,Soil carbon,17.6,0.4,5,14.9,0.4,5,SD,Nassella pulchra,Brachypodium distachyon,Koteen et al. (2011),Koteen et al. (2011)a,2011,37.862,122.524,Observational,Grassland,Terrestrial,1,0.727321138,0,0,NA,1,NA,NA,NA
Total soil carbon,,Soil carbon,16.9,0.4,5,14.9,0.4,5,SD,Nassella pulchra,Brachypodium distachyon,Koteen et al. (2011),Koteen et al. (2011)a,2011,37.862,122.524,Observational,Grassland,Terrestrial,1,0.727321138,0,0,NA,1,NA,NA,NA
Total soil carbon,,Soil carbon,14.7,0.04,5,9.5,0.2,5,SE,Nassella pulchra,Brachypodium distachyon,Koteen et al. (2011),Koteen et al. (2011)b,2011,37.931,122.673,Observational,Grassland,Terrestrial,1,0.727321138,0,0,NA,1,NA,NA,NA
Total soil carbon,percentage soil carbon,Soil carbon,1.64,0.073484692,6,1.8,0.122474487,6,,Epilobium hirsutum,Solidago gigantea,Koutika et al (2007),Koutika et al (2007)a,2007,50.25936,6.06888,Observational,Grassland,Terrestrial,2,2,0,0,1,1,75.99388078,1038.562469,-28.41109501
Total soil carbon,percentage soil carbon,Soil carbon,1.91,0.081649658,6,2.45,0.130639453,6,,Agrostis stolonifera,Prunus serotina,Koutika et al (2007),Koutika et al (2007)d,2007,51.21992,4.39625,Observational,Grassland,Terrestrial,0.7,29,0,1,1,1,101.30298,778.647084,-156.3565078
Total soil carbon,percentage soil carbon,Soil carbon,15.92,1.959591794,6,10.78,0.845073961,6,,Glechoma hederacea,Heracleum mantegazzianum,Koutika et al (2007),Koutika et al (2007)h,2007,50.800919,4.414715,Observational,Forest,Terrestrial,0.275,3.75,0,0,1,1,99.94093929,811.8251828,-123.8754623
Total soil carbon,percentage soil carbon,Soil carbon,9.42,0.493980431,6,8.47,0.816496581,6,,Eupatorium cannabinum,Fallopia japonica,Koutika et al (2007),Koutika et al (2007)j,2007,51.05844,5.27176,Observational,Forest,Terrestrial,1.5,3.5,0,0,1,1,96.16816,810.8091982,-124.3126141
Soil carbon,milligrams of carbon per gram of dry soil,Soil carbon,528,165,10,532,56,10,,Metrosideros polymorpha,Myrica cerifera,Kurten et al (2008),Kurten et al (2008)a,2008,19.733421,-155.090389,Observational,Forest,Terrestrial,22.5,6,1,1,1,NA,216.8968937,4200.997822,NA
Total soil organic carbon,,Soil carbon,27.45,1.77,9,40.56,6.91,9,SE,Quercus ilex,Acacia dealbata,Lazzaro et al. (2014),Lazzaro et al. (2014)a,2014,42.811389,10.416355,Observational,Forest,Terrestrial,12.5,8.5,1,1,1,1,154.99813,605.4887173,-489.9035013
Total soil nitrogen,,Soil carbon,2.04,0.11,9,3.32,0.4,9,SE,Quercus ilex,Acacia dealbata,Lazzaro et al. (2014),Lazzaro et al. (2014)a,2014,42.811389,10.416355,Observational,Forest,Terrestrial,12.5,8.5,1,1,1,1,154.99813,605.4887173,-489.9035013
Soil carbon,milligrams per gram of soil,Soil carbon,0.4489,0.0465,5,0.4236,0.0327,5,SE,Selaginella densa,Agropyron cristatum,MacDougall and Wilson (2011),MacDougall and Wilson (2011)a,2011,49.36666667,107.8833333,Observational,Grassland,Terrestrial,0.04,0.4,0,0,1,1,-40.29999996,392.5799985,-271.6991737
Soil organic matter,percentage organic matter,Soil carbon,2.5,0.349461831,7,2.166666667,0.089942839,7,SE,Taxodium distichum,Melaleuca quinquenervia,Martin et al 2009,Martin et al 2009a,2009,25.995081,-81.482849,Observational,Forest,Terrestrial,32.5,20,1,1,1,1,232.926608,1330.512694,-499.4267099
Soil carbon,milligrams per gram of soil,Soil carbon,16.3,1.263701197,7,11.4,0.679626053,7,SE,Taxodium distichum,Melaleuca quinquenervia,Martin et al 2009,Martin et al 2009a,2009,25.995081,-81.482849,Observational,Forest,Terrestrial,32.5,20,1,1,1,1,232.926608,1330.512694,-499.4267099
Soil carbon,%,Soil carbon,2.65,0.15,10,3.74,0.34,10,,Pascopyrum smithii,Bromus tectorum,Concilio et al. (2015),Concilio et al. (2015)a,2015,40.11666667,105.3,Observational,Grassland,Terrestrial,0.6,0.65,0,0,1,1,68.73999978,114.5800002,-966.84
Soil carbon,%,Soil carbon,3.87,0.21,3,4.01,0.16,3,,Carya laciniosa,Lonicera maackii,McEwan et al. (2012),McEwan et al. (2012)a,2012,38.015313,-84.505241,Observational,Forest,Terrestrial,36.9,6,1,1,1,1,126.0703632,1161.984624,-156.2691002
Soil carbon,%,Soil carbon,4.06,0.17,3,4.46,0.31,3,,Carya laciniosa,Lonicera maackii,McEwan et al. (2012),McEwan et al. (2012)b,2012,38.015313,-84.505241,Observational,Forest,Terrestrial,36.9,6,1,1,1,1,126.0703632,1161.984624,-156.2691002
Soil carbon,%,Soil carbon,7.76,0.46,3,7.68,0.48,3,,Carya laciniosa,Lonicera maackii,McEwan et al. (2012),McEwan et al. (2012)c,2012,38.015313,-84.505241,Observational,Forest,Terrestrial,36.9,6,1,1,1,1,126.0703632,1161.984624,-156.2691002
Soil organic matter,%,Soil carbon,0.9384,0.0739,3,0.8533,0.1404,3,,Fraxinus anustifola,Ailanthus altissima,Medina-Villar et al. (2015),Medina-Villar et al. (2015)a,2015,40.57530556,-3.229611111,Observational,Forest,Terrestrial,25,22,1,1,1,1,128.8699135,431.6785124,-737.9007168
Soil organic matter,%,Soil carbon,0.508,0.0591,4,2.1595,0.3694,3,,Poplus alba,Robinia pseudoacacia,Medina-Villar et al. (2015),Medina-Villar et al. (2015)b,2015,40.94677778,-2.937694444,Observational,Forest,Terrestrial,21.5,25,1,1,1,1,114.6018529,465.0190199,-656.7549402
Soil organic carbon,grams of carbon per kilogram,Soil carbon,43.1,2.01246118,5,62.7,3.443544685,5,SE,Setaria plicata,Ageratina adenophora,Niu et al (2007),Niu et al (2007)a,2007,24.70394444,102.8801667,Observational,Forest,Terrestrial,0.875,1.5,0,0,0,NA,153.1681564,1021.959463,-383.5805304
Soil organic matter,grams per kg of soil,Soil carbon,14.8191,0.9841,NA,10.1013,0.521,NA,,Retama raetam,Haloxylon persicum,Noumi (2015),Noumi (2015)a,2015,9.011666667,33.66555556,Observational,Desert,Terrestrial,3,4.75,1,1,1,1,276,806.5126669,-1114.611882
Soil organic carbon,grams per kg of soil,Soil carbon,22.08,0.66,NA,26.92,0.67,NA,,Cynodon dactylon,Ambrosia artemisiifolia,Qin et al. (2014),Qin et al. (2014)a,2014,24.8,113.6,Observational,Grassland,Terrestrial,0.155,1,0,0,0,1,207.02,1518.99,-162.1745781
Soil organic carbon,grams per kg of soil,Soil carbon,21.83,0.54,NA,22.65,0.74,NA,,Toxicodendron vernicifluu,Ambrosia artemisiifolia,Qin et al. (2014),Qin et al. (2014)b,2014,24.8,113.6,Observational,Grassland,Terrestrial,20,1,1,0,1,1,207.02,1518.99,-162.1745781
Soil carbon,percentage soil carbon,Soil carbon,3.63,0.21,10,3.36,0.091,10,SE,Andropogon gerardii,Andropogon bladhii,Reed et al (2005),Reed et al (2005)a,2005,39.098744,-96.606152,Observational,Grassland,Terrestrial,2,0.75,0,0,0,0,121.0317886,862.2570354,-414.1661735
Soil carbon,,Soil carbon,24.6,1.4,20,23.8,2.4,20,,Sagittaria latifolia,Phragmites australis,Rothman et al (2007),Rothman et al (2007)a,2007,41.61666667,-83.23333333,Observational,Freshwater wetland,Aquatic,1.2,2,0,0,1,1,98.79999998,845.26,-248.14
Total soil carbon,grams per kg of soil,Soil carbon,35.466,1.796,47,42.366,1.398,78,SE,Cynodon dactylon,Arundo donax,Sarkhot et al. (2012),Sarkhot et al. (2012)a,2012,28.9587,-100.645,Observational,Grassland,Terrestrial,0.155,6,0,0,0,1,214.177828,473.860488,-1210.283622
Soil carbon content,,Soil carbon,19.3405,1.6993,5,20.8492,1.6993,5,,Anthoxanthum odoratum,Pilosella officinarum,Scott et al (2001),Scott et al (2001)a,2001,-44.649116,170.403442,Observational,Grassland,Terrestrial,0.325,0.275,0,0,1,1,82.9784618,683.8290823,-293.2583498
Soil carbon content,,Soil carbon,40.605,3.5778,5,35.4948,3.5778,5,,Poa cita,Pilosella officinarum,Scott et al (2001),Scott et al (2001)a,2001,-44.649116,170.403442,Observational,Grassland,Terrestrial,0.7,0.275,0,0,1,1,82.9784618,683.8290823,-293.2583498
Soil organic content,,Soil carbon,0.193,0.041012193,18,0.288,0.056568542,18,,Prosopis cineraria,Prosopis juliflora,Sharma et al (1998),Sharma et al (1998)a,1998,27.5,76,Observational,Mixed,Terrestrial,4,12,1,1,1,1,246.25,559,-1187.562531
Total soil carbon,,Soil carbon,22.21,3.2,6,17.24,3.56,6,,Acer rubrum,Microstegium vimineum,Strickland et al (2010),Strickland et al (2010)a,2010,33.88783333,-88.6345,Observational,Forest,Terrestrial,15,0.7,1,0,1,0,166.173,1407.119889,-241.207448
Soil organic matter,%,Soil carbon,5.559,0.709,3,4.781,0.5798,3,SE,Quercus alba,Microstegium vimineum,"Tekiela and
 
Barney (2015)","Tekiela and 
Barney (2015)a",2015,37.281008,-80.475236,Observational,Forest,Terrestrial,27,0.7,1,0,1,0,109.4707505,988.0633469,-182.9042191
Soil organic matter content,%,Soil carbon,1.2402,0.1168,3,1.5322,0.1015,3,SE,Acrachne racemosa,Parthenium hysterophorus,"Timsina and 
Shrestha (2011)","Timsina and
 
Shrestha (2011)a",2011,28.125761,84.717856,Observational,Grassland,Terrestrial,0.45,0.6,0,0,1,1,175.2302143,1920.039591,-266.640277
Total organic carbon,grams per kg of soil,Soil carbon,22.062,2.004,3,19.3,1.176,3,SE,Phragmites australis,Spartina alterniflora,Tong et al. (2012),Tong et al. (2012)a,2012,26.01,119.57,Observational,Coastal marsh,Aquatic,2,1.35,0,0,1,0,193.6016,1378.0416,-122.8901304
Total organic carbon,grams per kg of soil,Soil carbon,19.714,0.702,3,19.3,1.176,3,,Cyperus malaccensis,Spartina alterniflora,Tong et al. (2012),Tong et al. (2012)a,2012,26.01,119.57,Observational,Coastal marsh,Aquatic,1,1.35,0,0,0,0,193.6016,1378.0416,-122.8901304
Soil carbon,percentage soil carbon,Soil carbon,2.30925,1.790407502,15,2.29875,1.385874751,15,,Urtica dioica,Mimulus guttatus,Truscott et al (2008),Truscott et al (2008)a,2008,57.13333333,-2.633333333,Experimental,River,Aquatic,1.5,0.45,0,0,1,1,72.80000003,802.6499995,-32.72832887
Soil carbon,percentage soil carbon,Soil carbon,1.74375,1.457135351,15,2.138,1.367445627,15,,Urtica dioica,Mimulus guttatus,Truscott et al (2008),Truscott et al (2008)b,2008,57.13333333,-2.633333333,Experimental,River,Aquatic,1.5,0.45,0,0,1,1,72.80000003,802.6499995,-32.72832887
Soil Organic matter,percentage soil organic matter,Soil carbon,3.7,0.491934955,20,5.15,0.424852916,20,SE,Pinus rigida,Robinia pseudoacacia,Von Holle et al (2006),Holle et al (2006)a,2006,41.935998,-70.044708,Observational,Forest,Terrestrial,18,25,1,1,1,1,95,1120.48147,-163.6608096
Soil organic matter,percentage organic matter,Soil carbon,83.65,3.630812581,9,79.11666667,3.708341948,9,SE,Spartina patens,Phragmites australis,Windham et al (2003),Windham et al (2003)a,2003,39.576619,-74.331007,Observational,Coastal marsh,Aquatic,0.45,2,0,0,0,1,119.1001527,1112.808357,-196.1563285
Soil organic matter content,percentage organic matter,Soil carbon,0.8,0.02,12,2.5,0.34,12,,Protea scolymocephela,Acacia saligna,Yelenik et al (2007),Yelenik et al (2007)a,2007,-33.497101,18.589897,Observational,Scrub,Terrestrial,1,4,1,1,1,1,168.107588,482.0449458,-1013.429184
Soil organic matter content,percentage organic matter,Soil carbon,1.4,0.28,12,1.1,0.29,12,,Cynodon dactylon,Lupinus luteus,Yelenik et al (2007),Yelenik et al (2007)b,2007,-33.497101,18.589897,Observational,Grassland,Terrestrial,0.155,1.5,0,0,0,1,168.107588,482.0449458,-1013.429184
Aboveground plant biomass,grams per metre squared,Aboveground biomass,290,12.34952226,3,354.8,33.42858059,3,,Eleocharis smallii,Typha x glauca,Angeloni et al 2006,Angeloni et al 2006a,2006,45.663007,-84.423323,Observational,Freshwater wetland,Aquatic,0.45,1.35,0,0,1,NA,59,764,-179.2916565
Aboveground biomass,grams of biomass per metre squared,Aboveground biomass,147.8012,24.7796,5,214.8749,22.9445,5,,Krascheninnikovia lanata,Bromus tectorum,Blank et al 2008,Blank et al 2008a,2008,40.13633333,-120.0731667,Observational,Scrub,Terrestrial,0.75,0.65,1,0,NA,1,95,333,-1065.583374
Aboveground carbon storage,grams of carbon per metre squared,Aboveground biomass,340,145,10,96,26,10,,Artemisia tridentata,Bromus tectorum,Bradley et al 2006,Bradley et al 2006b,2006,41,-117.58,Observational,Scrub,Terrestrial,1.75,0.65,1,0,1,1,73,282,-1224.625
Aboveground carbon storage,grams of carbon per metre squared,Aboveground biomass,670,290,10,22,2,10,,Artemisia tridentata,Bromus tectorum,Bradley et al 2006,Bradley et al 2006c,2006,40.99,-117.86,Observational,Scrub,Terrestrial,1.75,0.65,1,0,1,1,96,214,-1207.5
Aboveground carbon storage,grams of carbon per metre squared,Aboveground biomass,160,49,10,48,6,10,,Atriplex confertifolia,Bromus tectorum,Bradley et al 2006,Bradley et al 2006a,2006,40.57,-118.34,Observational,Scrub,Terrestrial,0.6,0.65,1,0,0,1,94,206,-1188.958374
