ID	Family	taxa	Trait	Data	DataType	Method	Source	Region2	Redundancy
C04775	Anacardiaceae	Pistacia lentiscus	RespFire	100	quantitative	measure	Gratani1991	C	NA
R00962	Anacardiaceae	Pistacia lentiscus	RespFire	yes	categorical	compilation	Cuco1987	W	31
R01268	Anacardiaceae	Pistacia lentiscus	RespFire	yes	categorical	compilation	Lloret2003	W	31-604
C04182	Anacardiaceae	Pistacia lentiscus	RespFire	yes	categorical	experience	Neeman1999b	M	NA
R00004	Anacardiaceae	Pistacia lentiscus	RespFire	73	quantitative	measure	LopezSoria1992	W	NA
C06668	Anacardiaceae	Pistacia lentiscus	RespFire	yes	categorical	compilation	Arianoutsou2000	E	174
C03158	Anacardiaceae	Pistacia lentiscus	RespFire	yes	categorical	measure	Cabezudo1995	W	NA
C03076	Anacardiaceae	Pistacia lentiscus	RespFire	yes	categorical	experience	GciaFayos1998	W	NA
P00152	Anacardiaceae	Pistacia lentiscus	RespFire	yes	categorical	measure	Ubeda2006	W	NA
R00128	Anacardiaceae	Pistacia lentiscus	RespFire	yes	categorical	measure	Clemente1996	W	NA
R01415	Anacardiaceae	Pistacia lentiscus	RespFire	yes	categorical	measure	Pausas2003	W	NA
R00430	Anacardiaceae	Pistacia lentiscus	RespFire	92.9	quantitative	measure	Ladd2005	C	NA
C04571	Anacardiaceae	Pistacia lentiscus	RespFire	yes	categorical	measure	Thanos1996	E	NA
R00436	Anacardiaceae	Pistacia lentiscus	RespFire	yes	categorical	compilation	Naveh1975	U	NA
E02130	Anacardiaceae	Pistacia lentiscus	RespFire	yes	categorical	experience	SBarcelona	W	604
R00557	Anacardiaceae	Pistacia lentiscus	RespFire	yes	categorical	compilation	Kazanis2004a	E	174
R01288	Anacardiaceae	Pistacia lentiscus	RespFire	yes	categorical	experience	Salvador1995	W	604
R00034	Anacardiaceae	Pistacia lentiscus	RespFire	yes	categorical	measure	Papio1988	W	31
P00151	Anacardiaceae	Pistacia lentiscus	RespFire	yes	categorical	compilation	Arianoutsou1998	E	NA
R01084	Anacardiaceae	Pistacia lentiscus	RespFire	yes	categorical	experience	Abad1996	W	NA
E02552	Anacardiaceae	Pistacia lentiscus	RespFire	high	semi-quantitative	compilation	Kazanis2005	E	174
C05127	Anacardiaceae	Pistacia lentiscus	RespFire	100	quantitative	measure	Catry2006	W	NA
R00221	Anacardiaceae	Pistacia lentiscus	RespFire	yes	categorical	experience	Trabaud1992	W	NA
C06828	Anacardiaceae	Pistacia lentiscus	RespFire	yes	categorical	compilation	Arianoutsou2000	M	NA
C06656	Anacardiaceae	Pistacia lentiscus	RespFire	100	quantitative	measure	Konstantinidis2002	E	NA
E05400	Anacardiaceae	Pistacia lentiscus	RespFire	yes	categorical	experience	Turkmen2005	M	NA
P00075	Anacardiaceae	Pistacia lentiscus	RespFire	100	quantitative	measure	Catry2010	W	NA
E00262	Anacardiaceae	Pistacia lentiscus	RespFire	yes	categorical	measure	Murcia	W	NA
R00892	Anacardiaceae	Pistacia lentiscus	RespFire	yes	categorical	measure	Thanos1989	E	NA
C04504	Anacardiaceae	Pistacia lentiscus	RespFire	yes	categorical	compilation	Andres2002	W	103
R01339	Anacardiaceae	Pistacia lentiscus	RespFire	yes	categorical	compilation	Ferran1998	W	NA
R01390	Anacardiaceae	Pistacia lentiscus	RespFire	yes	categorical	general reference	GciaFayos2001	W	NA
R00855	Anacardiaceae	Pistacia lentiscus	RespFire	yes	categorical	experience	Trabaud1997	W	NA
C02659	Anacardiaceae	Pistacia lentiscus	SeedBankLong	transient/veg	semi-quantitative conditional	measure	Buhk2005b	W	NA
C04186	Anacardiaceae	Pistacia lentiscus	SeedBankLong	transient/veg	semi-quantitative conditional	measure	Neeman1999b	M	NA
C01798	Anacardiaceae	Pistacia lentiscus	SeedBankLong	transient/veg	semi-quantitative conditional	measure	DiazVilla2003	W	NA
C04339	Anacardiaceae	Pistacia lentiscus	SeedBankLong	transient/veg	semi-quantitative conditional	measure	GciaFayos1998	W	NA
C08093	Anacardiaceae	Pistacia lentiscus	SeedBankLong	transient/bur	semi-quantitative conditional	measure	GciaFayos1998	W	NA
C02158	Anacardiaceae	Pistacia lentiscus	SeedBankLong	transient/unk	semi-quantitative conditional	compilation	Cerabolini2003	C	NA
E02553	Anacardiaceae	Pistacia lentiscus	SeedBankLong	transient/unk	semi-quantitative conditional	experience	Attica	E	NA
C01756	Anacardiaceae	Pistacia lentiscus	SeedBankLong	transient/veg	semi-quantitative conditional	measure	Trabaud1997	W	NA
R03658	Anacardiaceae	Pistacia lentiscus	SeedlEmerg	no	categorical	compilation	Cuco1987	W	56
R03262	Anacardiaceae	Pistacia lentiscus	SeedlEmerg	no	categorical	compilation	Kazanis2004a	E	347
E02132	Anacardiaceae	Pistacia lentiscus	SeedlEmerg	no	categorical	experience	SBarcelona	W	669
C06938	Anacardiaceae	Pistacia lentiscus	SeedlEmerg	no	categorical	compilation	Arianoutsou2000	M	NA
E02554	Anacardiaceae	Pistacia lentiscus	SeedlEmerg	no	semi-quantitative	compilation	Kazanis2005	E	347
R03952	Anacardiaceae	Pistacia lentiscus	SeedlEmerg	no	categorical	general reference	GciaFayos2001	W	NA
R03971	Anacardiaceae	Pistacia lentiscus	SeedlEmerg	no	categorical	compilation	Gallego2004	W	NA
R03783	Anacardiaceae	Pistacia lentiscus	SeedlEmerg	no	categorical	experience	Abad1996	W	NA
C04572	Anacardiaceae	Pistacia lentiscus	SeedlEmerg	no	categorical	measure	Thanos1996	E	NA
R03167	Anacardiaceae	Pistacia lentiscus	SeedlEmerg	no	categorical	compilation	Naveh1975	U	NA
R03161	Anacardiaceae	Pistacia lentiscus	SeedlEmerg	0	quantitative	measure	Ladd2005	C	NA
R02841	Anacardiaceae	Pistacia lentiscus	SeedlEmerg	no	categorical	measure	Papio1988	W	56
E02451	Anacardiaceae	Pistacia lentiscus	SeedlEmerg	no	categorical	experience	Gibraltar	W	NA
C06746	Anacardiaceae	Pistacia lentiscus	SeedlEmerg	no	categorical	compilation	Arianoutsou2000	E	347
E00263	Anacardiaceae	Pistacia lentiscus	SeedlEmerg	no	semi-quantitative	measure	Murcia	W	NA
R03560	Anacardiaceae	Pistacia lentiscus	SeedlEmerg	no	categorical	experience	Trabaud1997	W	NA
C03222	Anacardiaceae	Pistacia lentiscus	SeedlEmerg	no	categorical	measure	Cabezudo1995	W	NA
R02931	Anacardiaceae	Pistacia lentiscus	SeedlEmerg	no	categorical	measure	Clemente1996	W	NA
R03919	Anacardiaceae	Pistacia lentiscus	SeedlEmerg	no	categorical	experience	Salvador1995	W	669
R02989	Anacardiaceae	Pistacia lentiscus	SeedlEmerg	no	categorical	experience	Trabaud1992	W	NA
R03899	Anacardiaceae	Pistacia lentiscus	SeedlEmerg	no	categorical	compilation	Lloret2003	W	56-669
C01570	Anacardiaceae	Pistacia lentiscus	SeedMass	15.72	quantitative	measure	GciaFayos1997	W	NA
C01170	Anacardiaceae	Pistacia lentiscus	SeedMass	13.26	quantitative	measure	BLlavors2001	W	NA
C02008	Anacardiaceae	Pistacia lentiscus	SeedMass	19.3	quantitative	measure	Cerabolini2003	C	NA
C00415	Anacardiaceae	Pistacia lentiscus	SRR	1.17	quantitative	measure	Valencia	W	NA
R02801	Anacardiaceae	Pistacia terebinthus	BudSource	others	categorical	general reference	GciaFayos2001	W	NA
C03190	Anacardiaceae	Pistacia terebinthus	BudSource	others	categorical	measure	Cabezudo1995	W	NA
E03794	Anacardiaceae	Pistacia terebinthus	BudSource	root crown	categorical	experience	Attica	E	NA
C05512	Anacardiaceae	Pistacia terebinthus	DispMode	endozoochory	categorical	compilation	Trabaud1992	U	NA
C01510	Anacardiaceae	Pistacia terebinthus	DispMode	endozoochory	categorical	general reference	GciaFayos2001	W	NA
E03796	Anacardiaceae	Pistacia terebinthus	DispMode	endozoochory	categorical	compilation	Kazanis2005	E	NA
C05320	Anacardiaceae	Pistacia terebinthus	DispMode	zoochory	categorical	compilation	Kazanis2004a	E	NA
C01369	Anacardiaceae	Pistacia terebinthus	FruitType	fleshy	categorical	experience	Valencia	W	NA
E03797	Anacardiaceae	Pistacia terebinthus	FruitType	fleshy	categorical	general reference	Tutin1964	U	NA
C00281	Anacardiaceae	Pistacia terebinthus	Height	5	quantitative	general reference	Mateo1990	W	NA
E03798	Anacardiaceae	Pistacia terebinthus	LeafPhenology	evergreen	categorical	experience	Attica	E	NA
C00587	Anacardiaceae	Pistacia terebinthus	LeafPhenology	winter deciduous	categorical	experience	Valencia	W	NA
C00829	Anacardiaceae	Pistacia terebinthus	LeafShape	broad	categorical	experience	Valencia	W	NA
C00924	Anacardiaceae	Pistacia terebinthus	LeafSize	very large	semi-quantitative	experience	Valencia	W	NA
C01460	Anacardiaceae	Pistacia terebinthus	Propagule	fruit	categorical	general reference	GciaFayos2001	W	NA
E03801	Anacardiaceae	Pistacia terebinthus	Propagule	fruit	categorical	experience	Attica	E	NA
R01393	Anacardiaceae	Pistacia terebinthus	RespClip	yes	categorical	general reference	GciaFayos2001	W	NA
E03802	Anacardiaceae	Pistacia terebinthus	RespFire	high	semi-quantitative	compilation	Kazanis2005	E	175
C03159	Anacardiaceae	Pistacia terebinthus	RespFire	yes	categorical	measure	Cabezudo1995	W	NA
P00150	Anacardiaceae	Pistacia terebinthus	RespFire	yes	categorical	compilation	Arianoutsou1998	E	NA
R00558	Anacardiaceae	Pistacia terebinthus	RespFire	yes	categorical	compilation	Kazanis2004a	E	175
R01392	Anacardiaceae	Pistacia terebinthus	RespFire	yes	categorical	general reference	GciaFayos2001	W	NA
R00437	Anacardiaceae	Pistacia terebinthus	RespFire	yes	categorical	compilation	Naveh1975	U	NA
C04573	Anacardiaceae	Pistacia terebinthus	RespFire	yes	categorical	measure	Thanos1996	E	NA
R00230	Anacardiaceae	Pistacia terebinthus	RespFire	yes	categorical	experience	Trabaud1992	W	NA
R00895	Anacardiaceae	Pistacia terebinthus	RespFire	yes	categorical	measure	Thanos1989	E	NA
R00011	Anacardiaceae	Pistacia terebinthus	RespFire	yes	categorical	experience	LopezSoria1992	W	NA
C00989	Anacardiaceae	Pistacia terebinthus	SeedBankLong	transient/dor	semi-quantitative conditional	compilation	GciaFayos2001	W	NA
C02660	Anacardiaceae	Pistacia terebinthus	SeedBankLong	transient/veg	semi-quantitative conditional	measure	Buhk2005b	W	NA
E03803	Anacardiaceae	Pistacia terebinthus	SeedBankLong	transient/unk	semi-quantitative conditional	experience	Attica	E	NA
C03223	Anacardiaceae	Pistacia terebinthus	SeedlEmerg	no	categorical	measure	Cabezudo1995	W	NA
R02998	Anacardiaceae	Pistacia terebinthus	SeedlEmerg	no	categorical	experience	Trabaud1992	W	NA
R03263	Anacardiaceae	Pistacia terebinthus	SeedlEmerg	no	categorical	compilation	Kazanis2004a	E	348
R03168	Anacardiaceae	Pistacia terebinthus	SeedlEmerg	no	categorical	compilation	Naveh1975	U	NA
E03804	Anacardiaceae	Pistacia terebinthus	SeedlEmerg	no	semi-quantitative	compilation	Kazanis2005	E	348
R03953	Anacardiaceae	Pistacia terebinthus	SeedlEmerg	no	categorical	general reference	GciaFayos2001	W	NA
C04574	Anacardiaceae	Pistacia terebinthus	SeedlEmerg	no	categorical	measure	Thanos1996	E	NA
C01215	Anacardiaceae	Pistacia terebinthus	SeedMass	38.21	quantitative	measure	BLlavors2001	W	NA
C06823	Anacardiaceae	Pistacia terebinthus ssp. palaestina	RespFire	yes	categorical	compilation	Arianoutsou2000	M	NA
E05401	Anacardiaceae	Pistacia terebinthus ssp. palaestina	RespFire	high	semi-quantitative	experience	Marmaris	M	NA
C04181	Anacardiaceae	Pistacia terebinthus ssp. palaestina	RespFire	yes	categorical	experience	Neeman1999b	M	NA
R00438	Anacardiaceae	Pistacia terebinthus ssp. palaestina	RespFire	yes	categorical	compilation	Naveh1975	U	NA
E05403	Anacardiaceae	Pistacia terebinthus ssp. palaestina	RespFire	yes	categorical	experience	Turkmen2005	M	NA
C04185	Anacardiaceae	Pistacia terebinthus ssp. palaestina	SeedBankLong	transient/veg	semi-quantitative conditional	measure	Neeman1999b	M	NA
C06933	Anacardiaceae	Pistacia terebinthus ssp. palaestina	SeedlEmerg	no	categorical	compilation	Arianoutsou2000	M	NA
R03169	Anacardiaceae	Pistacia terebinthus ssp. palaestina	SeedlEmerg	no	categorical	compilation	Naveh1975	U	NA
C04202	Anacardiaceae	Rhus coriaria	DispMode	endozoochory	categorical	experience	Izhaki1992	M	NA
C04200	Anacardiaceae	Rhus coriaria	FruitType	fleshy	categorical	experience	Izhaki1992	M	NA
S00152	Anacardiaceae	Rhus coriaria	HeatStimGerm	high/__H	semi-quantitative conditional	measure	Neeman1999a	M	NA
S00557	Anacardiaceae	Rhus coriaria	OtherCues	stimulation/ash	semi-quantitative conditional	measure	Neeman1999a	M	NA
S00556	Anacardiaceae	Rhus coriaria	OtherCues	unaffected/NC4	semi-quantitative conditional	measure	Neeman1999a	M	NA
S00555	Anacardiaceae	Rhus coriaria	OtherCues	unaffected/NC1	semi-quantitative conditional	measure	Neeman1999a	M	NA
S00278	Anacardiaceae	Rhus coriaria	OtherCues	stimulation/blw	semi-quantitative conditional	measure	Doussi1994	E-M	NA
C04201	Anacardiaceae	Rhus coriaria	Propagule	fruit	categorical	experience	Izhaki1992	M	NA
C06666	Anacardiaceae	Rhus coriaria	RespFire	yes	categorical	compilation	Arianoutsou2000	E	NA
C06826	Anacardiaceae	Rhus coriaria	RespFire	yes	categorical	compilation	Arianoutsou2000	M	NA
C04195	Anacardiaceae	Rhus coriaria	RespFire	yes	categorical	measure	Izhaki1992	M	NA
C06936	Anacardiaceae	Rhus coriaria	SeedlEmerg	yes	categorical	compilation	Arianoutsou2000	M	NA
C06744	Anacardiaceae	Rhus coriaria	SeedlEmerg	yes	categorical	compilation	Arianoutsou2000	E	NA
C04194	Anacardiaceae	Rhus coriaria	SeedlEmerg	yes	categorical	compilation	Neeman1997	M	NA
C04196	Anacardiaceae	Rhus coriaria	SeedlEmerg	yes	categorical	measure	Izhaki1992	M	NA
C03519	Anacardiaceae	Rhus coriaria	SeedMass	12.9	quantitative	measure	Doussi1994	E-M	NA
E05404	Apiaceae	Ainsworthia trachycarpa	RespFire	no	categorical	experience	Turkmen2005	M	NA
E05406	Apiaceae	Artedia squamata	RespFire	no	categorical	experience	Turkmen2005	M	NA
R02076	Apiaceae	Bunium ferulaceum	BudSource	storage organs	categorical	compilation	Kazanis2004a	E	NA
R00640	Apiaceae	Bunium ferulaceum	RespFire	yes	categorical	compilation	Kazanis2004a	E	NA
R03345	Apiaceae	Bunium ferulaceum	SeedlEmerg	no	categorical	compilation	Kazanis2004a	E	NA
C07369	Apiaceae	Bupleurum baldense	RespFire	no	categorical	experience	Alberdi2002	W	NA
C07459	Apiaceae	Bupleurum baldense	SeedlEmerg	yes	categorical	experience	Alberdi2002	W	NA
E02363	Apiaceae	Bupleurum foliosum	MatSap	early	semi-quantitative	experience	Gibraltar	W	NA
R00089	Apiaceae	Bupleurum foliosum	RespFire	yes	categorical	measure	Ojeda1996b	W	93
